WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
55,Luxembourg,BGL BNP Paribas Luxembourg Open,13/10/14,International,Indoor,Hard,1st Round,3,Vinci R.,Smitkova T.,41,84,1197,652,6,1,6,3,,,2,0,Completed,1.36,3,1.4,2.9,1.4,2.75,1.43,3.03,1.4,2.88,1.45,3.03,1.41,2.8
55,Luxembourg,BGL BNP Paribas Luxembourg Open,13/10/14,International,Indoor,Hard,1st Round,3,Niculescu M.,Lottner A.,47,468,1110,63,6,2,6,2,,,2,0,Completed,1.07,9,1.08,7.5,1.08,7,1.08,9.43,1.06,8,1.1,10,1.07,8.21
55,Luxembourg,BGL BNP Paribas Luxembourg Open,13/10/14,International,Indoor,Hard,1st Round,3,Mayr P.,Knapp K.,115,53,491,1025,2,3,,,,,0,0,Retired,3.75,1.25,3.5,1.28,3.5,1.29,4.13,1.27,3.6,1.25,4.33,1.3,3.75,1.26
55,Luxembourg,BGL BNP Paribas Luxembourg Open,13/10/14,International,Indoor,Hard,1st Round,3,Barthel M.,Minella M.,46,149,1113,388,6,3,6,4,,,2,0,Completed,1.16,4.5,1.22,4,1.17,4.5,1.19,5.36,1.17,4.5,1.23,5.36,1.18,4.63
55,Luxembourg,BGL BNP Paribas Luxembourg Open,13/10/14,International,Indoor,Hard,1st Round,3,Zahlavova Strycova B.,Soler Espinosa S.,31,70,1600,795,6,4,6,3,,,2,0,Completed,1.36,3,1.38,3,1.33,3.25,1.39,3.21,1.33,3,1.41,3.25,1.36,3.04
55,Luxembourg,BGL BNP Paribas Luxembourg Open,13/10/14,International,Indoor,Hard,1st Round,3,Cepelova J.,Torro Flor M.T.,52,89,1026,631,6,3,6,0,,,2,0,Completed,1.53,2.37,1.52,2.45,1.5,2.5,1.62,2.43,1.53,2.3,1.63,2.5,1.55,2.39
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Bertens K.,Friedsam A.L.,73,76,712,694,2,6,6,2,6,4,2,1,Completed,2.25,1.57,2.7,1.45,2.62,1.44,2.38,1.65,2.63,1.44,2.8,1.65,2.52,1.5
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Hercog P.,Erakovic M.,98,75,571,694,6,3,6,4,,,2,0,Completed,3,1.36,2.9,1.4,3,1.36,2.8,1.49,2.8,1.4,3.05,1.5,2.79,1.42
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Van Uytvanck A.,Voegele S.,79,69,688,800,5,7,6,2,6,2,2,1,Completed,2.1,1.66,2.1,1.7,2.25,1.57,2.11,1.8,2.3,1.57,2.3,1.8,2.11,1.7
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Cornet A.,Hradecka L.,21,156,2255,375,6,2,7,6,,,2,0,Completed,1.3,3.4,1.33,3.2,1.33,3.25,1.36,3.42,1.3,3.4,1.36,3.5,1.31,3.29
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Lisicki S.,Hantuchova D.,25,59,1835,960,7,5,6,0,,,2,0,Completed,1.16,4.5,1.2,4.3,1.22,4,1.23,4.67,1.2,4,1.23,5,1.21,4.27
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Beck A.,Bacsinszky T.,60,50,946,1101,7,6,6,3,,,2,0,Completed,3.75,1.25,3.5,1.28,3.5,1.29,3.89,1.29,3.6,1.25,3.9,1.32,3.6,1.27
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Larsson J.,Flipkens K.,85,45,652,1120,7,6,6,1,,,2,0,Completed,2.37,1.53,2.4,1.55,2.38,1.53,2.47,1.6,2.4,1.53,2.55,1.61,2.4,1.55
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Parmentier P.,Petkovic A.,78,16,692,2495,6,4,6,2,,,2,0,Completed,5.5,1.12,5.5,1.12,5,1.14,6.13,1.15,5.5,1.13,6.13,1.16,5.39,1.14
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Lepchenko V.,Goerges J.,37,74,1310,710,6,3,5,7,6,2,2,1,Completed,1.66,2.1,1.65,2.2,1.67,2.1,1.7,2.27,1.67,2.1,1.75,2.3,1.67,2.16
55,Luxembourg,BGL BNP Paribas Luxembourg Open,14/10/14,International,Indoor,Hard,1st Round,3,Allertova D.,Jabeur O.,145,147,400,390,6,1,3,6,6,2,2,1,Completed,2.37,1.53,2.3,1.6,2.25,1.57,2.4,1.63,2.4,1.57,2.5,1.69,2.3,1.59
55,Luxembourg,BGL BNP Paribas Luxembourg Open,15/10/14,International,Indoor,Hard,2nd Round,3,Beck A.,Vinci R.,60,41,946,1197,7,5,6,0,,,2,0,Completed,2.75,1.4,2.9,1.4,2.75,1.4,3.06,1.43,2.88,1.4,3.2,1.43,2.92,1.39
55,Luxembourg,BGL BNP Paribas Luxembourg Open,15/10/14,International,Indoor,Hard,2nd Round,3,Zahlavova Strycova B.,Van Uytvanck A.,31,79,1600,688,6,4,7,6,,,2,0,Completed,1.53,2.37,1.5,2.5,1.53,2.38,1.59,2.53,1.57,2.4,1.6,2.53,1.54,2.41
55,Luxembourg,BGL BNP Paribas Luxembourg Open,15/10/14,International,Indoor,Hard,2nd Round,3,Bertens K.,Cornet A.,73,21,712,2255,6,2,6,3,,,2,0,Completed,3.4,1.3,3.4,1.3,3,1.36,3.73,1.32,3.5,1.3,3.73,1.36,3.41,1.3
55,Luxembourg,BGL BNP Paribas Luxembourg Open,15/10/14,International,Indoor,Hard,2nd Round,3,Mayr P.,Parmentier P.,115,78,491,692,6,1,7,5,,,2,0,Completed,2.37,1.53,2.5,1.5,2.5,1.5,2.48,1.61,2.63,1.44,2.64,1.61,2.45,1.53
55,Luxembourg,BGL BNP Paribas Luxembourg Open,15/10/14,International,Indoor,Hard,2nd Round,3,Lepchenko V.,Cepelova J.,37,52,1310,1026,6,2,6,2,,,2,0,Completed,1.44,2.62,1.45,2.7,1.44,2.62,1.44,3.01,1.44,2.63,1.51,3.1,1.43,2.74
55,Luxembourg,BGL BNP Paribas Luxembourg Open,15/10/14,International,Indoor,Hard,2nd Round,3,Larsson J.,Hercog P.,85,98,652,571,6,7,7,5,6,1,2,1,Completed,2.25,1.57,2.25,1.62,2.2,1.62,2.41,1.64,2.1,1.67,2.41,1.72,2.24,1.62
55,Luxembourg,BGL BNP Paribas Luxembourg Open,15/10/14,International,Indoor,Hard,2nd Round,3,Barthel M.,Niculescu M.,46,47,1113,1110,0,6,7,5,6,3,2,1,Completed,2.2,1.61,2.25,1.62,2.25,1.57,2.5,1.6,2.3,1.57,2.5,1.67,2.29,1.6
55,Luxembourg,BGL BNP Paribas Luxembourg Open,15/10/14,International,Indoor,Hard,2nd Round,3,Allertova D.,Lisicki S.,145,25,400,1835,7,5,6,2,,,2,0,Completed,4.5,1.16,4.5,1.18,4.33,1.2,5.35,1.19,4.5,1.2,5.5,1.22,4.5,1.19
55,Luxembourg,BGL BNP Paribas Luxembourg Open,16/10/14,International,Indoor,Hard,Quarterfinals,3,Beck A.,Mayr P.,60,115,946,491,6,2,6,2,,,2,0,Completed,1.28,3.75,1.3,3.4,1.29,3.5,1.32,3.85,1.3,3.5,1.4,3.85,1.3,3.45
55,Luxembourg,BGL BNP Paribas Luxembourg Open,16/10/14,International,Indoor,Hard,Quarterfinals,3,Barthel M.,Bertens K.,46,73,1113,712,6,3,6,0,,,2,0,Completed,1.44,2.75,1.45,2.7,1.44,2.62,1.51,2.82,1.44,2.75,1.52,3,1.45,2.69
55,Luxembourg,BGL BNP Paribas Luxembourg Open,16/10/14,International,Indoor,Hard,Quarterfinals,3,Zahlavova Strycova B.,Larsson J.,31,85,1600,652,6,0,6,2,,,2,0,Completed,1.5,2.62,1.48,2.6,1.5,2.5,1.53,2.74,1.44,2.75,1.53,2.8,1.47,2.6
55,Luxembourg,BGL BNP Paribas Luxembourg Open,16/10/14,International,Indoor,Hard,Quarterfinals,3,Allertova D.,Lepchenko V.,145,37,400,1310,4,6,6,3,7,5,2,1,Completed,2.75,1.44,2.7,1.45,2.62,1.44,2.85,1.5,2.8,1.44,2.9,1.51,2.72,1.44
55,Luxembourg,BGL BNP Paribas Luxembourg Open,17/10/14,International,Indoor,Hard,Semifinals,3,Beck A.,Allertova D.,60,145,946,400,6,0,6,1,,,2,0,Completed,1.66,2.2,1.58,2.35,1.62,2.25,1.88,2.04,1.57,2.4,1.88,2.38,1.64,2.22
55,Luxembourg,BGL BNP Paribas Luxembourg Open,17/10/14,International,Indoor,Hard,Semifinals,3,Zahlavova Strycova B.,Barthel M.,31,46,1600,1113,6,3,6,2,,,2,0,Completed,2,1.8,1.9,1.85,2,1.8,2.05,1.88,2,1.8,2.05,1.91,1.95,1.82
55,Luxembourg,BGL BNP Paribas Luxembourg Open,18/10/14,International,Indoor,Hard,The Final,3,Beck A.,Zahlavova Strycova B.,60,31,946,1600,6,2,6,1,,,2,0,Completed,2.37,1.57,2.3,1.6,2.25,1.62,2.36,1.68,2.3,1.57,2.42,1.68,2.27,1.61
