ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
57,Lyon,Grand Prix de Lyon,04/10/04,International,Indoor,Carpet,1st Round,3,Lopez F.,Davydenko N.,30,42,6,3,6,7,6,3,,,,,2,1,Completed,1.444,2.625,1.36,3.05,1.4,2.85,1.45,2.2,1.403,3.13
57,Lyon,Grand Prix de Lyon,04/10/04,International,Indoor,Carpet,1st Round,3,Malisse X.,Hrbaty D.,58,18,6,4,7,6,,,,,,,2,0,Completed,2.625,1.444,2.7,1.45,2.6,1.45,2.3,1.4,2.72,1.513
57,Lyon,Grand Prix de Lyon,04/10/04,International,Indoor,Carpet,1st Round,3,Ljubicic I.,Clement A.,29,82,6,4,7,6,,,,,,,2,0,Completed,1.615,2.2,1.55,2.4,1.58,2.28,1.6,1.9,1.602,2.46
57,Lyon,Grand Prix de Lyon,04/10/04,International,Indoor,Carpet,1st Round,3,Bjorkman J.,Costa A.,49,48,6,7,7,6,6,4,,,,,2,1,Completed,1.444,2.625,1.48,2.6,1.45,2.6,1.4,2.3,1.476,2.82
57,Lyon,Grand Prix de Lyon,05/10/04,International,Indoor,Carpet,1st Round,3,Ferrer D.,Sluiter R.,46,91,6,3,6,4,,,,,,,2,0,Completed,2.375,1.533,2.6,1.45,2.53,1.48,2.1,1.5,2.79,1.488
57,Lyon,Grand Prix de Lyon,05/10/04,International,Indoor,Carpet,1st Round,3,Soderling R.,Robredo T.,47,16,6,1,6,4,,,,,,,2,0,Completed,1.667,2.1,1.67,2.15,1.6,2.25,1.55,2,1.709,2.21
57,Lyon,Grand Prix de Lyon,05/10/04,International,Indoor,Carpet,1st Round,3,Youzhny M.,Horna L.,32,39,6,4,7,6,,,,,,,2,0,Completed,1.25,3.5,1.3,3.4,1.28,3.46,1.25,3,1.27,4.2
57,Lyon,Grand Prix de Lyon,05/10/04,International,Indoor,Carpet,1st Round,3,Mirnyi M.,Ancic M.,61,26,6,3,3,1,,,,,,,1,0,Retired,2,1.727,2,1.77,1.95,1.8,1.9,1.6,1.935,1.885
57,Lyon,Grand Prix de Lyon,05/10/04,International,Indoor,Carpet,1st Round,3,Spadea V.,Ginepri R.,25,54,6,4,6,3,,,,,,,2,0,Completed,1.667,2.1,1.7,2.1,1.75,2,1.65,1.85,1.654,2.33
57,Lyon,Grand Prix de Lyon,05/10/04,International,Indoor,Carpet,1st Round,3,Calleri A.,Massu N.,56,11,6,3,6,4,,,,,,,2,0,Completed,,,2.4,1.55,2.45,1.5,2.7,1.3,2.65,1.541
