ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
62,Lyon,Grand Prix de Lyon,20/10/08,International,Indoor,Carpet,1st Round,3,Ouanna J.,Ljubicic I.,182,46,238,785,6,7,7,6,6,4,,,,,2,1,Completed,2.62,1.44,2.65,1.49,2.625,1.444,2.67,1.565,2.58,1.48
62,Lyon,Grand Prix de Lyon,20/10/08,International,Indoor,Carpet,1st Round,3,Robredo T.,Llodra M.,18,38,1285,875,6,4,6,3,,,,,,,2,0,Completed,1.16,4.5,1.4,2.88,1.444,2.625,1.794,2.16,1.68,2.13
62,Lyon,Grand Prix de Lyon,20/10/08,International,Indoor,Carpet,1st Round,3,Ferrero J.C.,Querrey S.,63,41,655,855,6,3,7,5,,,,,,,2,0,Completed,1.61,2.2,1.65,2.2,1.667,2.1,1.671,2.39,1.6,2.28
62,Lyon,Grand Prix de Lyon,20/10/08,International,Indoor,Carpet,1st Round,3,Benneteau J.,Clement A.,56,95,704,485,6,3,6,2,,,,,,,2,0,Completed,2,1.72,2,1.8,1.833,1.833,1.943,1.962,1.9,1.86
62,Lyon,Grand Prix de Lyon,20/10/08,International,Indoor,Carpet,1st Round,3,Darcis S.,Stepanek R.,58,28,693,1095,6,4,3,6,6,3,,,,,2,1,Completed,3.75,1.25,3.93,1.26,3.5,1.286,4.32,1.276,3.8,1.25
62,Lyon,Grand Prix de Lyon,21/10/08,International,Indoor,Carpet,1st Round,3,Santoro F.,Fognini F.,54,77,712,571,6,4,6,1,,,,,,,2,0,Completed,1.36,3,1.3,3.4,,,1.403,3.28,1.35,3.1
62,Lyon,Grand Prix de Lyon,21/10/08,International,Indoor,Carpet,1st Round,3,Lapentti N.,Karlovic I.,83,20,544,1265,7,6,6,3,,,,,,,2,0,Completed,4,1.22,3.65,1.3,3.75,1.25,4.01,1.302,3.7,1.26
62,Lyon,Grand Prix de Lyon,21/10/08,International,Indoor,Carpet,1st Round,3,Gasquet R.,Giraldo S.,15,172,1485,252,5,7,6,3,7,6,,,,,2,1,Completed,1.08,7,1.12,6.35,1.111,6,1.161,6.6,1.12,6
62,Lyon,Grand Prix de Lyon,21/10/08,International,Indoor,Carpet,1st Round,3,Seppi A.,Guez D.,34,191,955,223,6,2,7,5,,,,,,,2,0,Completed,1.38,2.87,1.45,2.8,1.364,3,1.426,3.15,1.41,2.82
62,Lyon,Grand Prix de Lyon,21/10/08,International,Indoor,Carpet,1st Round,3,Roddick A.,Mahut N.,7,92,2045,500,7,6,6,4,,,,,,,2,0,Completed,1.16,4.5,1.2,4.55,1.222,4,1.241,4.75,1.2,4.3
62,Lyon,Grand Prix de Lyon,21/10/08,International,Indoor,Carpet,1st Round,3,Tsonga J.W.,Gicquel M.,14,40,1485,864,7,5,4,6,6,3,,,,,2,1,Completed,1.28,3.5,1.33,3.34,1.3,3.4,1.333,3.7,1.33,3.2
62,Lyon,Grand Prix de Lyon,21/10/08,International,Indoor,Carpet,1st Round,3,Ginepri R.,Grosjean S.,57,98,700,476,6,7,6,4,6,4,,,,,2,1,Completed,1.33,3.25,1.35,3.3,1.364,3,1.376,3.46,1.37,3
62,Lyon,Grand Prix de Lyon,22/10/08,International,Indoor,Carpet,1st Round,3,Rochus C.,Muller G.,80,89,558,518,6,2,6,4,,,,,,,2,0,Completed,2.37,1.53,2.4,1.6,2.375,1.533,2.5,1.625,2.34,1.57
62,Lyon,Grand Prix de Lyon,22/10/08,International,Indoor,Carpet,1st Round,3,Soderling R.,Ascione T.,27,183,1115,234,6,4,6,1,,,,,,,2,0,Completed,1.1,6.5,1.13,5.95,1.125,5.5,1.143,7.3,1.1,6.5
62,Lyon,Grand Prix de Lyon,22/10/08,International,Indoor,Carpet,1st Round,3,Mathieu P.H.,Canas G.,33,68,1000,620,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.4,3,1.4,2.75,1.465,2.95,1.42,2.78
62,Lyon,Grand Prix de Lyon,22/10/08,International,Indoor,Carpet,1st Round,3,Simon G.,Monaco J.,10,51,1690,740,2,6,6,4,6,1,,,,,2,1,Completed,1.22,4,1.3,3.55,1.25,3.75,1.285,4.21,1.28,3.55
62,Lyon,Grand Prix de Lyon,22/10/08,International,Indoor,Carpet,2nd Round,3,Benneteau J.,Robredo T.,56,18,704,1285,6,2,6,2,,,,,,,2,0,Completed,2.5,1.5,2.45,1.55,2.5,1.5,2.64,1.575,2.52,1.5
62,Lyon,Grand Prix de Lyon,22/10/08,International,Indoor,Carpet,2nd Round,3,Ouanna J.,Lapentti N.,182,83,238,544,6,3,1,6,6,3,,,,,2,1,Completed,2.1,1.66,2.05,1.78,2.1,1.667,2.19,1.775,2.04,1.74
62,Lyon,Grand Prix de Lyon,23/10/08,International,Indoor,Carpet,2nd Round,3,Roddick A.,Ginepri R.,7,57,2045,700,7,6,7,6,,,,,,,2,0,Completed,1.2,4.33,1.2,4.55,1.222,4,1.226,5.02,1.2,4.3
62,Lyon,Grand Prix de Lyon,23/10/08,International,Indoor,Carpet,2nd Round,3,Soderling R.,Rochus C.,27,80,1115,558,6,1,6,2,,,,,,,2,0,Completed,1.08,7,1.08,7.94,1.111,6,1.129,8.05,1.1,6.5
62,Lyon,Grand Prix de Lyon,23/10/08,International,Indoor,Carpet,2nd Round,3,Darcis S.,Gasquet R.,58,15,693,1485,6,4,3,6,7,6,,,,,2,1,Completed,4,1.22,3.66,1.29,3.4,1.3,3.98,1.305,3.4,1.3
62,Lyon,Grand Prix de Lyon,23/10/08,International,Indoor,Carpet,2nd Round,3,Simon G.,Seppi A.,10,34,1690,955,7,6,5,7,6,4,,,,,2,1,Completed,1.38,2.87,1.45,2.7,1.4,2.75,1.465,2.95,1.44,2.7
62,Lyon,Grand Prix de Lyon,23/10/08,International,Indoor,Carpet,2nd Round,3,Tsonga J.W.,Santoro F.,14,54,1485,712,6,2,5,7,6,3,,,,,2,1,Completed,1.28,3.5,1.35,3.25,1.286,3.5,1.38,3.43,1.33,3.2
62,Lyon,Grand Prix de Lyon,23/10/08,International,Indoor,Carpet,2nd Round,3,Ferrero J.C.,Mathieu P.H.,63,33,655,1000,6,4,6,1,,,,,,,2,0,Completed,2,1.72,1.97,1.83,2,1.72,2.08,1.847,1.97,1.8
62,Lyon,Grand Prix de Lyon,24/10/08,International,Indoor,Carpet,Quarterfinals,3,Soderling R.,Roddick A.,27,7,1115,2045,7,6,7,6,,,,,,,2,0,Completed,2.25,1.57,2.2,1.65,2.1,1.667,2.24,1.746,2.24,1.62
62,Lyon,Grand Prix de Lyon,24/10/08,International,Indoor,Carpet,Quarterfinals,3,Simon G.,Ouanna J.,10,182,1690,238,6,3,7,5,,,,,,,2,0,Completed,1.16,4.5,1.2,4.55,1.2,4.333,1.23,4.94,1.2,4.35
62,Lyon,Grand Prix de Lyon,24/10/08,International,Indoor,Carpet,Quarterfinals,3,Tsonga J.W.,Ferrero J.C.,14,63,1485,655,7,6,6,1,,,,,,,2,0,Completed,1.5,2.5,1.61,2.32,1.615,2.2,1.637,2.47,1.62,2.24
62,Lyon,Grand Prix de Lyon,24/10/08,International,Indoor,Carpet,Quarterfinals,3,Benneteau J.,Darcis S.,56,58,704,693,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.65,2.2,1.72,2,1.769,2.2,1.7,2.1
62,Lyon,Grand Prix de Lyon,25/10/08,International,Indoor,Carpet,Semifinals,3,Soderling R.,Simon G.,27,10,1115,1690,5,7,6,3,6,3,,,,,2,1,Completed,1.61,2.2,1.7,2.2,1.667,2.1,1.69,2.35,1.65,2.18
62,Lyon,Grand Prix de Lyon,25/10/08,International,Indoor,Carpet,Semifinals,3,Benneteau J.,Tsonga J.W.,56,14,704,1485,7,6,7,5,,,,,,,2,0,Completed,2.62,1.44,2.7,1.45,2.75,1.4,3.1,1.435,2.75,1.42
62,Lyon,Grand Prix de Lyon,26/10/08,International,Indoor,Carpet,The Final,3,Soderling R.,Benneteau J.,27,56,1115,704,6,3,6,7,6,1,,,,,2,1,Completed,1.44,2.75,1.45,2.7,1.4,2.75,1.524,2.78,1.5,2.5
