WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
24,Madrid,Mutua Madrid Open,04/05/13,Premier,Outdoor,Clay,1st Round,3,Goerges J.,Jovanovski B.,28,44,1585,1239,6,4,6,1,,,2,0,Completed,1.33,3.25,1.4,2.8,1.36,3,1.38,3.3,1.44,2.75,1.44,3.3,1.38,2.98
24,Madrid,Mutua Madrid Open,04/05/13,Premier,Outdoor,Clay,1st Round,3,Cornet A.,Bertens K.,32,58,1520,1036,7,5,7,6,,,2,0,Completed,2.1,1.66,2.15,1.65,2.1,1.67,2.09,1.83,2.2,1.67,2.2,1.86,2.08,1.71
24,Madrid,Mutua Madrid Open,04/05/13,Premier,Outdoor,Clay,1st Round,3,Lisicki S.,Arvidsson S.,39,54,1317,1085,6,3,6,1,,,2,0,Completed,1.25,3.75,1.3,3.3,1.25,3.75,1.33,3.58,1.29,3.5,1.35,4,1.29,3.54
24,Madrid,Mutua Madrid Open,04/05/13,Premier,Outdoor,Clay,1st Round,3,Hantuchova D.,Stephens S.,71,17,865,2511,6,3,7,5,,,2,0,Completed,1.66,2.1,1.8,1.95,1.67,2.1,1.85,2.05,1.8,2,1.85,2.16,1.77,2.01
24,Madrid,Mutua Madrid Open,04/05/13,Premier,Outdoor,Clay,1st Round,3,Flipkens K.,Barthel M.,22,29,1816,1575,6,4,6,1,,,2,0,Completed,2.25,1.57,2.25,1.6,2.2,1.62,2.37,1.65,2.38,1.57,2.38,1.69,2.25,1.61
24,Madrid,Mutua Madrid Open,04/05/13,Premier,Outdoor,Clay,1st Round,3,Robson L.,Rybarikova M.,41,48,1300,1211,6,7,6,2,6,2,2,1,Completed,2.1,1.66,2,1.75,2.1,1.67,2.24,1.71,2,1.8,2.35,1.8,2.06,1.73
24,Madrid,Mutua Madrid Open,04/05/13,Premier,Outdoor,Clay,1st Round,3,Errani S.,Radwanska U.,7,31,5270,1565,6,3,6,1,,,2,0,Completed,1.11,6.5,1.15,4.85,1.14,5,1.16,5.99,1.13,6,1.18,6.5,1.13,5.58
24,Madrid,Mutua Madrid Open,04/05/13,Premier,Outdoor,Clay,1st Round,3,Dominguez Lino L.,Halep S.,47,64,1226,935,6,2,4,6,6,4,2,1,Completed,2,1.72,1.85,1.9,1.67,2.1,2.16,1.76,2.1,1.67,2.16,2.1,1.89,1.88
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Shvedova Y.,Wozniacki C.,36,10,1433,3760,6,2,6,4,,,2,0,Completed,2.37,1.53,2.5,1.5,2.62,1.44,2.8,1.49,2.63,1.5,2.95,1.57,2.58,1.49
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Bartoli M.,Vesnina E.,14,33,2710,1468,6,3,3,0,,,1,0,Retired,2.1,1.66,2.25,1.6,2,1.73,2.25,1.71,2.2,1.67,2.5,1.73,2.23,1.63
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Medina Garrigues A.,Voegele S.,63,56,940,1071,6,3,6,3,,,2,0,Completed,1.83,1.83,,,,,,,,,1.9,1.9,1.87,1.87
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Cibulkova D.,Tsurenko L.,15,73,2615,859,6,3,6,2,,,2,0,Completed,1.33,3.25,1.3,3.3,1.33,3.25,1.36,3.38,1.33,3.25,1.38,3.45,1.33,3.22
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Kerber A.,Hsieh S.W.,6,38,5420,1385,3,6,6,3,6,2,2,1,Completed,1.06,10,1.06,8,1.1,6.5,1.08,9.94,1.08,7,1.1,10,1.07,7.93
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Kanepi K.,Pennetta F.,51,103,1165,632,6,3,6,7,6,2,2,1,Completed,1.44,2.62,1.45,2.65,1.44,2.62,1.52,2.69,1.44,2.75,1.55,2.85,1.46,2.65
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Radwanska A.,Pironkova T.,4,52,6845,1140,6,2,6,4,,,2,0,Completed,1.07,9,1.06,8,1.08,7,1.08,9.43,1.1,7,1.1,9.43,1.08,7.85
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Williams S.,Putintseva Y.,1,89,11115,734,7,6,6,1,,,2,0,Completed,1.02,19,1.01,15,1.02,13,1.02,20.52,1.02,13,1.03,26,1.02,15.97
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Torro Flor M.T.,Schiavone F.,86,34,746,1445,6,2,7,5,,,2,0,Completed,2.62,1.44,2.35,1.55,2.75,1.4,2.2,1.74,2.75,1.44,2.75,1.74,2.4,1.56
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Kvitova P.,Wickmayer Y.,8,37,5225,1430,4,6,7,5,6,4,2,1,Completed,1.2,4.33,1.18,4.5,1.2,4.33,1.22,4.81,1.18,4.5,1.22,4.95,1.19,4.53
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Cirstea S.,Morita A.,26,42,1660,1295,3,0,,,,,0,0,Retired,1.83,1.83,1.95,1.8,1.83,1.83,1.92,1.97,1.83,1.91,2.1,1.97,1.91,1.84
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Ivanovic A.,Mattek-Sands B.,16,68,2585,880,6,7,6,3,6,2,2,1,Completed,1.44,2.62,1.5,2.5,1.5,2.5,1.57,2.55,1.53,2.5,1.57,2.65,1.51,2.51
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Scheepers C.,Jankovic J.,60,18,960,2335,6,7,6,3,6,3,2,1,Completed,3.4,1.3,3.75,1.25,4,1.22,3.58,1.33,3.5,1.29,4.1,1.33,3.67,1.27
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Keys M.,Li N.,62,5,944,6000,6,3,6,2,,,2,0,Completed,,,,,,,,,,,5,1.14,5,1.14
24,Madrid,Mutua Madrid Open,05/05/13,Premier,Outdoor,Clay,1st Round,3,Petrova N.,Giorgi C.,11,93,3075,719,6,3,4,6,6,4,2,1,Completed,1.36,3,1.4,2.8,1.36,3,1.45,2.94,1.4,2.88,1.45,3.2,1.41,2.84
