WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
24,Madrid,Mutua Madrid Open,30/04/16,Premier,Outdoor,Clay,1st Round,3,Makarova E.,Beck A.,30,40,1542,1248,6,3,6,4,,,2,0,Completed,1.44,2.62,1.45,2.55,1.5,2.62,1.59,2.5,1.59,2.75,1.51,2.53
24,Madrid,Mutua Madrid Open,30/04/16,Premier,Outdoor,Clay,1st Round,3,Svitolina E.,Wickmayer Y.,19,54,2475,1098,4,6,6,3,6,4,2,1,Completed,1.33,3.25,1.33,2.9,1.33,3.4,1.33,3.62,1.36,3.62,1.33,3.27
24,Madrid,Mutua Madrid Open,30/04/16,Premier,Outdoor,Clay,1st Round,3,Giorgi C.,Errani S.,45,18,1175,2505,7,5,7,5,,,2,0,Completed,2.62,1.44,2.4,1.5,2.62,1.5,2.67,1.53,2.68,1.57,2.52,1.51
24,Madrid,Mutua Madrid Open,30/04/16,Premier,Outdoor,Clay,1st Round,3,Mchale C.,Friedsam A.L.,59,51,1020,1119,6,0,6,4,,,2,0,Completed,1.66,2.1,1.72,1.95,1.8,2,1.76,2.16,1.8,2.25,1.7,2.11
24,Madrid,Mutua Madrid Open,30/04/16,Premier,Outdoor,Clay,1st Round,3,Cornet A.,Badosa Gibert P.,48,239,1145,201,2,6,6,2,2,2,1,1,Retired,1.5,2.5,1.45,2.55,1.5,2.62,1.57,2.55,1.6,2.75,1.51,2.51
24,Madrid,Mutua Madrid Open,30/04/16,Premier,Outdoor,Clay,1st Round,3,Stephens S.,Pereira T.,21,89,2310,752,3,6,6,3,6,2,2,1,Completed,1.14,5.5,1.14,4.75,1.2,4.5,1.16,5.88,1.2,5.88,1.15,5.25
24,Madrid,Mutua Madrid Open,01/05/16,Premier,Outdoor,Clay,1st Round,3,Gavrilova D.,Watson H.,39,56,1295,1041,7,5,6,4,,,2,0,Completed,1.83,1.83,,,,,1.94,1.94,1.94,1.94,1.87,1.88
24,Madrid,Mutua Madrid Open,01/05/16,Premier,Outdoor,Clay,1st Round,3,Kovinic D.,Vinci R.,52,8,1110,3615,6,4,6,2,,,2,0,Completed,2.37,1.53,2.4,1.48,2.5,1.53,2.23,1.72,2.55,1.72,2.36,1.57
24,Madrid,Mutua Madrid Open,01/05/16,Premier,Outdoor,Clay,1st Round,3,Pliskova Ka.,Dominguez Lino L.,20,111,2420,602,6,2,6,1,,,2,0,Completed,1.14,5.5,1.14,4.8,1.17,5,1.17,5.64,1.17,5.65,1.15,5.3
24,Madrid,Mutua Madrid Open,01/05/16,Premier,Outdoor,Clay,1st Round,3,Pavlyuchenkova A.,Tsurenko L.,26,41,1840,1223,6,2,6,1,,,2,0,Completed,1.57,2.25,1.62,2.15,1.62,2.25,1.7,2.27,1.7,2.3,1.65,2.21
24,Madrid,Mutua Madrid Open,01/05/16,Premier,Outdoor,Clay,1st Round,3,Keys M.,Riske A.,25,91,1906,747,1,6,6,3,6,4,2,1,Completed,1.28,3.5,1.25,3.5,1.33,3.25,1.32,3.66,1.36,3.7,1.29,3.5
24,Madrid,Mutua Madrid Open,01/05/16,Premier,Outdoor,Clay,1st Round,3,Suarez Navarro C.,Babos T.,11,42,3160,1195,3,6,6,2,6,3,2,1,Completed,1.28,3.5,1.3,3.2,1.3,3.5,1.34,3.5,1.35,3.7,1.31,3.35
24,Madrid,Mutua Madrid Open,01/05/16,Premier,Outdoor,Clay,1st Round,3,Tig P.M.,Kasatkina D.,134,32,438,1454,6,3,4,6,6,2,2,1,Completed,5.5,1.14,4.75,1.14,5.5,1.14,5.89,1.16,6,1.16,5.44,1.14
24,Madrid,Mutua Madrid Open,01/05/16,Premier,Outdoor,Clay,1st Round,3,Strycova B.,Kerber A.,33,3,1440,5740,6,4,6,2,,,2,0,Completed,4.5,1.18,3.8,1.22,4.33,1.22,5.32,1.19,5.32,1.25,4.41,1.2
24,Madrid,Mutua Madrid Open,01/05/16,Premier,Outdoor,Clay,1st Round,3,Vesnina E.,Ostapenko J.,55,37,1076,1313,7,5,6,0,,,2,0,Completed,1.33,3.25,1.33,3,1.36,3.25,1.38,3.26,1.38,3.4,1.35,3.12
