WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
15,Marbella,Andalucia Tennis Experience,06/04/09,International,Outdoor,Clay,1st Round,3,Vinci R.,Pironkova T.,67,50,915,1199,6,7,6,2,6,4,2,1,Completed,3.4,1.3,3.65,1.25,3,1.36,3.25,1.29,2.95,1.38
15,Marbella,Andalucia Tennis Experience,06/04/09,International,Outdoor,Clay,1st Round,3,Cirstea S.,Olaru I.R.,42,108,1445,592,6,4,6,2,,,2,0,Completed,1.61,2.2,1.6,2.25,1.57,2.25,1.53,2.38,1.6,2.28
15,Marbella,Andalucia Tennis Experience,06/04/09,International,Outdoor,Clay,1st Round,3,Vaidisova N.,Kerber A.,58,139,943,441,3,6,6,4,6,4,2,1,Completed,1.11,6,1.15,5.2,1.16,4.5,1.1,6,1.15,5.2
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Klepac A.,Bremond S.,134,68,468,872,5,7,6,2,6,2,2,1,Completed,2.75,1.4,2.45,1.5,,,2.5,1.5,,
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Voracova R.,Parmentier P.,164,78,374,818,7,6,4,6,6,4,2,1,Completed,3.5,1.28,3.1,1.35,,,2.75,1.4,,
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Suarez Navarro C.,Ani M.,34,92,1607,688,7,5,7,5,,,2,0,Completed,1.22,4,1.23,3.89,,,1.22,3.75,,
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Ruano Pascual V.,Garbin T.,106,61,606,935,6,1,2,6,6,1,2,1,Completed,3.25,1.33,3.1,1.35,2.75,1.4,2.88,1.36,,
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Hercog P.,Cohen Aloro S.,220,96,237,662,3,6,7,6,6,2,2,1,Completed,1.57,2.25,,,,,,,1.67,2.15
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Errani S.,Schruff J.,40,138,1488,452,7,5,7,6,,,2,0,Completed,1.25,3.75,1.28,3.46,1.28,3.5,1.29,3.25,1.3,3.4
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Medina Garrigues A.,Yakimova A.,20,74,2325,823,6,1,6,3,,,2,0,Completed,1.28,3.5,1.3,3.35,1.33,3.25,1.29,3.25,1.32,3.25
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Ivanova E.,Zec Peskiric M.,162,125,376,532,6,0,6,4,,,2,0,Completed,2.37,1.53,2.45,1.5,,,,,2.35,1.57
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Rus A.,Torro-Flor M.T.,142,806,435,22,4,6,6,2,6,0,2,1,Completed,1.14,5,,,,,,,,
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Jankovic J.,Schiavone F.,4,47,7290,1232,6,2,6,1,,,2,0,Completed,1.25,3.75,1.28,3.46,1.25,3.75,1.2,4,1.33,3.2
15,Marbella,Andalucia Tennis Experience,07/04/09,International,Outdoor,Clay,1st Round,3,Sfar S.,Candela E.C.,181,167,322,364,6,3,7,6,,,2,0,Completed,1.83,1.83,,,,,,,1.84,1.92
15,Marbella,Andalucia Tennis Experience,08/04/09,International,Outdoor,Clay,1st Round,3,Kanepi K.,Soler Espinosa S.,21,194,2270,298,6,4,6,2,,,2,0,Completed,1.14,5,1.13,5.5,1.14,5,1.13,5.5,1.12,5.85
15,Marbella,Andalucia Tennis Experience,08/04/09,International,Outdoor,Clay,1st Round,3,Zakopalova K.,Williams S.,95,1,663,9132,6,4,3,6,6,1,2,1,Completed,6.5,1.1,5.5,1.13,4.5,1.16,5.5,1.13,5.2,1.15
15,Marbella,Andalucia Tennis Experience,08/04/09,International,Outdoor,Clay,2nd Round,3,Vinci R.,Vaidisova N.,67,58,915,943,6,3,6,3,,,2,0,Completed,2.62,1.44,2.4,1.52,2.37,1.53,2.63,1.44,2.52,1.5
15,Marbella,Andalucia Tennis Experience,08/04/09,International,Outdoor,Clay,2nd Round,3,Cirstea S.,Klepac A.,42,134,1445,468,4,6,6,1,6,1,2,1,Completed,1.4,2.75,1.37,2.92,1.4,2.75,2.88,1.36,1.4,2.88
15,Marbella,Andalucia Tennis Experience,08/04/09,International,Outdoor,Clay,2nd Round,3,Medina Garrigues A.,Ruano Pascual V.,20,106,2325,606,6,2,6,3,,,2,0,Completed,1.16,4.5,1.17,4.67,1.2,4.33,1.2,4,1.17,4.8
15,Marbella,Andalucia Tennis Experience,09/04/09,International,Outdoor,Clay,2nd Round,3,Suarez Navarro C.,Ivanova E.,34,162,1607,376,0,6,6,3,6,0,2,1,Completed,1.2,4.33,1.2,4.45,1.22,4,1.25,3.5,1.22,4.1
15,Marbella,Andalucia Tennis Experience,09/04/09,International,Outdoor,Clay,2nd Round,3,Errani S.,Hercog P.,40,220,1488,237,6,0,7,6,,,2,0,Completed,1.22,4,1.23,3.89,1.22,4,1.222,3.75,1.24,3.9
15,Marbella,Andalucia Tennis Experience,09/04/09,International,Outdoor,Clay,2nd Round,3,Jankovic J.,Sfar S.,4,181,7290,322,6,3,6,0,,,2,0,Completed,1.03,11,1.03,10.5,1.02,12,1.013,11,1.02,14
15,Marbella,Andalucia Tennis Experience,09/04/09,International,Outdoor,Clay,2nd Round,3,Zakopalova K.,Voracova R.,95,164,663,374,7,6,5,7,6,0,2,1,Completed,1.36,3,1.37,2.92,1.36,3,,,1.37,3
15,Marbella,Andalucia Tennis Experience,09/04/09,International,Outdoor,Clay,2nd Round,3,Kanepi K.,Rus A.,21,142,2270,435,7,5,6,2,,,2,0,Completed,1.22,4,1.23,3.89,1.22,4,1.2,4,1.24,3.9
15,Marbella,Andalucia Tennis Experience,10/04/09,International,Outdoor,Clay,Quarterfinals,3,Medina Garrigues A.,Errani S.,20,40,2325,1488,6,2,6,7,7,5,2,1,Completed,1.33,3.25,1.35,3,1.44,2.62,1.364,3,1.4,2.85
15,Marbella,Andalucia Tennis Experience,10/04/09,International,Outdoor,Clay,Quarterfinals,3,Jankovic J.,Vinci R.,4,67,7290,915,3,6,6,3,7,6,2,1,Completed,1.08,7,1.13,5.5,1.12,5.5,1.125,5.5,1.14,5.4
15,Marbella,Andalucia Tennis Experience,10/04/09,International,Outdoor,Clay,Quarterfinals,3,Cirstea S.,Kanepi K.,42,21,1445,2270,6,4,2,6,7,5,2,1,Completed,2.75,1.4,2.65,1.45,2.5,1.5,2.625,1.444,2.85,1.4
15,Marbella,Andalucia Tennis Experience,10/04/09,International,Outdoor,Clay,Quarterfinals,3,Suarez Navarro C.,Zakopalova K.,34,95,1607,663,6,1,6,2,,,2,0,Completed,1.44,2.62,1.45,2.6,1.44,2.62,1.5,2.5,1.5,2.52
15,Marbella,Andalucia Tennis Experience,11/04/09,International,Outdoor,Clay,Semifinals,3,Suarez Navarro C.,Cirstea S.,34,42,1607,1445,6,2,6,7,6,2,2,1,Completed,1.4,2.75,1.5,2.45,1.5,2.5,1.5,2.625,1.55,2.4
15,Marbella,Andalucia Tennis Experience,11/04/09,International,Outdoor,Clay,Semifinals,3,Jankovic J.,Medina Garrigues A.,4,20,7290,2325,7,5,6,2,,,2,0,Completed,1.4,2.75,1.41,2.76,1.4,2.75,1.4,2.875,1.42,2.78
15,Marbella,Andalucia Tennis Experience,12/04/09,International,Outdoor,Clay,The Final,3,Jankovic J.,Suarez Navarro C.,4,34,7290,1607,6,3,3,6,6,3,2,1,Completed,1.33,3.25,1.37,2.92,1.3,3.4,1.286,3.5,1.35,3.1
