ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Arazi H.,Roux L.,23,636,7,6,6,2,,,,,,,2,0,Completed,,,,,1.4,2.55,1.45,2.2,,
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Boutter J.,Vacek J.,59,75,7,6,1,6,6,1,,,,,2,1,Completed,,,,,1.45,2.45,,,,
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Carraz G.,Furlan R.,190,189,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,,,
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Clement A.,Tarango J.,48,442,6,4,6,3,,,,,,,2,0,Completed,,,1.28,3.25,1.2,3.7,1.25,3,,
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Enqvist T.,Clavet F.,24,57,6,3,1,6,6,2,,,,,2,1,Completed,,,1.28,3.3,1.25,3.3,1.2,3.3,1.4,2.75
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Escude N.,Davydenko N.,27,86,6,2,6,3,,,,,,,2,0,Completed,,,1.28,3.25,1.2,3.65,1.3,2.7,1.25,3.5
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Ferrero J.C.,Kratochvil M.,3,43,6,3,7,5,,,,,,,2,0,Completed,,,1.52,2.35,1.45,2.45,1.45,2.2,1.4,2.75
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Gicquel M.,Mahut N.,369,209,6,4,6,3,,,,,,,2,0,Completed,,,,,,,,,,
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Grosjean S.,Okun N.,9,105,6,4,6,2,,,,,,,2,0,Completed,,,1.18,4.25,1.15,4.25,1.15,3.8,1.143,5
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Kafelnikov Y.,Mirnyi M.,4,37,7,5,7,6,,,,,,,2,0,Completed,,,1.72,2,1.6,2.1,1.65,1.85,1.615,2.2
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Pioline C.,El Aynaoui Y.,99,20,6,4,2,1,,,,,,,1,0,Retired,,,2.25,1.57,2.2,1.55,2,1.55,2.375,1.533
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Robredo T.,Mathieu P.H.,34,151,6,4,6,4,,,,,,,2,0,Completed,,,,,1.4,2.6,1.35,2.5,1.333,3
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Rosset M.,Ascione T.,128,305,7,6,7,6,,,,,,,2,0,Completed,,,,,,,,,,
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Rusedski G.,Johansson T.,30,10,6,4,3,6,6,3,,,,,2,1,Completed,,,2.2,1.6,2.2,1.55,1.9,1.6,2.5,1.5
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Santoro F.,Sargsian S.,26,70,6,1,3,6,7,6,,,,,2,1,Completed,,,1.52,2.35,1.46,2.35,1.4,2.3,1.571,2.25
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,1st Round,3,Stoliarov A.,Ljubicic I.,112,33,3,6,7,5,7,6,,,,,2,1,Completed,,,2.9,1.35,3.1,1.28,3,1.25,3.25,1.286
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,2nd Round,3,Enqvist T.,Carraz G.,24,190,7,6,6,7,7,6,,,,,2,1,Completed,,,1.12,5.25,1.13,4.55,1.15,3.8,1.125,5.5
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,2nd Round,3,Escude N.,Gicquel M.,27,369,6,1,7,6,,,,,,,2,0,Completed,,,,,,,,,,
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,2nd Round,3,Ferrero J.C.,Stoliarov A.,3,112,6,0,5,7,6,3,,,,,2,1,Completed,,,1.25,3.5,1.25,3.3,1.2,3.3,,
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,2nd Round,3,Grosjean S.,Robredo T.,9,34,6,3,6,3,,,,,,,2,0,Completed,,,1.5,2.4,1.44,2.45,1.4,2.3,1.444,2.625
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,2nd Round,3,Kafelnikov Y.,Clement A.,4,48,6,3,3,6,6,3,,,,,2,1,Completed,,,1.6,2.2,1.52,2.25,1.5,2.1,1.533,2.375
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,2nd Round,3,Pioline C.,Boutter J.,99,59,7,6,6,2,,,,,,,2,0,Completed,,,2.1,1.65,2,1.67,1.8,1.7,2.2,1.615
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,2nd Round,3,Rosset M.,Arazi H.,128,23,7,5,6,2,,,,,,,2,0,Completed,,,2.2,1.6,2.18,1.55,2,1.55,2.25,1.571
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,2nd Round,3,Rusedski G.,Santoro F.,30,26,6,3,5,7,6,4,,,,,2,1,Completed,,,1.45,2.55,1.5,2.3,1.4,2.3,1.444,2.625
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,Quarterfinals,3,Enqvist T.,Grosjean S.,24,9,6,3,7,5,,,,,,,2,0,Completed,,,2,1.72,1.92,1.72,1.9,1.6,1.833,1.833
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,Quarterfinals,3,Escude N.,Rusedski G.,27,30,6,3,7,5,,,,,,,2,0,Completed,,,1.9,1.8,1.83,1.8,1.75,1.75,,
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,Quarterfinals,3,Kafelnikov Y.,Rosset M.,4,128,6,3,7,6,,,,,,,2,0,Completed,,,1.38,2.8,1.3,3,1.35,2.5,1.444,2.625
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,Quarterfinals,3,Pioline C.,Ferrero J.C.,99,3,6,7,6,4,7,5,,,,,2,1,Completed,,,2.45,1.48,2.35,1.48,2,1.55,2.25,1.571
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,Semifinals,3,Enqvist T.,Kafelnikov Y.,24,4,6,7,7,6,6,4,,,,,2,1,Completed,,,2,1.75,2,1.65,1.85,1.65,2,1.727
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,Semifinals,3,Escude N.,Pioline C.,27,99,6,3,7,5,,,,,,,2,0,Completed,,,1.45,2.6,1.35,2.75,1.4,2.3,1.533,2.375
9,Marseille,Marseille Open,11/02/02,International,Indoor,Hard,The Final,3,Enqvist T.,Escude N.,24,27,6,7,6,3,6,1,,,,,2,1,Completed,,,1.6,2.25,1.65,2,1.6,1.9,1.667,2.1
