ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
11,Marseille,Open 13,07/02/05,International,Indoor,Hard,1st Round,3,Schalken S.,Davydenko N.,76,15,,,3,6,6,4,6,1,,,,,2,1,Completed,3,1.33,2.85,1.4,2.85,1.4,2.5,1.35,3.29,1.372
11,Marseille,Open 13,07/02/05,International,Indoor,Hard,1st Round,3,Lopez F.,Verdasco F.,21,37,,,7,5,6,3,,,,,,,2,0,Completed,1.5,2.5,1.45,2.7,1.55,2.35,1.5,2.1,1.529,2.69
11,Marseille,Open 13,07/02/05,International,Indoor,Hard,1st Round,3,Ancic M.,Hrbaty D.,30,20,,,6,3,7,5,,,,,,,2,0,Completed,2.25,1.57,2.15,1.67,2.15,1.65,2,1.55,2.22,1.704
11,Marseille,Open 13,08/02/05,International,Indoor,Hard,1st Round,3,Haehnel J.,Lisnard J.R.,92,113,,,6,2,6,7,6,4,,,,,2,1,Completed,,,,,,,1.85,1.65,,
11,Marseille,Open 13,08/02/05,International,Indoor,Hard,1st Round,3,Simon G.,Johansson T.,148,27,,,6,4,4,6,6,2,,,,,2,1,Completed,4.5,1.16,3.85,1.25,,,2.7,1.3,4.09,1.275
11,Marseille,Open 13,08/02/05,International,Indoor,Hard,1st Round,3,Berdych T.,Srichaphan P.,46,32,,,6,7,6,2,7,6,,,,,2,1,Completed,2.5,1.5,2.25,1.62,2.15,1.65,2.2,1.45,2.25,1.69
11,Marseille,Open 13,08/02/05,International,Indoor,Hard,1st Round,3,Beck K.,Kiefer N.,45,24,,,6,3,6,2,,,,,,,2,0,Completed,2.2,1.61,2.2,1.65,2.53,1.48,2.1,1.5,2.37,1.637
11,Marseille,Open 13,08/02/05,International,Indoor,Hard,1st Round,3,Johansson J.,Ferrero J.C.,11,63,,,7,6,6,3,,,,,,,2,0,Completed,1.3,3.2,1.3,3.85,1.32,3.22,1.3,2.7,1.282,4
11,Marseille,Open 13,08/02/05,International,Indoor,Hard,1st Round,3,Rusedski G.,Llodra M.,44,51,,,7,6,4,6,6,3,,,,,2,1,Completed,1.57,2.25,1.65,2.2,1.65,2.15,1.5,2.1,1.658,2.32
11,Marseille,Open 13,09/02/05,International,Indoor,Hard,1st Round,3,Karlovic I.,Wang Y.T.,60,173,,,6,4,7,6,,,,,,,2,0,Completed,,,,,,,,,1.284,3.97
