ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
10,Marseille,Open 13,11/02/08,International,Indoor,Hard,1st Round,3,Mathieu P.H.,Gicquel M.,21,61,1465,560,7,6,7,6,,,,,,,2,0,Completed,1.39,2.75,1.34,3.12,1.4,2.75,1.465,2.95,1.42,2.78
10,Marseille,Open 13,11/02/08,International,Indoor,Hard,1st Round,3,Soderling R.,Nieminen J.,52,26,615,1290,6,3,5,7,7,5,,,,,2,1,Completed,2.75,1.4,2.4,1.53,2.75,1.4,2.75,1.541,2.85,1.4
10,Marseille,Open 13,12/02/08,International,Indoor,Hard,1st Round,3,Mahut N.,Elgin M.,44,209,714,198,6,3,6,3,,,,,,,2,0,Completed,1.2,4.33,1.2,4.25,1.22,4,1.225,5.05,1.2,4.3
10,Marseille,Open 13,12/02/08,International,Indoor,Hard,1st Round,3,Murray A.,Huta Galung J.,11,190,1685,216,6,4,6,4,,,,,,,2,0,Completed,1.02,13,,,1.05,8.5,1.048,17,1.03,12
10,Marseille,Open 13,12/02/08,International,Indoor,Hard,1st Round,3,Ferrero J.C.,Lee H.T.,15,46,1515,689,6,4,6,1,,,,,,,2,0,Completed,1.28,3.5,1.28,3.46,1.333,3.25,1.299,4.05,1.3,3.4
10,Marseille,Open 13,12/02/08,International,Indoor,Hard,1st Round,3,Benneteau J.,Pavel A.,53,82,613,493,6,2,1,0,,,,,,,1,0,Retired,1.39,2.75,1.4,2.85,1.444,2.625,1.426,3.15,1.45,2.67
10,Marseille,Open 13,12/02/08,International,Indoor,Hard,1st Round,3,Gabashvili T.,Berrer M.,133,59,324,568,7,6,6,4,,,,,,,2,0,Completed,2.1,1.66,1.91,1.83,2.1,1.667,2.14,1.806,2.03,1.75
10,Marseille,Open 13,12/02/08,International,Indoor,Hard,1st Round,3,Baghdatis M.,Clement A.,17,67,1505,540,6,3,6,4,,,,,,,2,0,Completed,1.28,3.5,1.3,3.35,1.286,3.5,1.3,4.03,1.3,3.4
10,Marseille,Open 13,12/02/08,International,Indoor,Hard,1st Round,3,Wawrinka S.,Grosjean S.,32,47,955,661,3,6,6,4,6,4,,,,,2,1,Completed,1.83,1.83,1.95,1.8,1.727,2,2.05,1.87,1.8,1.96
10,Marseille,Open 13,13/02/08,International,Indoor,Hard,1st Round,3,Simon G.,Guez D.,30,173,1025,243,6,2,6,4,,,,,,,2,0,Completed,1.11,6,1.15,5.2,1.143,5,1.175,6.2,1.12,6
