ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
14,Marseille,Open 13,20/02/17,ATP250,Indoor,Hard,1st Round,3,Youzhny M.,Tsitsipas S.,87,205,631,268,6,1,4,6,7,5,,,,,2,1,Completed,1.57,2.25,1.55,2.25,1.62,2.2,1.68,2.3,1.7,2.4,1.61,2.27
14,Marseille,Open 13,20/02/17,ATP250,Indoor,Hard,1st Round,3,Jaziri M.,Kuznetsov An.,47,61,908,790,6,3,6,3,,,,,,,2,0,Completed,2.5,1.5,2.35,1.52,2.25,1.57,2.57,1.56,2.57,1.6,2.44,1.54
14,Marseille,Open 13,20/02/17,ATP250,Indoor,Hard,1st Round,3,Simon G.,Khachanov K.,23,48,1495,904,4,6,7,5,6,3,,,,,2,1,Completed,1.36,3,1.33,3,1.36,3,1.34,3.5,1.39,3.5,1.35,3.14
14,Marseille,Open 13,21/02/17,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Chardy J.,62,77,786,670,6,3,7,5,,,,,,,2,0,Completed,1.72,2,1.82,1.82,1.91,1.91,1.83,2.07,1.91,2.07,1.82,1.95
14,Marseille,Open 13,21/02/17,ATP250,Indoor,Hard,1st Round,3,Marchenko I.,Rublev A.,93,111,604,518,6,1,7,6,,,,,,,2,0,Completed,2.2,1.61,2.05,1.65,2.2,1.67,2.33,1.67,2.4,1.68,2.24,1.62
14,Marseille,Open 13,21/02/17,ATP250,Indoor,Hard,1st Round,3,Bedene A.,Mathieu P.H.,102,101,577,578,3,6,6,1,6,4,,,,,2,1,Completed,1.5,2.5,1.52,2.3,1.57,2.38,1.6,2.47,1.62,2.6,1.54,2.45
14,Marseille,Open 13,21/02/17,ATP250,Indoor,Hard,1st Round,3,Gombos N.,Donskoy E.,128,117,455,491,6,1,6,1,,,,,,,2,0,Completed,2.1,1.66,2.1,1.65,2.1,1.73,2.14,1.78,2.4,1.78,2.11,1.71
14,Marseille,Open 13,21/02/17,ATP250,Indoor,Hard,1st Round,3,Benneteau J.,Shapovalov D.,120,255,482,205,7,5,6,4,,,,,,,2,0,Completed,1.2,4.33,1.2,4,1.25,4,1.25,4.36,1.25,4.4,1.22,4.14
14,Marseille,Open 13,21/02/17,ATP250,Indoor,Hard,1st Round,3,Stakhovsky S.,Vesely J.,107,55,535,848,6,2,6,4,,,,,,,2,0,Completed,2,1.72,1.88,1.8,1.91,1.91,1.9,1.99,2,1.99,1.9,1.87
14,Marseille,Open 13,21/02/17,ATP250,Indoor,Hard,1st Round,3,Gasquet R.,Haase R.,19,58,1875,833,6,7,6,3,6,2,,,,,2,1,Completed,1.2,4.33,1.2,4,1.2,4.33,1.23,4.64,1.24,4.64,1.21,4.29
14,Marseille,Open 13,21/02/17,ATP250,Indoor,Hard,1st Round,3,Mahut N.,Zverev A.,54,18,850,1895,7,6,7,6,,,,,,,2,0,Completed,4,1.22,3.5,1.25,3.75,1.29,4.02,1.28,4.02,1.3,3.76,1.26
14,Marseille,Open 13,22/02/17,ATP250,Indoor,Hard,1st Round,3,Medvedev D.,Paire B.,64,41,779,1040,5,7,7,5,7,6,,,,,2,1,Completed,1.72,2,1.8,1.9,1.73,2,1.8,2.11,1.8,2.11,1.77,2.01
14,Marseille,Open 13,22/02/17,ATP250,Indoor,Hard,2nd Round,3,Simon G.,Benneteau J.,23,120,1495,482,6,2,2,6,6,3,,,,,2,1,Completed,1.33,3.25,1.33,3,1.33,3.4,1.34,3.61,1.36,3.61,1.32,3.33
14,Marseille,Open 13,22/02/17,ATP250,Indoor,Hard,2nd Round,3,Gasquet R.,Youzhny M.,19,87,1875,631,7,5,6,2,,,,,,,2,0,Completed,1.14,5.5,1.12,5,1.12,5.5,1.15,6.34,1.18,6.34,1.14,5.4
14,Marseille,Open 13,22/02/17,ATP250,Indoor,Hard,2nd Round,3,Kyrgios N.,Jaziri M.,16,47,2165,908,6,4,6,2,,,,,,,2,0,Completed,1.18,4.5,1.16,4.5,1.22,4.33,1.22,4.93,1.22,5.25,1.18,4.7
14,Marseille,Open 13,22/02/17,ATP250,Indoor,Hard,2nd Round,3,Pouille L.,Bedene A.,17,102,2131,577,7,5,7,5,,,,,,,2,0,Completed,1.5,2.5,1.52,2.3,1.53,2.5,1.51,2.75,1.57,2.8,1.49,2.57
14,Marseille,Open 13,23/02/17,ATP250,Indoor,Hard,2nd Round,3,Medvedev D.,Struff J.L.,64,62,779,786,6,3,3,6,7,6,,,,,2,1,Completed,1.72,2,1.72,1.95,1.8,2,1.85,2.07,1.85,2.17,1.76,2.03
14,Marseille,Open 13,23/02/17,ATP250,Indoor,Hard,2nd Round,3,Gombos N.,Mahut N.,128,54,455,850,7,5,3,6,7,6,,,,,2,1,Completed,3,1.36,2.9,1.35,3,1.4,3.46,1.36,3.46,1.4,3.14,1.35
14,Marseille,Open 13,23/02/17,ATP250,Indoor,Hard,2nd Round,3,Tsonga J.W.,Marchenko I.,11,93,3230,604,6,3,6,3,,,,,,,2,0,Completed,1.08,8,1.08,6.25,1.06,8,1.09,9.28,1.09,9.5,1.08,8.02
14,Marseille,Open 13,23/02/17,ATP250,Indoor,Hard,2nd Round,3,Monfils G.,Stakhovsky S.,12,107,3145,535,6,1,6,4,,,,,,,2,0,Completed,1.16,5,1.15,4.75,1.17,5,1.2,5.16,1.2,5.2,1.18,4.79
14,Marseille,Open 13,24/02/17,ATP250,Indoor,Hard,Quarterfinals,3,Kyrgios N.,Gombos N.,16,128,2165,455,6,3,6,3,,,,,,,2,0,Completed,1.1,7,1.12,5,1.1,7,1.11,8.72,1.14,9.25,1.1,7.15
14,Marseille,Open 13,24/02/17,ATP250,Indoor,Hard,Quarterfinals,3,Tsonga J.W.,Simon G.,11,23,3230,1495,6,4,6,1,,,,,,,2,0,Completed,1.36,3,1.38,2.8,1.4,3,1.38,3.41,1.43,3.41,1.38,3.02
