ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
67,Shanghai,Masters Cup,12/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Federer R.,Nalbandian D.,1,7,7620,2195,3,6,6,1,6,1,,,,,2,1,Completed,,,1.06,9,,,,,,
67,Shanghai,Masters Cup,12/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Roddick A.,Ljubicic I.,5,4,2315,2395,6,4,6,7,6,1,,,,,2,1,Completed,,,1.9,1.9,,,,,,
67,Shanghai,Masters Cup,13/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Blake J.,Nadal R.,8,2,2130,4270,6,4,7,6,,,,,,,2,0,Completed,2.37,1.53,2.3,1.62,2.39,1.56,2.36,1.685,2.15,1.67
67,Shanghai,Masters Cup,13/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Davydenko N.,Robredo R.,3,6,2735,2275,7,6,3,6,6,1,,,,,2,1,Completed,1.19,4.33,1.2,4.55,1.2,3.85,1.227,5.01,1.24,3.9
67,Shanghai,Masters Cup,14/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Federer R.,Roddick A.,1,5,7620,2315,4,6,7,6,6,4,,,,,2,1,Completed,1.06,8,1.07,8.5,1.07,7.19,1.098,9.21,1.07,8
67,Shanghai,Masters Cup,14/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Ljubicic I.,Nalbandian D.,4,7,2395,2195,5,7,7,6,7,5,,,,,2,1,Completed,2.2,1.61,2.35,1.6,2.25,1.6,2.29,1.719,2.16,1.66
67,Shanghai,Masters Cup,15/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Blake J.,Davydenko N.,8,3,2130,2735,2,6,6,4,7,5,,,,,2,1,Completed,1.72,2,1.77,2.05,1.75,2.05,1.775,2.19,1.8,1.98
67,Shanghai,Masters Cup,15/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Nadal R.,Robredo R.,2,6,4270,2275,7,6,6,2,,,,,,,2,0,Completed,1.19,4.33,1.22,4.25,1.2,4.25,1.181,6.02,1.22,4.1
67,Shanghai,Masters Cup,16/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Nalbandian D.,Roddick A.,7,5,2195,2315,6,2,7,6,,,,,,,2,0,Completed,3.5,1.28,3.6,1.29,3.74,1.25,3.85,1.317,3.75,1.25
67,Shanghai,Masters Cup,16/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Federer R.,Ljubicic I.,1,4,7620,2395,7,6,6,4,,,,,,,2,0,Completed,1.08,7,1.06,9,1.1,6.75,1.091,10,1.09,7
67,Shanghai,Masters Cup,17/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Nadal R.,Davydenko N.,2,3,4270,2735,5,7,6,4,6,4,,,,,2,1,Completed,1.5,2.5,1.48,2.65,1.48,2.53,1.552,2.71,1.5,2.55
67,Shanghai,Masters Cup,17/11/06,Masters Cup,Indoor,Hard,Round Robin,3,Robredo R.,Blake J.,6,8,2275,2130,6,2,3,6,7,5,,,,,2,1,Completed,3,1.36,2.95,1.4,1.85,1.85,2.92,1.472,2.85,1.4
67,Shanghai,Masters Cup,18/11/06,Masters Cup,Indoor,Hard,Semifinals,3,Federer R.,Nadal R.,1,2,7620,4270,6,4,7,5,,,,,,,2,0,Completed,1.14,5.5,1.15,5.5,1.15,4.92,1.195,5.64,1.16,5.1
67,Shanghai,Masters Cup,18/11/06,Masters Cup,Indoor,Hard,Semifinals,3,Blake J.,Nalbandian D.,8,7,2130,2195,6,4,6,1,,,,,,,2,0,Completed,2.1,1.72,2,1.81,2.15,1.65,2.08,1.847,2.12,1.7
67,Shanghai,Masters Cup,19/11/06,Masters Cup,Indoor,Hard,The Final,5,Federer R.,Blake J.,1,8,7620,2130,6,0,6,3,6,4,,,,,3,0,Completed,1.07,8.5,1.06,9,1.1,5.8,1.099,9.15,1.08,8
