ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
64,London,Masters Cup,09/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Nishikori K.,Murray A.,5,6,4625,4475,6,4,6,4,,,,,,,2,0,Completed,2.75,1.44,2.8,1.42,2.75,1.44,2.94,1.47,2.88,1.44,3,1.51,2.8,1.43
64,London,Masters Cup,09/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Federer R.,Raonic M.,2,8,8700,4440,6,1,7,6,,,,,,,2,0,Completed,1.33,3.4,1.3,3.4,1.3,3.5,1.38,3.4,1.29,3.75,1.38,3.75,1.33,3.3
64,London,Masters Cup,10/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Wawrinka S.,Berdych T.,4,7,4895,4465,6,1,6,1,,,,,,,2,0,Completed,2.1,1.72,2.15,1.68,2.1,1.73,2.33,1.69,2.1,1.73,2.33,1.8,2.15,1.7
64,London,Masters Cup,10/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Cilic M.,1,9,10010,4150,6,1,6,1,,,,,,,2,0,Completed,1.12,6,1.11,6,1.12,6,1.14,7.1,1.14,6.25,1.16,7.1,1.13,6.03
64,London,Masters Cup,11/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Federer R.,Nishikori K.,2,5,8700,4625,6,3,6,2,,,,,,,2,0,Completed,1.44,2.75,1.45,2.7,1.4,3,1.52,2.76,1.44,2.8,1.52,3,1.44,2.76
64,London,Masters Cup,11/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Murray A.,Raonic M.,6,8,4475,4440,6,3,7,5,,,,,,,2,0,Completed,1.5,2.62,1.5,2.5,1.5,2.62,1.52,2.77,1.53,2.6,1.57,2.83,1.5,2.59
64,London,Masters Cup,12/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Berdych T.,Cilic M.,7,9,4465,4150,6,3,6,1,,,,,,,2,0,Completed,2.1,1.72,2.05,1.72,2.1,1.73,2.2,1.76,2.1,1.73,2.2,1.8,2.09,1.74
64,London,Masters Cup,12/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Wawrinka S.,1,4,10010,4895,6,3,6,0,,,,,,,2,0,Completed,1.14,5.5,1.14,5.25,1.14,5.5,1.16,6.46,1.15,5.5,1.18,6.5,1.15,5.37
64,London,Masters Cup,13/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Nishikori K.,Ferrer D.,5,10,4625,4045,4,6,6,4,6,1,,,,,2,1,Completed,1.57,2.37,1.55,2.35,1.57,2.38,1.63,2.47,,,1.7,2.61,1.57,2.38
64,London,Masters Cup,13/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Federer R.,Murray A.,2,6,8700,4475,6,0,6,1,,,,,,,2,0,Completed,1.44,2.75,1.42,2.7,1.4,3,1.5,2.85,1.44,2.8,1.5,3,1.44,2.77
64,London,Masters Cup,14/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Berdych T.,1,7,10010,4465,6,2,6,2,,,,,,,2,0,Completed,1.07,9,1.07,8,1.08,8,1.08,10.75,1.06,9,1.11,11,1.07,8.78
64,London,Masters Cup,14/11/14,Masters Cup,Indoor,Hard,Round Robin,3,Wawrinka S.,Cilic M.,4,9,4895,4150,6,3,4,6,6,3,,,,,2,1,Completed,1.3,3.5,1.3,3.4,1.3,3.5,1.33,3.75,1.33,3.3,1.4,3.85,1.32,3.38
64,London,Masters Cup,15/11/14,Masters Cup,Indoor,Hard,Semifinals,3,Djokovic N.,Nishikori K.,1,5,10010,4625,6,1,3,6,6,0,,,,,2,1,Completed,1.07,9,1.09,7,1.08,8,1.09,9.95,1.1,7.5,1.11,9.95,1.08,7.84
64,London,Masters Cup,15/11/14,Masters Cup,Indoor,Hard,Semifinals,3,Federer R.,Wawrinka S.,2,4,8700,4895,4,6,7,5,7,6,,,,,2,1,Completed,1.12,6,1.13,5.4,1.14,5.5,1.16,6.27,1.14,6,1.17,6.27,1.14,5.58
64,London,Masters Cup,16/11/14,Masters Cup,Indoor,Hard,The Final,3,Djokovic N.,Federer R.,1,2,10010,8700,,,,,,,,,,,,,Walkover,1.28,3.75,1.28,3.5,1.29,3.75,1.3,4.05,1.29,3.75,1.3,4.3,1.27,3.79
