ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
67,London,Masters Cup,11/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Anderson K.,Thiem D.,6,8,4310,3895,6,3,7,6,,,,,,,2,0,Completed,1.72,2,1.83,2.1,,,1.81,2.12,1.9,2.12,1.8,2.03
67,London,Masters Cup,11/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Nishikori K.,Federer R.,9,3,3390,6020,7,6,6,3,,,,,,,2,0,Completed,4,1.22,4.2,1.28,,,4.05,1.29,4.2,1.3,3.97,1.26
67,London,Masters Cup,12/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Zverev A.,Cilic M.,5,7,5085,4050,7,6,7,6,,,,,,,2,0,Completed,1.8,2,1.83,2.1,,,1.85,2.06,1.87,2.13,1.8,2.04
67,London,Masters Cup,12/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Isner J.,1,10,8045,3155,6,4,6,3,,,,,,,2,0,Completed,1.11,7,1.13,7.5,,,1.12,7.5,1.13,7.5,1.11,6.92
67,London,Masters Cup,13/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Anderson K.,Nishikori K.,6,9,4310,3390,6,0,6,1,,,,,,,2,0,Completed,2.2,1.66,2.3,1.7,,,2.24,1.73,2.35,1.74,2.23,1.66
67,London,Masters Cup,13/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Federer R.,Thiem D.,3,8,6020,3895,6,2,6,3,,,,,,,2,0,Completed,1.3,3,1.37,3.45,,,1.37,3.42,1.4,3.65,1.35,3.28
67,London,Masters Cup,14/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Zverev A.,1,5,8045,5085,6,4,6,1,,,,,,,2,0,Completed,1.14,5.5,1.17,6,,,1.18,5.73,1.2,6,1.16,5.32
67,London,Masters Cup,14/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Cilic M.,Isner J.,7,10,4050,3155,6,7,6,3,6,4,,,,,2,1,Completed,1.44,2.75,1.5,2.85,,,1.49,2.82,1.5,2.95,1.47,2.74
67,London,Masters Cup,15/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Thiem D.,Nishikori K.,8,9,3895,3390,6,1,6,4,,,,,,,2,0,Completed,2.62,1.5,2.7,1.55,,,2.57,1.57,2.74,1.57,2.59,1.52
67,London,Masters Cup,15/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Federer R.,Anderson K.,3,6,6020,4310,6,4,6,3,,,,,,,2,0,Completed,1.36,3.2,1.38,3.4,,,1.37,3.38,1.44,3.4,1.38,3.12
67,London,Masters Cup,16/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Zverev A.,Isner J.,5,10,5085,3155,7,6,6,3,,,,,,,2,0,Completed,1.36,3.2,1.38,3.4,,,1.4,3.22,1.44,3.4,1.38,3.14
67,London,Masters Cup,16/11/18,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Cilic M.,1,7,8045,4050,7,6,6,2,,,,,,,2,0,Completed,1.2,4.5,1.19,5.5,,,1.2,5.23,1.22,6.03,1.17,5.14
67,London,Masters Cup,17/11/18,Masters Cup,Indoor,Hard,Semifinals,3,Zverev A.,Federer R.,5,3,5085,6020,7,5,7,6,,,,,,,2,0,Completed,3.2,1.36,3.2,1.42,,,3.24,1.41,3.4,1.45,3.14,1.38
67,London,Masters Cup,17/11/18,Masters Cup,Indoor,Hard,Semifinals,3,Djokovic N.,Anderson K.,1,6,8045,4310,6,2,6,2,,,,,,,2,0,Completed,1.11,7,1.14,7,,,1.12,7.72,1.15,7.72,1.12,6.52
67,London,Masters Cup,18/11/18,Masters Cup,Indoor,Hard,The Final,3,Zverev A.,Djokovic N.,5,1,5085,8045,6,4,6,3,,,,,,,2,0,Completed,5.5,1.14,6,1.17,,,6.36,1.16,6.36,1.22,5.69,1.15
