ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
66,London,Masters Cup,10/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N. ,Berrettini M. ,2,8,8945,2670,6,2,6,1,,,,,,,2,0,Completed,1.12,6,1.11,8.06,1.15,8.92,1.11,6.72
66,London,Masters Cup,10/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Thiem D. ,Federer R. ,5,3,5025,6190,7,5,7,5,,,,,,,2,0,Completed,3.75,1.28,3.69,1.33,3.9,1.33,3.62,1.29
66,London,Masters Cup,11/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Tsitsipas S. ,Medvedev D. ,6,4,4000,5705,7,6,6,4,,,,,,,2,0,Completed,3,1.4,3.14,1.42,3.35,1.43,3.03,1.39
66,London,Masters Cup,11/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Zverev A. ,Nadal R. ,7,1,2945,9585,6,2,6,4,,,,,,,2,0,Completed,3,1.4,3.19,1.41,3.2,1.45,2.98,1.4
66,London,Masters Cup,12/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Federer R. ,Berrettini M. ,3,8,6190,2670,7,6,6,3,,,,,,,2,0,Completed,1.16,5,1.17,5.84,1.2,6.2,1.16,5.43
66,London,Masters Cup,12/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Thiem D. ,Djokovic N. ,5,2,5025,8945,6,7,6,3,7,6,,,,,2,1,Completed,5,1.16,5.68,1.18,5.75,1.22,5.15,1.17
66,London,Masters Cup,13/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Nadal R. ,Medvedev D. ,1,4,9585,5705,6,7,6,3,7,6,,,,,2,1,Completed,2.1,1.72,2.13,1.8,2.28,1.8,2.16,1.71
66,London,Masters Cup,13/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Tsitsipas S. ,Zverev A. ,6,7,4000,2945,6,3,6,2,,,,,,,2,0,Completed,2,1.8,2.2,1.76,2.2,1.85,2.09,1.75
66,London,Masters Cup,14/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Berrettini M. ,Thiem D. ,8,5,2670,5025,7,6,6,3,,,,,,,2,0,Completed,3.2,1.36,3.27,1.39,3.5,1.4,3.2,1.36
66,London,Masters Cup,14/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Federer R. ,Djokovic N. ,3,2,6190,8945,6,4,6,3,,,,,,,2,0,Completed,3.2,1.36,3.12,1.42,3.33,1.42,3.12,1.37
66,London,Masters Cup,15/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Nadal R. ,Tsitsipas S. ,1,6,9585,4000,6,7,6,4,7,5,,,,,2,1,Completed,1.44,2.75,1.39,3.26,1.48,3.3,1.41,2.93
66,London,Masters Cup,15/11/2019,Masters Cup,Indoor,Hard,Round Robin,3,Zverev A. ,Medvedev D. ,7,4,2945,5705,6,4,7,6,,,,,,,2,0,Completed,1.9,1.9,2.14,1.79,2.24,2.06,1.92,1.9
66,London,Masters Cup,16/11/2019,Masters Cup,Indoor,Hard,Semifinals,3,Tsitsipas S. ,Federer R. ,6,3,4000,6190,6,3,6,4,,,,,,,2,0,Completed,3.5,1.3,3.75,1.33,3.75,1.4,3.39,1.33
66,London,Masters Cup,16/11/2019,Masters Cup,Indoor,Hard,Semifinals,3,Thiem D. ,Zverev A. ,5,7,5025,2945,7,5,6,3,,,,,,,2,0,Completed,1.8,2,1.84,2.1,1.87,2.2,1.78,2.06
66,London,Masters Cup,17/11/2019,Masters Cup,Indoor,Hard,The Final,3,Tsitsipas S. ,Thiem D. ,6,5,4000,5025,6,7,6,2,7,6,,,,,2,1,Completed,2,1.8,2,1.93,2.05,1.93,1.96,1.86
