WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
3,Melbourne,Melbourne Summer Set 2,04/01/2022,WTA250,Outdoor,Hard,1st Round,3,Begu I.,Pegula J.,62,18,1076,2650,7,6,6,3,,,2,0,Completed,4,1.25,4.07,1.27,4.33,1.28,3.91,1.24
3,Melbourne,Melbourne Summer Set 2,04/01/2022,WTA250,Outdoor,Hard,1st Round,3,Paolini J.,Schmiedlova A.,53,85,1178,867,2,6,6,3,6,4,2,1,Completed,1.5,2.62,1.63,2.38,1.65,2.62,1.57,2.39
3,Melbourne,Melbourne Summer Set 2,04/01/2022,WTA250,Outdoor,Hard,1st Round,3,Anisimova A.,Van Uytvanck A.,78,58,890,1125,7,6,1,6,7,5,2,1,Completed,1.61,2.3,1.54,2.6,1.62,2.6,1.54,2.42
3,Melbourne,Melbourne Summer Set 2,04/01/2022,WTA250,Outdoor,Hard,1st Round,3,Li A.,Sherif M.,47,63,1314,1049,6,2,6,0,,,2,0,Completed,1.28,3.75,1.31,3.7,1.33,4.15,1.28,3.57
3,Melbourne,Melbourne Summer Set 2,04/01/2022,WTA250,Outdoor,Hard,1st Round,3,Sevastova A.,Garcia C.,70,74,956,945,6,4,6,4,,,2,0,Completed,2.1,1.72,1.97,1.9,2.02,1.95,1.95,1.83
3,Melbourne,Melbourne Summer Set 2,04/01/2022,WTA250,Outdoor,Hard,1st Round,3,Cirstea S.,Gracheva V.,39,77,1589,912,6,0,6,0,,,2,0,Completed,1.66,2.2,1.68,2.27,1.73,2.34,1.66,2.19
3,Melbourne,Melbourne Summer Set 2,04/01/2022,WTA250,Outdoor,Hard,1st Round,3,Tauson C.,Kalinina A.,44,52,1421,1188,7,5,6,3,,,2,0,Completed,1.3,3.5,1.34,3.47,1.4,4.33,1.33,3.22
3,Melbourne,Melbourne Summer Set 2,04/01/2022,WTA250,Outdoor,Hard,1st Round,3,Sorribes Tormo S.,Haddad Maia B.,36,83,1645,868,6,4,5,7,6,3,2,1,Completed,1.57,2.37,1.54,2.6,1.57,2.6,1.53,2.45
3,Melbourne,Melbourne Summer Set 2,05/01/2022,WTA250,Outdoor,Hard,1st Round,3,Parrizas Diaz N.,Perez E.,66,196,1008,348,6,0,6,3,,,2,0,Completed,1.44,2.75,1.46,2.88,1.5,3,1.44,2.76
3,Melbourne,Melbourne Summer Set 2,05/01/2022,WTA250,Outdoor,Hard,1st Round,3,Keys M.,Dart H.,56,123,1149,616,6,3,7,6,,,2,0,Completed,1.4,3,1.45,2.92,1.5,3.2,1.4,2.9
3,Melbourne,Melbourne Summer Set 2,05/01/2022,WTA250,Outdoor,Hard,1st Round,3,Peterson R.,Sharma A.,88,98,853,806,6,1,3,6,6,2,2,1,Completed,1.53,2.5,1.5,2.72,1.58,2.72,1.5,2.54
3,Melbourne,Melbourne Summer Set 2,05/01/2022,WTA250,Outdoor,Hard,1st Round,3,Kasatkina D.,Kalinskaya A.,26,111,2180,716,6,1,3,0,,,1,0,Retired,1.5,2.62,1.55,2.57,1.65,2.7,1.52,2.51
3,Melbourne,Melbourne Summer Set 2,05/01/2022,WTA250,Outdoor,Hard,1st Round,3,Zhu L.,Stosur S.,114,382,683,153,7,6,7,6,,,2,0,Completed,1.14,5.5,1.12,6.94,1.17,7,1.12,5.96
