ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
12,Memphis,Kroger St. Jude,17/02/03,International Gold,Indoor,Hard,1st Round,3,Fish M.,Varlet J.,74,135,3,6,7,6,6,4,,,,,2,1,Completed,1.444,2.625,,,1.3,2.7,,,1.39,2.41
12,Memphis,Kroger St. Jude,17/02/03,International Gold,Indoor,Hard,1st Round,3,Ginepri R.,Sargsian S.,87,77,6,3,6,4,,,,,,,2,0,Completed,1.833,1.833,,,1.75,1.75,1.727,2,1.8,1.7
12,Memphis,Kroger St. Jude,17/02/03,International Gold,Indoor,Hard,1st Round,3,Labadze I.,Lisnard J.R.,118,85,7,5,6,4,,,,,,,2,0,Completed,2.25,1.571,,,2.2,1.45,2.25,1.571,2.1,1.52
12,Memphis,Kroger St. Jude,17/02/03,International Gold,Indoor,Hard,1st Round,3,Taino E.,Carlsen K.,176,60,6,7,6,4,6,4,,,,,2,1,Completed,2.75,1.4,,,2.3,1.4,,,2.85,1.3
12,Memphis,Kroger St. Jude,17/02/03,International Gold,Indoor,Hard,1st Round,3,Vahaly B.,Burgsmuller L.,97,106,6,3,6,4,,,,,,,2,0,Completed,1.727,2,,,1.7,1.8,1.727,2,1.6,1.95
12,Memphis,Kroger St. Jude,18/02/03,International Gold,Indoor,Hard,1st Round,3,Dent T.,Philippoussis M.,68,91,7,6,6,1,,,,,,,2,0,Completed,2.5,1.5,,,2.2,1.45,2.75,1.4,2.6,1.35
12,Memphis,Kroger St. Jude,18/02/03,International Gold,Indoor,Hard,1st Round,3,Morrison J.,Ferreira W.,107,28,7,5,6,4,,,,,,,2,0,Completed,2.75,1.4,,,2.5,1.35,2.875,1.364,3.5,1.18
12,Memphis,Kroger St. Jude,18/02/03,International Gold,Indoor,Hard,1st Round,3,Norman M.,Davydenko N.,101,58,4,6,0,0,,,,,,,0,1,Retired,2.2,1.615,,,1.85,1.65,,,2.65,1.34
12,Memphis,Kroger St. Jude,18/02/03,International Gold,Indoor,Hard,1st Round,3,Spadea V.,Baker B.,70,615,6,2,6,0,,,,,,,2,0,Completed,1.167,4.5,,,1.1,4.5,,,1.09,4.7
12,Memphis,Kroger St. Jude,19/02/03,International Gold,Indoor,Hard,1st Round,3,Blake J.,Vanek J.,23,192,6,3,6,0,,,,,,,2,0,Completed,1.125,5.5,,,1.1,4.5,1.1,6,1.03,7
12,Memphis,Kroger St. Jude,19/02/03,International Gold,Indoor,Hard,1st Round,3,Gambill J. M.,Krajan Z.,34,103,4,6,6,3,6,4,,,,,2,1,Completed,1.222,3.75,,,1.25,3,1.2,4,1.15,4
12,Memphis,Kroger St. Jude,19/02/03,International Gold,Indoor,Hard,1st Round,3,Lee H.T.,Gimelstob J.,62,86,6,3,6,4,,,,,,,2,0,Completed,1.667,2.1,,,1.6,1.9,1.667,2.1,1.66,1.88
12,Memphis,Kroger St. Jude,19/02/03,International Gold,Indoor,Hard,1st Round,3,Roddick A.,Mamiit C.,6,116,6,4,6,4,,,,,,,2,0,Completed,1.125,5.5,,,1.1,4.5,,,1.06,5.65
12,Memphis,Kroger St. Jude,19/02/03,International Gold,Indoor,Hard,1st Round,3,Srichaphan P.,Chang M.,13,120,6,4,6,2,,,,,,,2,0,Completed,1.222,3.75,,,1.15,3.8,1.167,4.5,1.1,4.65
12,Memphis,Kroger St. Jude,19/02/03,International Gold,Indoor,Hard,1st Round,3,Voltchkov V.,Bryan B.,76,225,6,3,6,3,,,,,,,2,0,Completed,1.444,2.625,,,1.4,2.3,1.444,2.625,1.34,2.65
12,Memphis,Kroger St. Jude,20/02/03,International Gold,Indoor,Hard,1st Round,3,Sanguinetti D.,Martin T.,61,59,7,6,6,3,,,,,,,2,0,Completed,2,1.727,,,1.9,1.6,2.1,1.667,1.8,1.7
12,Memphis,Kroger St. Jude,20/02/03,International Gold,Indoor,Hard,2nd Round,3,Dent T.,Gambill J. M.,68,34,7,6,7,6,,,,,,,2,0,Completed,2.2,1.615,,,1.9,1.6,2.1,1.667,1.85,1.67
12,Memphis,Kroger St. Jude,20/02/03,International Gold,Indoor,Hard,2nd Round,3,Ginepri R.,Sanguinetti D.,87,61,6,3,7,6,,,,,,,2,0,Completed,2.25,1.571,,,2.1,1.5,2.25,1.571,2.16,1.49
12,Memphis,Kroger St. Jude,20/02/03,International Gold,Indoor,Hard,2nd Round,3,Labadze I.,Blake J.,118,23,7,6,7,5,,,,,,,2,0,Completed,6.5,1.1,,,4.5,1.1,5.5,1.125,6.1,1.05
