ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
15,Memphis,Regions Morgan Keegan Championships,25/02/08,International Gold,Indoor,Hard,1st Round,3,Guccione C.,Kendrick R.,86,114,481,370,7,6,7,6,,,,,,,2,0,Completed,1.5,2.5,1.55,2.35,1.571,2.25,1.543,2.74,1.55,2.38
15,Memphis,Regions Morgan Keegan Championships,25/02/08,International Gold,Indoor,Hard,1st Round,3,Serra F.,Daniel M.,91,111,456,380,6,1,6,2,,,,,,,2,0,Completed,1.22,4,1.23,3.89,1.25,3.75,1.238,4.8,1.18,4.7
15,Memphis,Regions Morgan Keegan Championships,25/02/08,International Gold,Indoor,Hard,1st Round,3,Melzer J.,Isner J.,61,93,578,452,6,7,6,3,7,6,,,,,2,1,Completed,1.8,1.9,1.58,2.28,1.833,1.833,1.806,2.14,1.7,2.1
15,Memphis,Regions Morgan Keegan Championships,25/02/08,International Gold,Indoor,Hard,1st Round,3,Bjorkman J.,Capdeville P.,85,106,485,408,6,3,6,1,,,,,,,2,0,Completed,2.25,1.57,2.35,1.55,2.2,1.61,2.4,1.667,2.4,1.55
15,Memphis,Regions Morgan Keegan Championships,25/02/08,International Gold,Indoor,Hard,1st Round,3,Falla A.,Sela D.,84,64,486,558,6,4,6,2,,,,,,,2,0,Completed,1.61,2.2,1.45,2.6,1.615,2.2,1.568,2.66,1.55,2.38
15,Memphis,Regions Morgan Keegan Championships,26/02/08,International Gold,Indoor,Hard,1st Round,3,Haas T.,Hartfield D.,30,120,1035,360,6,3,6,2,,,,,,,2,0,Completed,1.28,3.5,1.28,3.46,1.333,3.25,1.313,3.9,1.27,3.6
15,Memphis,Regions Morgan Keegan Championships,26/02/08,International Gold,Indoor,Hard,1st Round,3,Hanescu V.,Lu Y.H.,71,121,517,356,6,3,2,1,,,,,,,1,0,Retired,2.2,1.61,1.87,1.87,2.1,1.667,2.08,1.847,2.15,1.67
15,Memphis,Regions Morgan Keegan Championships,26/02/08,International Gold,Indoor,Hard,1st Round,3,Querrey S.,Russell M.,63,129,558,341,3,6,6,3,7,5,,,,,2,1,Completed,1.36,3,1.3,3.35,1.4,2.75,1.389,3.37,1.37,3
15,Memphis,Regions Morgan Keegan Championships,26/02/08,International Gold,Indoor,Hard,1st Round,3,Darcis S.,Spadea V.,81,70,497,518,7,5,4,6,7,6,,,,,2,1,Completed,2.37,1.53,2.28,1.58,2.375,1.533,2.34,1.694,2.28,1.6
15,Memphis,Regions Morgan Keegan Championships,26/02/08,International Gold,Indoor,Hard,1st Round,3,Stepanek R.,Levine J.,31,165,1010,257,6,1,6,4,,,,,,,2,0,Completed,1.16,4.5,1.2,4.25,1.167,4.5,1.25,4.6,1.2,4.3
