WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,24/02/08,3,Indoor,Hard,1st Round,3,Arvidsson S.,Bremond S.,71,137,461,258,7,6,5,7,6,1,2,1,Completed,1.22,4,1.21,4.06,1.25,3.75,1.225,5.05,,
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,24/02/08,3,Indoor,Hard,1st Round,3,Voracova R.,Ani M.,141,120,251,291,6,3,6,7,7,6,2,1,Completed,2.1,1.66,2.1,1.7,2,1.727,2.16,1.794,,
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,25/02/08,3,Indoor,Hard,1st Round,3,Larcherde Brito M.,Cohen Aloro S.,202,124,140,285,7,5,1,0,,,1,0,Retired,2.25,1.57,2.15,1.65,2.37,1.53,2.55,1.606,2.28,1.6
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,25/02/08,3,Indoor,Hard,1st Round,3,Rodina E.,Yakimova A.,127,158,276,203,7,5,6,4,,,2,0,Completed,1.57,2.25,1.6,2.25,1.615,2.2,1.676,2.38,1.7,2.1
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,25/02/08,3,Indoor,Hard,1st Round,3,Czink M.,Poutchkova O.,149,104,235,333,6,3,3,6,6,4,2,1,Completed,2.75,1.4,2.45,1.5,2.5,1.5,2.94,1.467,2.46,1.52
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,25/02/08,3,Indoor,Hard,1st Round,3,Goerges J.,Osterloh L.,119,93,295,358,7,6,7,6,,,2,0,Completed,2.25,1.57,2.15,1.65,2,1.727,2.3,1.714,2.15,1.67
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,25/02/08,3,Indoor,Hard,1st Round,3,Govortsova O.,Washington M.,49,815,583,10,6,4,6,2,,,2,0,Completed,1.14,5,1.15,4.92,1.2,4.333,1.229,4.96,1.18,4.6
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,25/02/08,3,Indoor,Hard,1st Round,3,Liu A.,Fedak Y.,270,107,95,326,6,4,6,3,,,2,0,Completed,4.33,1.2,4.25,1.2,3.75,1.25,4.3,1.278,4,1.23
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,25/02/08,3,Indoor,Hard,1st Round,3,Dubois S.,King V.,105,118,330,301,6,2,2,6,6,1,2,1,Completed,2.2,1.61,2.35,1.55,,,2.42,1.658,2.18,1.65
14,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,26/02/08,3,Indoor,Hard,1st Round,3,Kudryavtseva A.,Schultz McCarthy B.,116,215,310,129,6,3,5,7,6,2,2,1,Completed,1.72,2,1.8,1.95,,,1.847,2.08,1.8,1.97
