WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
12,Memphis,US National Indoor Tennis Championships,17/02/13,International,Indoor,Hard,1st Round,3,Watson H.,Voskoboeva G.,41,107,1336,641,7,5,5,7,7,6,2,1,Completed,1.5,2.5,1.6,2.25,1.5,2.5,1.65,2.37,1.53,2.38,1.65,2.5,1.58,2.32
12,Memphis,US National Indoor Tennis Championships,17/02/13,International,Indoor,Hard,1st Round,3,Czink M.,Puchkova O.,105,111,662,621,4,6,6,3,6,3,2,1,Completed,2.2,1.61,2,1.75,2.2,1.62,2.09,1.81,2,1.73,2.2,1.81,2.08,1.71
12,Memphis,US National Indoor Tennis Championships,17/02/13,International,Indoor,Hard,1st Round,3,Rybarikova M.,Foretz S.,59,104,977,663,6,3,6,1,,,2,0,Completed,1.3,3.4,1.3,3.3,1.3,3.4,1.29,3.98,1.29,3.25,1.33,4,1.29,3.44
12,Memphis,US National Indoor Tennis Championships,17/02/13,International,Indoor,Hard,1st Round,3,Davis L.,Pervak K.,77,84,824,762,5,7,6,1,6,3,2,1,Completed,2.2,1.61,2.25,1.6,2.25,1.57,2.13,1.79,2.2,1.62,2.26,1.79,2.15,1.67
12,Memphis,US National Indoor Tennis Championships,18/02/13,International,Indoor,Hard,1st Round,3,Vandeweghe C.,Scheepers C.,100,58,684,995,6,2,6,1,,,2,0,Completed,2.62,1.44,2.5,1.5,2.75,1.4,2.5,1.59,2.63,1.44,2.75,1.59,2.55,1.48
12,Memphis,US National Indoor Tennis Championships,18/02/13,International,Indoor,Hard,1st Round,3,Flipkens K.,Peer S.,34,114,1498,598,6,2,6,2,,,2,0,Completed,1.14,5.5,1.15,5,1.2,4.33,1.24,4.44,1.14,5,1.24,5.5,1.17,4.77
12,Memphis,US National Indoor Tennis Championships,18/02/13,International,Indoor,Hard,1st Round,3,Hampton J.,Muguruza G.,66,93,928,707,6,3,6,3,,,2,0,Completed,1.22,4,1.22,4,1.29,3.5,1.3,3.85,1.22,3.75,1.31,4.1,1.26,3.74
12,Memphis,US National Indoor Tennis Championships,18/02/13,International,Indoor,Hard,1st Round,3,Tsurenko L.,Sanchez M.,70,113,889,613,6,2,6,4,,,2,0,Completed,1.61,2.2,1.65,2.15,1.62,2.2,1.69,2.27,1.62,2.2,1.69,2.4,1.63,2.22
12,Memphis,US National Indoor Tennis Championships,18/02/13,International,Indoor,Hard,1st Round,3,Arvidsson S.,Cepelova J.,38,95,1380,700,6,4,6,4,,,2,0,Completed,1.5,2.5,1.55,2.35,1.57,2.25,1.59,2.5,1.67,2.1,1.67,2.65,1.54,2.41
12,Memphis,US National Indoor Tennis Championships,18/02/13,International,Indoor,Hard,1st Round,3,Erakovic M.,Beck A.,71,596,885,41,4,6,7,6,6,4,2,1,Completed,2.25,1.57,2.25,1.6,2.1,1.67,2.37,1.65,2.2,1.62,2.4,1.74,2.25,1.62
