ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
59,Metz,Open de Moselle,11/10/04,International,Indoor,Hard,1st Round,3,Dupuis A.,Ascione T.,94,123,4,6,6,4,7,6,,,,,2,1,Completed,1.833,1.833,2,1.75,1.95,1.8,1.75,1.75,2.03,1.813
59,Metz,Open de Moselle,11/10/04,International,Indoor,Hard,1st Round,3,Gasquet R.,van Scheppingen D.,151,78,6,3,7,6,,,,,,,2,0,Completed,1.909,1.8,1.88,1.88,1.85,1.9,1.75,1.75,1.82,2.02
59,Metz,Open de Moselle,11/10/04,International,Indoor,Hard,1st Round,3,Morrison J.,Rochus C.,101,120,6,4,6,3,,,,,,,2,0,Completed,1.4,2.75,1.4,2.8,1.48,2.53,1.35,2.5,1.41,3.09
59,Metz,Open de Moselle,11/10/04,International,Indoor,Hard,1st Round,3,Mutis O.,Mahut N.,105,115,6,2,2,6,7,6,,,,,2,1,Completed,2.625,1.444,2.85,1.4,2.53,1.48,2.2,1.45,2.63,1.546
59,Metz,Open de Moselle,11/10/04,International,Indoor,Hard,1st Round,3,Patience O.,Kohlschreiber P.,116,92,7,6,0,6,6,4,,,,,2,1,Completed,2,1.727,2,1.75,2,1.75,1.85,1.65,2.16,1.735
59,Metz,Open de Moselle,11/10/04,International,Indoor,Hard,1st Round,3,Sluiter R.,Garcia A.,89,113,6,4,2,0,,,,,,,1,0,Retired,1.36,2.87,1.28,3.45,1.4,2.85,1.3,2.7,1.377,3.25
59,Metz,Open de Moselle,12/10/04,International,Indoor,Hard,1st Round,3,Benneteau J.,Gambill J.M.,71,76,6,3,6,1,,,,,,,2,0,Completed,1.615,2.2,1.57,2.35,1.5,2.45,1.65,1.85,1.535,2.67
59,Metz,Open de Moselle,12/10/04,International,Indoor,Hard,1st Round,3,Clement A.,Muller G.,117,69,6,4,7,6,,,,,,,2,0,Completed,1.8,1.909,1.65,2.15,1.7,2.1,1.6,1.9,1.662,2.31
59,Metz,Open de Moselle,12/10/04,International,Indoor,Hard,1st Round,3,Corretja A.,Rochus O.,86,68,6,3,2,6,7,5,,,,,2,1,Completed,2.375,1.533,2.6,1.48,2.35,1.55,2.3,1.4,2.75,1.505
59,Metz,Open de Moselle,12/10/04,International,Indoor,Hard,1st Round,3,Gicquel M.,Simon G.,166,184,6,2,2,6,7,6,,,,,2,1,Completed,,,,,,,1.7,1.8,,
59,Metz,Open de Moselle,12/10/04,International,Indoor,Hard,1st Round,3,Haehnel J.,Acasuso J.,185,67,6,3,7,6,,,,,,,2,0,Completed,,,1.48,2.55,,,1.55,2,1.571,2.55
59,Metz,Open de Moselle,12/10/04,International,Indoor,Hard,1st Round,3,Ljubicic I.,Hanescu V.,29,79,6,2,6,4,,,,,,,2,0,Completed,1.444,2.625,1.35,3.1,1.4,2.85,1.4,2.3,1.385,3.25
59,Metz,Open de Moselle,12/10/04,International,Indoor,Hard,1st Round,3,Mathieu P.H.,Vliegen K.,149,110,6,4,6,3,,,,,,,2,0,Completed,1.4,2.75,1.36,3.05,1.4,2.85,1.3,2.7,1.383,3.26
59,Metz,Open de Moselle,12/10/04,International,Indoor,Hard,1st Round,3,Serra F.,Monaco J.,208,72,6,4,4,6,6,0,,,,,2,1,Completed,,,,,,,,,,
59,Metz,Open de Moselle,13/10/04,International,Indoor,Hard,1st Round,3,Carraz G.,Arthurs W.,84,93,7,6,6,7,7,6,,,,,2,1,Completed,1.8,1.909,1.83,1.93,1.8,1.95,1.8,1.7,1.769,2.1
59,Metz,Open de Moselle,13/10/04,International,Indoor,Hard,1st Round,3,Monfils G.,Malisse X.,368,49,3,6,7,6,,,,,,,1,1,Retired,4.5,1.16,4.2,1.2,4.67,1.17,3.8,1.15,4.15,1.27
59,Metz,Open de Moselle,13/10/04,International,Indoor,Hard,2nd Round,3,Clement A.,Mutis O.,117,105,7,6,6,1,,,,,,,2,0,Completed,1.44,2.62,1.42,2.75,1.42,2.75,1.45,2.2,1.417,3.05
59,Metz,Open de Moselle,13/10/04,International,Indoor,Hard,2nd Round,3,Gasquet R.,Dupuis A.,151,94,6,3,4,6,7,5,,,,,2,1,Completed,1.53,2.37,1.45,2.65,1.45,2.6,1.45,2.2,1.513,2.72
59,Metz,Open de Moselle,13/10/04,International,Indoor,Hard,2nd Round,3,Haehnel J.,Gicquel M.,185,166,6,4,6,2,,,,,,,2,0,Completed,,,,,,,1.9,1.6,,
59,Metz,Open de Moselle,13/10/04,International,Indoor,Hard,2nd Round,3,Ljubicic I.,Sluiter R.,29,89,4,6,6,3,7,6,,,,,2,1,Completed,1.5,2.5,1.45,2.7,1.45,2.6,1.4,2.3,1.5,2.77
59,Metz,Open de Moselle,14/10/04,International,Indoor,Hard,2nd Round,3,Corretja A.,Carraz G.,86,84,4,6,7,6,6,4,,,,,2,1,Completed,2.2,1.61,2.45,1.53,2.45,1.5,2.2,1.45,2.54,1.575
59,Metz,Open de Moselle,14/10/04,International,Indoor,Hard,2nd Round,3,Mathieu P.H.,Serra F.,149,208,7,6,6,1,,,,,,,2,0,Completed,1.33,3.25,1.33,3.2,1.35,3.1,1.25,3,1.377,3.25
59,Metz,Open de Moselle,14/10/04,International,Indoor,Hard,2nd Round,3,Monfils G.,Patience O.,368,116,6,4,6,4,,,,,,,2,0,Completed,2.2,1.61,2.25,1.6,2.45,1.5,2.2,1.45,2.34,1.649
59,Metz,Open de Moselle,14/10/04,International,Indoor,Hard,2nd Round,3,Morrison J.,Benneteau J.,101,71,6,4,4,6,6,1,,,,,2,1,Completed,2.37,1.53,2.55,1.5,2.63,1.45,2.2,1.45,2.92,1.461
59,Metz,Open de Moselle,15/10/04,International,Indoor,Hard,Quarterfinals,3,Gasquet R.,Monfils G.,151,368,7,5,6,1,,,,,,,2,0,Completed,1.5,2.5,1.42,2.8,1.45,2.65,1.4,2.3,1.513,2.75
59,Metz,Open de Moselle,15/10/04,International,Indoor,Hard,Quarterfinals,3,Haehnel J.,Clement A.,185,117,5,7,6,2,7,5,,,,,2,1,Completed,3.25,1.33,3.2,1.33,3.35,1.3,2.5,1.35,3.39,1.358
59,Metz,Open de Moselle,15/10/04,International,Indoor,Hard,Quarterfinals,3,Mathieu P.H.,Ljubicic I.,149,29,7,6,6,4,,,,,,,2,0,Completed,2.25,1.57,2.15,1.67,2.15,1.65,1.75,1.75,2.26,1.699
59,Metz,Open de Moselle,15/10/04,International,Indoor,Hard,Quarterfinals,3,Morrison J.,Corretja A.,101,86,7,5,6,4,,,,,,,2,0,Completed,1.61,2.2,1.7,2.1,1.8,1.95,1.55,2,1.775,2.13
59,Metz,Open de Moselle,16/10/04,International,Indoor,Hard,Semifinals,3,Gasquet R.,Morrison J.,151,101,6,1,6,4,,,,,,,2,0,Completed,,,1.77,2,1.75,2,1.7,1.9,1.794,2.1
59,Metz,Open de Moselle,16/10/04,International,Indoor,Hard,Semifinals,3,Haehnel J.,Mathieu P.H.,185,149,6,7,7,6,7,6,,,,,2,1,Completed,,,3.7,1.25,3.46,1.28,2.7,1.35,3.85,1.294
