ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
57,Metz,Open de Moselle,02/10/06,International,Indoor,Hard,1st Round,3,Bracciali D.,Kohlschreiber P.,66,64,601,608,4,6,6,3,7,5,,,,,2,1,Completed,1.36,2.87,1.4,2.85,1.35,3.1,1.469,2.93,1.38,2.95
57,Metz,Open de Moselle,02/10/06,International,Indoor,Hard,1st Round,3,Garcia-Lopez G.,Sanguinetti D.,80,79,515,519,7,6,4,6,6,0,,,,,2,1,Completed,1.66,2.1,1.77,2,1.7,2.1,1.719,2.29,1.8,1.96
57,Metz,Open de Moselle,02/10/06,International,Indoor,Hard,1st Round,3,Gicquel M.,Ferrer D.,70,15,558,1675,6,3,5,7,6,4,,,,,2,1,Completed,2.25,1.57,2.2,1.65,2.25,1.6,2.26,1.735,2.26,1.6
57,Metz,Open de Moselle,02/10/06,International,Indoor,Hard,1st Round,3,Serra F.,Soderling R.,61,33,660,928,5,7,7,6,6,2,,,,,2,1,Completed,3,1.36,3.1,1.35,2.92,1.37,3.54,1.365,3,1.35
57,Metz,Open de Moselle,03/10/06,International,Indoor,Hard,1st Round,3,Saulnier C.,Hrbaty D.,217,28,183,1055,4,6,6,3,6,3,,,,,2,1,Completed,3,1.33,3,1.37,3.35,1.3,3.3,1.4,3.25,1.32
57,Metz,Open de Moselle,03/10/06,International,Indoor,Hard,1st Round,3,Melzer J.,Montanes A.,48,82,755,503,7,5,6,2,,,,,,,2,0,Completed,1.16,4.5,1.16,5,1.13,5.5,1.182,6,1.13,5.6
57,Metz,Open de Moselle,03/10/06,International,Indoor,Hard,1st Round,3,Fish M.,Ascione T.,56,213,681,187,4,6,6,3,6,2,,,,,2,1,Completed,1.33,3,1.4,2.85,,,1.476,2.9,1.4,2.84
57,Metz,Open de Moselle,03/10/06,International,Indoor,Hard,1st Round,3,Djokovic N.,Mahut N.,22,67,1183,591,6,2,6,3,,,,,,,2,0,Completed,1.25,3.5,1.33,3.2,1.3,3.35,1.357,3.6,1.33,3.2
57,Metz,Open de Moselle,03/10/06,International,Indoor,Hard,1st Round,3,Mathieu P.H.,Santoro F.,51,49,725,745,6,4,5,7,6,4,,,,,2,1,Completed,2,1.72,2,1.77,1.99,1.76,1.99,1.917,2.02,1.75
57,Metz,Open de Moselle,03/10/06,International,Indoor,Hard,1st Round,3,Clemens T.,Patience O.,265,105,149,409,7,5,6,7,6,3,,,,,2,1,Completed,1.66,2.1,,,,,1.909,2,,
57,Metz,Open de Moselle,03/10/06,International,Indoor,Hard,1st Round,3,Benneteau J.,Ferrero J.C.,45,17,774,1325,6,4,1,6,7,6,,,,,2,1,Completed,2.37,1.53,2.25,1.62,2.35,1.55,2.33,1.699,2.05,1.73
57,Metz,Open de Moselle,03/10/06,International,Indoor,Hard,1st Round,3,Gasquet R.,Stakhovsky S.,26,183,1060,221,6,3,6,1,,,,,,,2,0,Completed,1.07,7.5,1.06,8.5,1.07,7.19,1.057,14.5,1.06,9
57,Metz,Open de Moselle,04/10/06,International,Indoor,Hard,1st Round,3,Ramirez-Hidalgo R.,Verdasco F.,50,27,731,1055,6,3,6,3,,,,,,,2,0,Completed,3.5,1.25,3.85,1.25,3.12,1.34,3.65,1.351,3.4,1.3
