ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
52,Metz,Open de Moselle,15/09/14,ATP250,Indoor,Hard,1st Round,3,Mathieu P.H.,Becker B.,91,59,620,778,7,6,7,6,,,,,,,2,0,Completed,1.72,2,1.8,2,1.73,2,1.74,2.2,1.8,2,1.8,2.2,1.76,2.02
52,Metz,Open de Moselle,15/09/14,ATP250,Indoor,Hard,1st Round,3,Muller G.,Roger-Vasselin E.,66,54,763,850,6,1,7,6,,,,,,,2,0,Completed,2.2,1.61,2.2,1.65,2.25,1.57,2.55,1.57,2.25,1.62,2.55,1.68,2.28,1.61
52,Metz,Open de Moselle,16/09/14,ATP250,Indoor,Hard,1st Round,3,Przysiezny M.,Herbert P.H.,136,127,427,449,6,4,3,6,7,6,,,,,2,1,Completed,2.5,1.5,2.45,1.52,2.25,1.57,2.62,1.54,,,2.66,1.61,2.45,1.53
52,Metz,Open de Moselle,16/09/14,ATP250,Indoor,Hard,1st Round,3,Sijsling I.,Seppi A.,74,48,713,880,6,0,4,1,,,,,,,1,0,Retired,2.37,1.53,2.4,1.55,2.5,1.5,2.37,1.65,2.5,1.5,2.61,1.67,2.36,1.57
52,Metz,Open de Moselle,16/09/14,ATP250,Indoor,Hard,1st Round,3,Kamke T.,De Schepper K.,97,104,600,568,6,3,7,6,,,,,,,2,0,Completed,1.83,1.83,2.05,1.75,2,1.73,1.89,2,,,2.06,2,1.95,1.82
52,Metz,Open de Moselle,16/09/14,ATP250,Indoor,Hard,1st Round,3,Lorenzi P.,Lokoli L.,79,367,684,120,6,2,6,4,,,,,,,2,0,Completed,1.36,3,1.35,3.1,1.36,3,1.45,2.94,,,1.45,3.2,1.38,2.94
52,Metz,Open de Moselle,16/09/14,ATP250,Indoor,Hard,1st Round,3,Janowicz J.,Mannarino A.,40,76,1030,700,2,6,7,6,6,4,,,,,2,1,Completed,1.61,2.2,1.65,2.2,1.62,2.2,1.73,2.22,1.57,2.3,1.73,2.3,1.65,2.2
52,Metz,Open de Moselle,17/09/14,ATP250,Indoor,Hard,1st Round,3,Sousa J.,Dodig I.,39,64,1032,770,6,2,6,2,,,,,,,2,0,Completed,3.25,1.33,3.1,1.35,3,1.36,3.18,1.4,3.13,1.33,3.3,1.4,3.13,1.35
52,Metz,Open de Moselle,17/09/14,ATP250,Indoor,Hard,1st Round,3,Nieminen J.,Stakhovsky S.,57,90,803,621,6,1,6,4,,,,,,,2,0,Completed,1.36,3,1.5,2.5,1.4,2.75,1.53,2.67,1.4,3,1.53,3,1.45,2.71
52,Metz,Open de Moselle,17/09/14,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Lajovic D.,61,60,773,775,6,7,6,3,6,3,,,,,2,1,Completed,1.4,2.75,1.38,3,1.4,2.75,1.47,2.85,1.4,3,1.47,3.24,1.39,2.93
52,Metz,Open de Moselle,17/09/14,ATP250,Indoor,Hard,1st Round,3,Goffin D.,Serra F.,45,450,923,88,6,2,6,2,,,,,,,2,0,Completed,1.12,6,1.13,5.5,1.12,5.5,1.14,6.49,,,1.15,6.5,1.13,5.74
52,Metz,Open de Moselle,17/09/14,ATP250,Indoor,Hard,1st Round,3,Chardy J.,Mahut N.,35,93,1105,610,7,6,7,5,,,,,,,2,0,Completed,1.72,2,1.75,2.05,1.73,2,1.76,2.16,1.73,2,1.83,2.19,1.73,2.07
52,Metz,Open de Moselle,17/09/14,ATP250,Indoor,Hard,2nd Round,3,Tsonga J.W.,Muller G.,11,66,3170,763,7,6,6,4,,,,,,,2,0,Completed,1.2,4.33,1.2,4.3,1.2,4.33,1.25,4.46,1.18,4.5,1.26,4.5,1.21,4.22
52,Metz,Open de Moselle,17/09/14,ATP250,Indoor,Hard,2nd Round,3,Mathieu P.H.,Rosol L.,91,27,620,1290,6,3,6,4,,,,,,,2,0,Completed,1.8,1.9,1.75,2.05,1.83,1.83,2.02,1.88,1.8,1.91,2.02,2.1,1.82,1.96
52,Metz,Open de Moselle,18/09/14,ATP250,Indoor,Hard,2nd Round,3,Goffin D.,Kamke T.,45,97,923,600,6,1,6,3,,,,,,,2,0,Completed,1.25,3.75,1.28,3.5,1.29,3.5,1.28,4.12,,,1.29,4.6,1.25,3.82
52,Metz,Open de Moselle,18/09/14,ATP250,Indoor,Hard,2nd Round,3,Sousa J.,Sijsling I.,39,74,1032,713,6,3,3,6,7,6,,,,,2,1,Completed,1.72,2,1.8,2,1.73,2,1.92,1.99,,,1.92,2.1,1.8,1.97
52,Metz,Open de Moselle,18/09/14,ATP250,Indoor,Hard,2nd Round,3,Kohlschreiber P..,Lorenzi P.,24,79,1505,684,6,3,7,5,,,,,,,2,0,Completed,1.14,5.5,1.15,5.25,1.14,5,1.16,6.09,1.13,5.25,1.18,6.09,1.15,5.27
52,Metz,Open de Moselle,18/09/14,ATP250,Indoor,Hard,2nd Round,3,Struff J.L.,Chardy J.,61,35,773,1105,6,7,6,3,6,4,,,,,2,1,Completed,2.62,1.44,2.5,1.5,2.5,1.5,2.69,1.53,2.5,1.5,2.8,1.53,2.55,1.49
52,Metz,Open de Moselle,18/09/14,ATP250,Indoor,Hard,2nd Round,3,Monfils G.,Przysiezny M.,18,136,1845,427,7,5,6,1,,,,,,,2,0,Completed,1.07,9,1.09,7,1.08,7,1.09,9.5,1.06,8,1.1,9.5,1.08,7.8
52,Metz,Open de Moselle,18/09/14,ATP250,Indoor,Hard,2nd Round,3,Janowicz J.,Nieminen J.,40,57,1030,803,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.6,2.3,1.53,2.38,1.56,2.59,1.62,2.25,1.65,2.59,1.58,2.34
52,Metz,Open de Moselle,19/09/14,ATP250,Indoor,Hard,Quarterfinals,3,Struff J.L.,Kohlschreiber P..,61,24,773,1505,5,0,,,,,,,,,0,0,Retired,3.25,1.33,2.9,1.4,3.4,1.3,3.11,1.43,3.2,1.33,3.4,1.45,3.04,1.37
52,Metz,Open de Moselle,19/09/14,ATP250,Indoor,Hard,Quarterfinals,3,Goffin D.,Tsonga J.W.,45,11,923,3170,1,6,7,6,7,5,,,,,2,1,Completed,2.75,1.4,2.8,1.42,2.75,1.4,2.87,1.49,2.88,1.4,3,1.51,2.79,1.42
52,Metz,Open de Moselle,19/09/14,ATP250,Indoor,Hard,Quarterfinals,3,Monfils G.,Janowicz J.,18,40,1845,1030,6,3,6,4,,,,,,,2,0,Completed,1.33,3.25,1.38,3,1.36,3,1.42,3.16,1.33,3,1.42,3.3,1.36,3.06
52,Metz,Open de Moselle,19/09/14,ATP250,Indoor,Hard,Quarterfinals,3,Sousa J.,Mathieu P.H.,39,91,1032,620,3,6,6,3,7,6,,,,,2,1,Completed,2.25,1.57,2.25,1.62,2.25,1.57,2.39,1.66,2.3,1.57,2.4,1.69,2.25,1.62
52,Metz,Open de Moselle,20/09/14,ATP250,Indoor,Hard,Semifinals,3,Goffin D.,Struff J.L.,45,61,923,773,7,6,6,3,,,,,,,2,0,Completed,1.25,4,1.28,3.5,1.29,3.5,1.3,4,1.25,3.8,1.3,4.3,1.27,3.75
