ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
53,Metz,Open de Moselle,19/09/2022,ATP250,Indoor,Hard,1st Round,3,Korda S.,Gaston H.,49,79,940,667,6,3,7,6,,,,,,,2,0,Completed,1.28,3.75,1.27,4.13,1.3,4.13,1.27,3.68
53,Metz,Open de Moselle,19/09/2022,ATP250,Indoor,Hard,1st Round,3,Sonego L.,Karatsev A.,65,39,755,1130,7,5,6,3,,,,,,,2,0,Completed,2.1,1.72,2.11,1.8,2.16,1.8,2.1,1.72
53,Metz,Open de Moselle,20/09/2022,ATP250,Indoor,Hard,1st Round,3,Ruusuvuori E.,Lehecka J.,51,63,921,766,6,4,6,4,,,,,,,2,0,Completed,1.36,3.2,1.36,3.4,1.44,3.45,1.35,3.13
53,Metz,Open de Moselle,20/09/2022,ATP250,Indoor,Hard,1st Round,3,Basilashvili N.,Bergs Z.,36,134,1210,411,4,6,1,2,,,,,,,0,1,Retired,2.75,1.44,2.58,1.56,2.75,1.62,2.53,1.51
53,Metz,Open de Moselle,20/09/2022,ATP250,Indoor,Hard,1st Round,3,Rinderknech A.,Munar J.,60,56,772,814,6,2,2,6,7,5,,,,,2,1,Completed,1.53,2.5,1.51,2.74,1.58,2.74,1.52,2.48
53,Metz,Open de Moselle,20/09/2022,ATP250,Indoor,Hard,1st Round,3,Simon G.,Goffin D.,175,62,302,770,6,3,6,3,,,,,,,2,0,Completed,3.75,1.28,4.11,1.27,4.22,1.3,3.76,1.26
53,Metz,Open de Moselle,21/09/2022,ATP250,Indoor,Hard,1st Round,3,Ymer M.,Mannarino A.,100,47,540,956,7,5,6,0,,,,,,,2,0,Completed,2.3,1.61,2.39,1.64,2.39,1.68,2.24,1.63
53,Metz,Open de Moselle,21/09/2022,ATP250,Indoor,Hard,1st Round,3,Wawrinka S.,Sousa J.,284,55,175,816,7,6,6,2,,,,,,,2,0,Completed,1.57,2.37,1.6,2.48,1.67,2.48,1.6,2.3
53,Metz,Open de Moselle,21/09/2022,ATP250,Indoor,Hard,1st Round,3,Bublik A.,Furness E.,44,208,985,245,5,7,6,4,7,6,,,,,2,1,Completed,1.16,5,1.15,6.18,1.18,6.18,1.16,5.16
53,Metz,Open de Moselle,21/09/2022,ATP250,Indoor,Hard,1st Round,3,Bonzi B.,Humbert U.,61,110,771,480,6,2,2,6,6,1,,,,,2,1,Completed,1.9,1.9,2.09,1.81,2.1,1.91,1.98,1.81
53,Metz,Open de Moselle,21/09/2022,ATP250,Indoor,Hard,1st Round,3,Barrere G.,Otte O.,167,52,320,875,7,6,7,5,,,,,,,2,0,Completed,1.9,1.9,1.9,1.99,1.9,2.25,1.78,2.02
53,Metz,Open de Moselle,21/09/2022,ATP250,Indoor,Hard,1st Round,3,Thiem D.,Gasquet R.,182,85,296,630,6,3,7,6,,,,,,,2,0,Completed,2,1.8,2.09,1.82,2.1,1.82,2.03,1.77
53,Metz,Open de Moselle,21/09/2022,ATP250,Indoor,Hard,2nd Round,3,Korda S.,Musetti L.,49,30,940,1367,6,3,7,6,,,,,,,2,0,Completed,1.5,2.62,1.5,2.82,1.52,2.82,1.46,2.67
53,Metz,Open de Moselle,22/09/2022,ATP250,Indoor,Hard,2nd Round,3,Rinderknech A.,Basilashvili N.,60,36,772,1210,7,6,6,3,,,,,,,2,0,Completed,1.36,3.2,1.43,3.1,1.43,3.27,1.38,3
53,Metz,Open de Moselle,22/09/2022,ATP250,Indoor,Hard,2nd Round,3,Bublik A.,Ruusuvuori E.,44,51,985,921,6,7,6,4,6,3,,,,,2,1,Completed,2.2,1.66,2.15,1.79,2.25,1.79,2.12,1.71
53,Metz,Open de Moselle,22/09/2022,ATP250,Indoor,Hard,2nd Round,3,Sonego L.,Simon G.,65,175,755,302,7,6,6,4,,,,,,,2,0,Completed,1.4,3,1.43,3.09,1.47,3.09,1.41,2.87
53,Metz,Open de Moselle,22/09/2022,ATP250,Indoor,Hard,2nd Round,3,Ymer M.,Barrere G.,100,167,540,320,6,4,6,3,,,,,,,2,0,Completed,1.44,2.75,1.52,2.72,1.52,2.96,1.46,2.67
53,Metz,Open de Moselle,22/09/2022,ATP250,Indoor,Hard,2nd Round,3,Hurkacz H.,Thiem D.,10,182,3355,296,6,3,6,4,,,,,,,2,0,Completed,1.4,3,1.43,3.07,1.43,3.2,1.38,2.98
53,Metz,Open de Moselle,22/09/2022,ATP250,Indoor,Hard,2nd Round,3,Wawrinka S.,Medvedev D.,284,4,175,5065,6,4,6,7,6,3,,,,,2,1,Completed,6,1.12,7.02,1.14,7.02,1.15,6,1.12
53,Metz,Open de Moselle,22/09/2022,ATP250,Indoor,Hard,2nd Round,3,Rune H.,Bonzi B.,31,61,1348,771,6,4,4,1,,,,,,,1,0,Retired,2.37,1.57,2.55,1.58,2.55,1.63,2.37,1.57
53,Metz,Open de Moselle,23/09/2022,ATP250,Indoor,Hard,Quarterfinals,3,Sonego L.,Korda S.,65,49,755,940,6,4,6,4,,,,,,,2,0,Completed,2.75,1.44,2.85,1.48,3.17,1.48,2.79,1.43
53,Metz,Open de Moselle,23/09/2022,ATP250,Indoor,Hard,Quarterfinals,3,Hurkacz H.,Rinderknech A.,10,60,3355,772,6,3,6,2,,,,,,,2,0,Completed,1.22,4.33,1.26,4.37,1.29,4.4,1.24,4.02
53,Metz,Open de Moselle,23/09/2022,ATP250,Indoor,Hard,Quarterfinals,3,Wawrinka S.,Ymer M.,284,100,175,540,6,4,4,6,7,6,,,,,2,1,Completed,2,1.8,2.11,1.81,2.17,1.91,2.02,1.78
53,Metz,Open de Moselle,23/09/2022,ATP250,Indoor,Hard,Quarterfinals,3,Bublik A.,Rune H.,44,31,985,1348,6,3,5,7,6,4,,,,,2,1,Completed,1.9,1.9,1.89,2.02,1.9,2.1,1.82,1.97
53,Metz,Open de Moselle,24/09/2022,ATP250,Indoor,Hard,Semifinals,3,Sonego L.,Hurkacz H.,65,10,755,3355,7,6,6,4,,,,,,,2,0,Completed,3.5,1.3,3.24,1.4,3.6,1.4,3.37,1.32
