WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Tomljanovic A.,Pervak K.,242,99,232,703,6,2,6,2,,,2,0,Completed,3.25,1.33,3,1.35,2.75,1.4,4.1,1.27,2.88,1.4,4.45,1.43,3.24,1.34
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Morita A.,Watson H.,50,39,1130,1361,1,6,7,5,6,4,2,1,Completed,1.57,2.25,1.65,2.15,1.67,2.1,1.71,2.24,1.62,2.25,1.71,2.46,1.63,2.22
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Hsieh S.W.,Tsurenko L.,38,74,1405,879,6,4,7,6,,,2,0,Completed,2.5,1.5,2.5,1.5,2.38,1.53,2.55,1.57,2.38,1.57,2.64,1.63,2.45,1.53
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Begu I.,Erakovic M.,53,62,1125,965,6,1,4,6,6,4,2,1,Completed,2.25,1.57,2.25,1.6,2.2,1.62,2.28,1.69,2.2,1.67,2.4,1.69,2.25,1.62
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Mladenovic K.,Wozniak A.,48,58,1136,1041,7,5,6,2,,,2,0,Completed,1.4,2.75,1.45,2.65,1.4,2.75,1.53,2.67,1.4,2.88,1.54,3,1.46,2.66
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Pennetta F.,Larsson J.,103,65,662,920,6,4,6,1,,,2,0,Completed,1.66,2.1,1.65,2.15,1.62,2.2,1.87,2.02,1.62,2.25,1.87,2.25,1.72,2.08
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Peng S.,Arvidsson S.,34,51,1470,1130,6,3,6,2,,,2,0,Completed,1.44,2.62,1.55,2.35,1.5,2.5,1.53,2.65,1.57,2.38,1.57,2.66,1.51,2.52
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Bertens K.,Tatishvili A.,42,60,1253,991,6,0,1,0,,,1,0,Retired,1.18,4.5,1.2,4.25,1.2,4.33,1.24,4.55,1.25,3.75,1.25,4.7,1.21,4.24
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Date Krumm K.,Scheepers C.,78,61,830,965,6,2,6,0,,,2,0,Completed,1.53,2.37,1.55,2.35,1.57,2.25,1.68,2.3,1.57,2.38,1.7,2.9,1.61,2.28
17,Miami,Sony Ericsson Open,19/03/13,Premier,Outdoor,Hard,1st Round,3,Petkovic A.,Jovanovski B.,162,41,396,1295,6,3,6,1,,,2,0,Completed,1.5,2.5,1.55,2.35,1.57,2.25,1.51,2.72,1.53,2.5,1.58,2.75,1.51,2.5
17,Miami,Sony Ericsson Open,20/03/13,Premier,Outdoor,Hard,1st Round,3,Hampton J.,Niculescu M.,68,52,898,1130,6,4,6,3,,,2,0,Completed,2,1.72,2.08,1.7,2.1,1.67,2.01,1.87,2.1,1.73,2.18,1.87,2.06,1.73
17,Miami,Sony Ericsson Open,20/03/13,Premier,Outdoor,Hard,1st Round,3,Oprandi R.,Rus A.,59,75,1034,871,6,4,3,6,6,3,2,1,Completed,1.33,3.25,1.3,3.3,1.36,3,1.37,3.26,1.33,3.25,1.39,3.5,1.33,3.21
