WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
54,Monastir,Jasmin Open,16/10/2023,WTA250,Outdoor,Hard,1st Round,3,Burel C.,Bucsa C.,74,81,895,852,6,2,6,2,,,2,0,Completed,1.91,1.91,1.79,2.11,1.93,2.13,1.85,1.93
54,Monastir,Jasmin Open,16/10/2023,WTA250,Outdoor,Hard,1st Round,3,Shymanovich I.,Pigossi L.,176,120,437,583,6,3,6,2,,,2,0,Completed,1.44,2.75,1.47,2.84,1.55,2.9,1.45,2.7
54,Monastir,Jasmin Open,16/10/2023,WTA250,Outdoor,Hard,1st Round,3,Podoroska N.,Schmiedlova A.,77,61,875,967,3,6,6,4,7,5,2,1,Completed,1.73,2.1,1.86,2.02,1.89,2.15,1.79,2.01
54,Monastir,Jasmin Open,16/10/2023,WTA250,Outdoor,Hard,1st Round,3,Stefanini L.,Rosatello C.,125,305,565,205,5,7,6,3,6,1,2,1,Completed,1.25,4,1.25,4.24,1.26,4.27,1.23,3.99
54,Monastir,Jasmin Open,16/10/2023,WTA250,Outdoor,Hard,1st Round,3,Errani S.,Zidansek T.,108,96,652,725,6,2,6,7,6,3,2,1,Completed,2.75,1.44,2.95,1.44,3,1.44,2.83,1.41
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Parrizas Diaz N.,Frech M.,135,69,528,929,6,2,0,6,6,4,2,1,Completed,2.75,1.44,2.89,1.45,2.9,1.5,2.73,1.44
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Bronzetti L.,Kucova K.,62,507,965,99,6,1,6,1,,,2,0,Completed,1.14,5.5,1.14,6.36,1.15,6.36,1.14,5.54
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Zavatska K.,Bouzas Maneiro J.,171,136,447,528,6,4,6,4,,,2,0,Completed,1.67,2.2,1.67,2.3,1.77,2.3,1.66,2.19
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Liu C.,Bektas E.,92,104,749,693,6,2,7,6,,,2,0,Completed,1.57,2.38,1.59,2.46,1.62,2.46,1.58,2.35
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Hontama M.,Bolsova A.,124,131,572,534,4,6,6,4,6,0,2,1,Completed,1.44,2.75,1.44,2.96,1.44,3.05,1.4,2.88
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Mertens E.,Eala A.,36,196,1294,374,7,5,6,0,,,2,0,Completed,1.25,4,1.25,4.31,1.28,4.43,1.23,4.07
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Marcinko P.,Bassols M.,140,110,519,642,7,6,6,2,,,2,0,Completed,1.5,2.63,1.51,2.68,1.63,2.75,1.5,2.55
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Andreeva E.,Semenistaja D.,130,129,540,545,6,2,6,0,,,2,0,Completed,1.4,3,1.39,3.16,1.41,3.16,1.39,2.95
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Kawa K.,Trevisan M.,217,38,331,1282,6,3,3,6,7,5,2,1,Completed,5,1.17,5.18,1.19,5.28,1.2,4.92,1.17
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Paolini J.,Cornet A.,30,117,1395,604,6,4,6,2,,,2,0,Completed,1.44,2.75,1.45,2.92,1.51,2.92,1.46,2.7
54,Monastir,Jasmin Open,17/10/2023,WTA250,Outdoor,Hard,1st Round,3,Tsurenko L.,Paquet C.,34,187,1340,397,6,2,6,3,,,2,0,Completed,1.22,4.33,1.22,4.71,1.22,5.16,1.2,4.39
54,Monastir,Jasmin Open,18/10/2023,WTA250,Outdoor,Hard,2nd Round,3,Bronzetti L.,Errani S.,62,108,965,652,6,3,6,4,,,2,0,Completed,1.4,3,1.43,2.97,1.44,3.25,1.39,2.95
54,Monastir,Jasmin Open,18/10/2023,WTA250,Outdoor,Hard,2nd Round,3,Mertens E.,Shymanovich I.,36,176,1294,437,6,3,6,2,,,2,0,Completed,1.2,4.5,1.22,4.69,1.22,4.69,1.2,4.38
54,Monastir,Jasmin Open,18/10/2023,WTA250,Outdoor,Hard,2nd Round,3,Hontama M.,Podoroska N.,124,77,572,875,6,2,6,1,,,2,0,Completed,1.8,2,1.8,2.09,1.93,2.09,1.83,1.95
54,Monastir,Jasmin Open,18/10/2023,WTA250,Outdoor,Hard,2nd Round,3,Stefanini L.,Kawa K.,125,217,565,331,6,4,6,1,,,2,0,Completed,1.57,2.38,1.59,2.48,1.65,2.65,1.57,2.36
54,Monastir,Jasmin Open,19/10/2023,WTA250,Outdoor,Hard,2nd Round,3,Burel C.,Andreeva E.,74,130,895,540,6,0,5,7,7,6,2,1,Completed,1.91,1.91,2.09,1.8,2.09,1.91,1.97,1.81
54,Monastir,Jasmin Open,19/10/2023,WTA250,Outdoor,Hard,2nd Round,3,Paolini J.,Marcinko P.,30,140,1395,519,6,4,3,6,6,2,2,1,Completed,1.3,3.5,1.29,3.9,1.33,3.9,1.3,3.46
54,Monastir,Jasmin Open,19/10/2023,WTA250,Outdoor,Hard,2nd Round,3,Parrizas Diaz N.,Zavatska K.,135,171,528,447,4,6,7,5,6,2,2,1,Completed,1.91,1.91,1.93,1.94,1.95,2,1.88,1.9
54,Monastir,Jasmin Open,19/10/2023,WTA250,Outdoor,Hard,2nd Round,3,Tsurenko L.,Liu C.,34,92,1340,749,6,1,7,5,,,2,0,Completed,1.5,2.63,1.48,2.81,1.53,2.81,1.48,2.62
54,Monastir,Jasmin Open,20/10/2023,WTA250,Outdoor,Hard,Quarterfinals,3,Paolini J.,Bronzetti L.,30,62,1395,965,7,5,7,6,,,2,0,Completed,1.57,2.38,1.65,2.4,1.65,2.55,1.57,2.37
54,Monastir,Jasmin Open,20/10/2023,WTA250,Outdoor,Hard,Quarterfinals,3,Tsurenko L.,Parrizas Diaz N.,34,135,1340,528,6,3,6,2,,,2,0,Completed,1.3,3.5,1.3,3.93,1.32,4,1.29,3.6
54,Monastir,Jasmin Open,20/10/2023,WTA250,Outdoor,Hard,Quarterfinals,3,Mertens E.,Hontama M.,36,124,1294,572,6,3,6,2,,,2,0,Completed,1.3,3.5,1.4,3.22,1.4,3.66,1.33,3.27
54,Monastir,Jasmin Open,20/10/2023,WTA250,Outdoor,Hard,Quarterfinals,3,Burel C.,Stefanini L.,74,125,895,565,6,3,6,1,,,2,0,Completed,1.5,2.63,1.5,2.79,1.54,2.79,1.5,2.57
54,Monastir,Jasmin Open,21/10/2023,WTA250,Outdoor,Hard,Semifinals,3,Paolini J.,Tsurenko L.,30,34,1395,1340,6,2,4,6,6,2,2,1,Completed,2,1.8,2.08,1.84,2.08,1.93,1.99,1.81
54,Monastir,Jasmin Open,21/10/2023,WTA250,Outdoor,Hard,Semifinals,3,Mertens E.,Burel C.,36,74,1294,895,6,2,6,1,,,2,0,Completed,1.44,2.75,1.52,2.75,1.52,2.78,1.47,2.66
54,Monastir,Jasmin Open,22/10/2023,WTA250,Outdoor,Hard,The Final,3,Mertens E.,Paolini J.,36,30,1294,1395,6,3,6,0,,,2,0,Completed,1.62,2.3,1.66,2.37,1.72,2.37,1.63,2.28
