WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
11,Monterrey,Monterrey Open,20/02/12,International,Outdoor,Hard,1st Round,3,Bratchikova N.,Pivovarova A.,106,143,634,465,6,3,6,1,,,2,0,Completed,1.3,3.4,1.35,3,1.33,3.25,1.38,3.27,1.33,3,1.39,3.5,1.34,3.13
11,Monterrey,Monterrey Open,20/02/12,International,Outdoor,Hard,1st Round,3,Cadantu A.,Dokic J.,110,74,607,824,3,6,6,1,7,5,2,1,Completed,4,1.22,3.3,1.3,3.25,1.33,4.3,1.26,3.2,1.33,4.3,1.33,3.72,1.26
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Vinci R.,Vandeweghe C.,23,156,2170,422,7,5,7,5,,,2,0,Completed,1.14,5.5,1.15,5,1.2,4.33,1.16,5.99,1.2,4,1.2,6,1.15,5.09
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Errani S.,Dubois S.,36,87,1545,745,6,2,6,2,,,2,0,Completed,1.16,5,1.2,4.25,1.2,4.33,1.17,5.71,1.2,4,1.25,5.75,1.18,4.59
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Cornet A.,Luzhanska T.,117,145,578,452,6,4,7,6,,,2,0,Completed,1.36,3,1.35,3,1.36,3,1.36,3.41,1.4,2.75,1.4,3.49,1.36,3.05
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Soler Espinosa S.,Dulgheru A.,71,56,837,1074,6,3,6,3,,,2,0,Completed,3,1.36,2.8,1.4,3,1.36,3.18,1.4,3,1.33,3.2,1.43,2.97,1.37
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Abramovic M.,Panova A.,361,83,123,766,7,5,6,4,,,2,0,Completed,4.5,1.18,4.25,1.2,4.5,1.17,4.61,1.23,3.75,1.22,4.94,1.25,4.33,1.2
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Savinykh V.,Date Krumm K.,111,73,602,825,6,2,6,3,,,2,0,Completed,2.62,1.44,2.5,1.5,2.38,1.53,2.69,1.52,2.25,1.57,2.85,1.57,2.53,1.5
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Shvedova Y.,Karatantcheva S.,170,132,384,516,6,1,4,6,6,3,2,1,Completed,1.53,2.37,1.6,2.25,1.57,2.25,1.62,2.43,1.53,2.38,1.65,2.53,1.57,2.33
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Arn G.,Zhang S.,68,150,860,437,6,1,6,4,,,2,0,Completed,1.4,2.75,1.4,2.8,1.44,2.62,1.53,2.67,1.5,2.5,1.53,2.9,1.46,2.64
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Dominguez Lino L.,Puig M.,112,190,596,334,6,3,6,3,,,2,0,Completed,1.66,2.1,1.8,1.95,1.8,1.91,1.81,2.09,1.73,2,1.82,2.18,1.73,2.03
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Babos T.,Hermoso X.,107,382,632,111,6,2,6,3,,,2,0,Completed,1.07,9,1.08,7,1.07,7.5,1.07,10.91,1.07,7,1.1,12.46,1.06,8.7
11,Monterrey,Monterrey Open,21/02/12,International,Outdoor,Hard,1st Round,3,Minella M.,Johansson M.,94,97,677,665,6,1,5,7,7,6,2,1,Completed,1.72,2,1.7,2.08,1.73,2,1.74,2.21,1.57,2.25,1.8,2.25,1.71,2.06
11,Monterrey,Monterrey Open,22/02/12,International,Outdoor,Hard,1st Round,3,Birnerova E.,Marosi K.,109,481,611,71,7,6,6,4,,,2,0,Completed,1.8,1.9,1.75,2,1.8,1.91,1.83,2.08,1.73,2,1.85,2.08,1.78,1.97
11,Monterrey,Monterrey Open,22/02/12,International,Outdoor,Hard,1st Round,3,Cirstea S.,Voegele S.,48,128,1231,540,6,3,2,6,7,5,2,1,Completed,1.2,4.33,1.22,4,1.25,3.75,1.22,4.74,1.33,3.25,1.33,4.74,1.23,3.96
11,Monterrey,Monterrey Open,22/02/12,International,Outdoor,Hard,1st Round,3,Mayr P.,Dulko G.,103,64,638,953,6,4,7,6,,,2,0,Completed,3.5,1.28,3.3,1.3,3.25,1.33,3.7,1.32,3.25,1.29,3.75,1.33,3.44,1.29
11,Monterrey,Monterrey Open,22/02/12,International,Outdoor,Hard,2nd Round,3,Cadantu A.,Soler Espinosa S.,110,71,607,837,7,6,6,3,,,2,0,Completed,2.75,1.4,2.8,1.4,2.75,1.4,3.11,1.42,2.88,1.36,3.15,1.56,2.8,1.41
11,Monterrey,Monterrey Open,22/02/12,International,Outdoor,Hard,2nd Round,3,Bratchikova N.,Vinci R.,106,23,634,2170,7,5,7,5,,,2,0,Completed,3.25,1.33,3,1.35,3.4,1.3,3.52,1.35,3.25,1.33,3.52,1.36,3.26,1.32
11,Monterrey,Monterrey Open,23/02/12,International,Outdoor,Hard,2nd Round,3,Errani S.,Cornet A.,36,117,1545,578,6,2,6,3,,,2,0,Completed,1.14,5.5,1.15,5,1.17,4.5,1.17,5.98,1.14,5,1.18,6.35,1.15,5.09
11,Monterrey,Monterrey Open,23/02/12,International,Outdoor,Hard,2nd Round,3,Dominguez Lino L.,Savinykh V.,112,111,596,602,6,4,6,2,,,2,0,Completed,1.72,2,1.8,1.95,1.73,2,1.79,2.14,2.2,1.67,2.2,2.15,1.76,2
11,Monterrey,Monterrey Open,23/02/12,International,Outdoor,Hard,2nd Round,3,Arn G.,Abramovic M.,68,361,860,123,6,4,6,2,,,2,0,Completed,1.18,4.5,1.2,4.25,1.22,4,1.22,4.93,1.2,4.33,1.22,5.15,1.2,4.32
11,Monterrey,Monterrey Open,23/02/12,International,Outdoor,Hard,2nd Round,3,Mayr P.,Birnerova E.,103,109,638,611,6,1,6,3,,,2,0,Completed,1.61,2.2,1.8,1.95,1.83,1.83,1.8,2.13,1.67,2.1,1.85,2.2,1.76,2
11,Monterrey,Monterrey Open,24/02/12,International,Outdoor,Hard,2nd Round,3,Minella M.,Shvedova Y.,94,170,677,384,6,3,6,7,6,4,2,1,Completed,3,1.36,2.8,1.4,2.62,1.44,3.11,1.42,2.75,1.4,3.15,1.44,2.85,1.39
11,Monterrey,Monterrey Open,24/02/12,International,Outdoor,Hard,2nd Round,3,Babos T.,Cirstea S.,107,48,632,1231,4,6,6,4,6,2,2,1,Completed,3.25,1.33,3.3,1.3,3.5,1.29,3.64,1.33,2.5,1.53,3.64,1.53,3.24,1.33
11,Monterrey,Monterrey Open,24/02/12,International,Outdoor,Hard,Quarterfinals,3,Arn G.,Bratchikova N.,68,106,860,634,6,1,7,6,,,2,0,Completed,2,1.72,2,1.75,2,1.73,2.17,1.79,2.1,1.73,2.17,1.92,1.98,1.77
11,Monterrey,Monterrey Open,24/02/12,International,Outdoor,Hard,Quarterfinals,3,Cadantu A.,Dominguez Lino L.,110,112,607,596,6,2,6,0,,,2,0,Completed,2.75,1.4,2.65,1.45,2.62,1.44,2.9,1.48,2.5,1.53,2.9,1.53,2.64,1.45
11,Monterrey,Monterrey Open,25/02/12,International,Outdoor,Hard,Quarterfinals,3,Babos T.,Mayr P.,107,103,632,638,6,4,6,2,,,2,0,Completed,1.36,3,1.4,2.8,1.4,2.75,1.43,3.12,1.44,2.63,1.45,3.2,1.41,2.83
11,Monterrey,Monterrey Open,25/02/12,International,Outdoor,Hard,Quarterfinals,3,Errani S.,Minella M.,36,94,1545,677,6,1,6,2,,,2,0,Completed,1.12,6,1.14,5.2,1.14,5,1.17,6.19,1.17,5,1.17,6.4,1.14,5.53
11,Monterrey,Monterrey Open,25/02/12,International,Outdoor,Hard,Semifinals,3,Babos T.,Errani S.,107,36,632,1545,6,4,6,7,6,4,2,1,Completed,4.33,1.2,3.75,1.25,3.75,1.25,4.47,1.26,3.75,1.25,4.47,1.26,3.99,1.23
11,Monterrey,Monterrey Open,26/02/12,International,Outdoor,Hard,Semifinals,3,Cadantu A.,Arn G.,110,68,607,860,6,2,4,6,7,5,2,1,Completed,2.62,1.44,2.35,1.55,2.5,1.5,2.77,1.52,2.5,1.53,2.77,1.55,2.52,1.5
11,Monterrey,Monterrey Open,26/02/12,International,Outdoor,Hard,The Final,3,Babos T.,Cadantu A.,107,110,632,607,6,4,6,4,,,2,0,Completed,1.36,3,1.4,2.8,1.33,3.25,1.41,3.24,1.44,2.75,1.45,3.3,1.39,2.93
