WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Tsurenko L.,Rogers S.,85,80,652,691,6,2,6,0,,,2,0,Completed,1.5,2.5,1.48,2.6,1.5,2.5,1.52,2.7,1.53,2.84,1.48,2.57
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Bacsinszky T.,Wickmayer Y.,31,91,1533,631,7,6,3,6,6,4,2,1,Completed,1.2,4.33,1.22,4,1.22,4,1.28,4.06,1.29,4.9,1.22,4.07
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Rybarikova M.,Jaksic J.,47,144,1046,386,6,3,3,6,7,5,2,1,Completed,1.2,4.33,1.22,4,1.25,3.75,1.26,4.28,1.29,4.75,1.23,4.02
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Larsson J.,Bertens K.,53,71,954,783,6,3,6,2,,,2,0,Completed,1.57,2.25,1.62,2.2,1.62,2.2,1.68,2.3,1.75,2.4,1.65,2.19
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Parmentier P.,Krunic A.,103,75,567,729,3,6,6,4,6,1,2,1,Completed,4,1.22,3.75,1.22,3.75,1.25,4.11,1.27,4.2,1.29,3.88,1.24
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Hercog P.,Sanchez A.S.,74,288,730,139,6,2,6,3,,,2,0,Completed,1.08,8,1.08,7.25,1.1,6.5,1.09,8.44,1.3,8.5,1.09,7.17
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Mladenovic K.,Smitkova T.,64,58,815,863,6,4,6,4,,,2,0,Completed,2.25,1.57,2.2,1.65,2.2,1.62,2.16,1.76,2.3,1.76,2.18,1.65
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Errani S.,Davis L.,12,54,2670,920,6,0,6,3,,,2,0,Completed,1.44,2.62,1.42,2.75,1.5,2.5,1.52,2.69,1.52,2.85,1.45,2.67
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Zvonareva V.,Riske A.,155,44,333,1105,6,4,6,0,,,2,0,Completed,1.53,2.37,1.6,2.25,1.62,2.2,1.6,2.49,1.63,2.55,1.58,2.32
14,Monterrey,Monterrey Open,03/03/15,International,Outdoor,Hard,1st Round,3,Radwanska U.,Torro Flor M.T.,141,82,392,679,7,6,7,6,,,2,0,Completed,1.36,3,,,1.4,2.75,1.36,3.38,1.44,3.38,1.38,2.96
