ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
7,Montpellier,Open Sud de France,05/02/13,ATP250,Indoor,Hard,1st Round,3,Darcis S.,Mannarino A.,94,161,561,340,6,4,7,6,,,,,,,2,0,Completed,2.62,1.44,2.5,1.5,2.25,1.57,2.66,1.53,2.38,1.53,2.66,1.85,2.5,1.51
7,Montpellier,Open Sud de France,05/02/13,ATP250,Indoor,Hard,1st Round,3,Hajek J.,Sela D.,97,107,538,502,2,6,7,5,6,1,,,,,2,1,Completed,3,1.36,2.8,1.4,2.62,1.44,3.05,1.43,2.75,1.4,3.1,1.45,2.79,1.42
7,Montpellier,Open Sud de France,05/02/13,ATP250,Indoor,Hard,1st Round,3,Nieminen J.,Serra F.,67,144,720,376,6,3,6,2,,,,,,,2,0,Completed,1.36,3,1.35,3,1.44,2.62,1.43,3.05,1.4,2.75,1.46,3.3,1.39,2.89
7,Montpellier,Open Sud de France,05/02/13,ATP250,Indoor,Hard,1st Round,3,Hanescu V.,Olaso G.,59,296,753,149,6,1,7,6,,,,,,,2,0,Completed,1.33,3.25,1.35,3,1.3,3.4,1.37,3.3,1.29,3.25,1.38,3.5,1.34,3.18
7,Montpellier,Open Sud de France,05/02/13,ATP250,Indoor,Hard,1st Round,3,Paire B.,Menendez-Maceiras A.,43,207,900,224,6,0,6,2,,,,,,,2,0,Completed,1.22,4,1.25,3.65,1.22,4,1.25,4.36,1.22,3.75,1.26,4.6,1.23,4.01
7,Montpellier,Open Sud de France,05/02/13,ATP250,Indoor,Hard,1st Round,3,Monfils G.,Bemelmans R.,108,118,495,453,7,5,6,4,,,,,,,2,0,Completed,1.16,5,1.18,4.5,1.2,4.33,1.2,5.11,1.17,4.5,1.21,5.8,1.18,4.76
7,Montpellier,Open Sud de France,05/02/13,ATP250,Indoor,Hard,1st Round,3,Stakhovsky S.,Mathieu P.H.,105,54,503,793,6,4,6,4,,,,,,,2,0,Completed,3,1.36,3.05,1.35,3,1.36,2.9,1.46,2.88,1.36,3.45,1.47,2.92,1.38
7,Montpellier,Open Sud de France,06/02/13,ATP250,Indoor,Hard,1st Round,3,Troicki V.,Pouille L.,39,405,995,93,6,4,7,5,,,,,,,2,0,Completed,1.16,5,1.13,5.5,1.17,4.5,1.21,4.96,1.13,5.5,1.22,5.75,1.16,5.03
7,Montpellier,Open Sud de France,06/02/13,ATP250,Indoor,Hard,1st Round,3,Brugues-Davi A.,Kukushkin M.,184,155,268,356,6,7,6,3,7,6,,,,,2,1,Completed,1.36,3,1.4,2.8,1.44,2.62,1.48,2.84,1.5,2.5,1.67,3.2,1.42,2.8
7,Montpellier,Open Sud de France,06/02/13,ATP250,Indoor,Hard,1st Round,3,Benneteau J.,Ungur A.,38,100,1015,528,6,3,4,2,,,,,,,1,0,Retired,1.04,13,1.06,7.5,1.07,7.5,1.05,13.12,1.06,7,1.07,14.5,1.05,9.94
7,Montpellier,Open Sud de France,06/02/13,ATP250,Indoor,Hard,1st Round,3,Ito T.,Roger-Vasselin E.,84,98,613,536,3,6,7,6,7,5,,,,,2,1,Completed,3.75,1.25,3.75,1.25,3.4,1.3,4.19,1.27,3.5,1.25,4.19,1.32,3.66,1.27
7,Montpellier,Open Sud de France,06/02/13,ATP250,Indoor,Hard,1st Round,3,Llodra M.,De Schepper K.,62,110,743,483,6,3,6,3,,,,,,,2,0,Completed,1.36,3,1.37,2.9,1.4,2.75,1.38,3.3,1.4,2.75,1.44,3.45,1.38,2.95
7,Montpellier,Open Sud de France,06/02/13,ATP250,Indoor,Hard,2nd Round,3,Nieminen J.,Davydenko N.,67,37,720,1050,6,3,7,6,,,,,,,2,0,Completed,2.37,1.53,2.35,1.55,2.62,1.44,2.54,1.58,2.63,1.44,2.63,1.67,2.45,1.52
7,Montpellier,Open Sud de France,06/02/13,ATP250,Indoor,Hard,2nd Round,3,Paire B.,Darcis S.,43,94,900,561,4,6,7,6,6,4,,,,,2,1,Completed,1.36,3,1.4,2.8,1.44,2.62,1.36,3.44,1.33,3,1.44,3.45,1.37,2.98
7,Montpellier,Open Sud de France,07/02/13,ATP250,Indoor,Hard,2nd Round,3,Hajek J.,Troicki V.,97,39,538,995,6,0,4,2,,,,,,,1,0,Retired,3.75,1.25,3.75,1.25,3.75,1.25,3.85,1.31,4,1.2,4.2,1.31,3.71,1.26
7,Montpellier,Open Sud de France,07/02/13,ATP250,Indoor,Hard,2nd Round,3,Simon G.,Brugues-Davi A.,14,184,2235,268,7,6,6,2,,,,,,,2,0,Completed,1.08,8,1.08,7,1.11,6,1.11,8.24,1.07,7,1.12,10.5,1.08,7.33
7,Montpellier,Open Sud de France,07/02/13,ATP250,Indoor,Hard,2nd Round,3,Stakhovsky S.,Ito T.,105,84,503,613,6,7,6,4,7,6,,,,,2,1,Completed,1.4,2.75,1.45,2.65,1.44,2.62,1.47,2.89,1.44,2.63,1.48,2.95,1.42,2.75
7,Montpellier,Open Sud de France,07/02/13,ATP250,Indoor,Hard,2nd Round,3,Llodra M.,Tipsarevic J.,62,9,743,3180,6,3,7,6,,,,,,,2,0,Completed,2.1,1.66,2.08,1.7,2.1,1.67,2.18,1.77,2.1,1.67,2.35,1.8,2.08,1.71
7,Montpellier,Open Sud de France,07/02/13,ATP250,Indoor,Hard,2nd Round,3,Gasquet R.,Monfils G.,10,108,2720,495,6,3,2,6,6,3,,,,,2,1,Completed,1.53,2.37,1.6,2.25,1.57,2.25,1.62,2.45,1.62,2.2,1.67,2.5,1.59,2.29
7,Montpellier,Open Sud de France,07/02/13,ATP250,Indoor,Hard,2nd Round,3,Benneteau J.,Hanescu V.,38,59,1015,753,6,4,6,4,,,,,,,2,0,Completed,1.18,4.5,1.19,4.35,1.17,4.5,1.17,5.86,1.2,4,1.2,6.4,1.16,4.97
