ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
7,Montpellier,Open Sud de France,01/02/16,ATP250,Indoor,Hard,1st Round,3,Zverev A.,Vanni L.,85,103,651,560,6,7,6,4,7,5,,,,,2,1,Completed,1.4,2.75,1.42,2.8,1.44,2.75,1.42,3.09,1.5,3.15,1.41,2.83
7,Montpellier,Open Sud de France,01/02/16,ATP250,Indoor,Hard,1st Round,3,Baghdatis M.,Lacko L.,53,109,814,522,7,5,7,5,,,,,,,2,0,Completed,1.44,2.62,1.45,2.7,1.44,2.75,1.43,3.01,1.48,3.01,1.44,2.71
7,Montpellier,Open Sud de France,01/02/16,ATP250,Indoor,Hard,1st Round,3,Daniel T.,Istomin D.,97,61,603,781,6,2,6,2,,,,,,,2,0,Completed,2.75,1.4,2.7,1.45,2.75,1.44,2.7,1.52,2.75,1.55,2.65,1.46
7,Montpellier,Open Sud de France,02/02/16,ATP250,Indoor,Hard,1st Round,3,Bemelmans R.,Sousa J.,107,33,524,1191,6,4,3,6,6,4,,,,,2,1,Completed,4,1.22,4.3,1.2,4.33,1.22,4.81,1.22,4.81,1.23,4.35,1.2
7,Montpellier,Open Sud de France,02/02/16,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Mahut N.,108,54,522,812,6,3,7,5,,,,,,,2,0,Completed,2.25,1.57,2.25,1.62,2.38,1.57,2.22,1.73,2.38,1.73,2.22,1.64
7,Montpellier,Open Sud de France,02/02/16,ATP250,Indoor,Hard,1st Round,3,Mathieu P.H.,Ymer E.,93,155,609,376,6,1,6,4,,,,,,,2,0,Completed,1.44,2.62,1.45,2.7,1.5,2.62,1.49,2.78,1.51,2.85,1.46,2.66
7,Montpellier,Open Sud de France,02/02/16,ATP250,Indoor,Hard,1st Round,3,De Schepper K.,Basilashvili N.,156,116,376,503,4,6,7,6,6,3,,,,,2,1,Completed,1.4,2.75,1.42,2.8,1.44,2.75,1.43,3.05,1.5,3.05,1.42,2.79
7,Montpellier,Open Sud de France,02/02/16,ATP250,Indoor,Hard,1st Round,3,Berrer M.,Coric B.,121,38,487,1066,7,6,6,2,,,,,,,2,0,Completed,3,1.36,3,1.35,3,1.4,3.36,1.37,3.45,1.4,3.06,1.37
7,Montpellier,Open Sud de France,02/02/16,ATP250,Indoor,Hard,1st Round,3,Brown D.,Darcis S.,133,106,458,532,7,5,7,5,,,,,,,2,0,Completed,1.61,2.2,1.65,2.15,1.62,2.25,1.87,2.02,1.87,2.4,1.67,2.17
7,Montpellier,Open Sud de France,02/02/16,ATP250,Indoor,Hard,1st Round,3,Gulbis E.,Halys Q.,82,171,661,316,6,4,6,3,,,,,,,2,0,Completed,1.44,2.62,1.5,2.5,1.5,2.62,1.57,2.55,1.57,2.65,1.5,2.54
7,Montpellier,Open Sud de France,02/02/16,ATP250,Indoor,Hard,1st Round,3,Millman J.,Benneteau J.,78,693,701,38,6,3,6,0,,,,,,,2,0,Completed,1.53,2.37,1.62,2.25,1.57,2.38,1.67,2.33,1.69,2.38,1.61,2.29
