WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
41,Montreal,Rogers Cup,06/08/18,Premier,Outdoor,Hard,1st Round,3,Sevastova A.,Krunic A.,19,49,2165,1160,6,1,6,0,,,2,0,Completed,1.3,3.4,1.3,3.2,1.36,3.25,1.38,3.28,1.38,3.47,1.34,3.27
41,Montreal,Rogers Cup,06/08/18,Premier,Outdoor,Hard,1st Round,3,Kontaveit A.,Makarova E.,30,46,1477,1221,4,6,6,3,6,1,2,1,Completed,1.72,2,1.72,2,1.8,2,1.82,2.09,1.83,2.2,1.76,2.07
41,Montreal,Rogers Cup,06/08/18,Premier,Outdoor,Hard,1st Round,3,Goerges J.,Babos T.,10,38,3900,1325,3,6,7,6,6,4,2,1,Completed,1.25,3.75,1.25,3.6,1.25,4,1.33,3.62,1.35,3.9,1.28,3.67
41,Montreal,Rogers Cup,06/08/18,Premier,Outdoor,Hard,1st Round,3,Safarova L.,Gavrilova D.,58,23,964,1885,4,6,6,4,7,5,2,1,Completed,1.53,2.37,1.55,2.3,1.57,2.37,1.6,2.47,1.63,2.5,1.57,2.41
41,Montreal,Rogers Cup,06/08/18,Premier,Outdoor,Hard,1st Round,3,Pliskova Ka.,Siniakova K.,9,52,4485,1085,6,4,6,4,,,2,0,Completed,1.33,3.25,1.32,3.1,1.36,3.25,1.33,3.62,1.36,3.7,1.32,3.37
41,Montreal,Rogers Cup,06/08/18,Premier,Outdoor,Hard,1st Round,3,Rybarikova M.,Strycova B.,29,21,1540,1975,3,6,7,6,6,2,2,1,Completed,2.37,1.53,2.2,1.6,2.25,1.61,2.35,1.66,2.45,1.66,2.32,1.62
41,Montreal,Rogers Cup,06/08/18,Premier,Outdoor,Hard,1st Round,3,Tsurenko L.,Boulter K.,45,114,1225,574,6,4,6,2,,,2,0,Completed,1.33,3.25,1.33,3.05,1.44,2.75,1.38,3.26,1.42,3.38,1.37,3.13
41,Montreal,Rogers Cup,06/08/18,Premier,Outdoor,Hard,1st Round,3,Williams V.,Dolehide C.,14,124,2901,498,7,5,6,1,,,2,0,Completed,1.36,3,1.4,2.75,1.44,2.75,1.43,3.03,1.49,3.1,1.42,2.89
41,Montreal,Rogers Cup,07/08/18,Premier,Outdoor,Hard,1st Round,3,Barty A.,Begu I.,16,55,2555,995,6,3,1,6,7,5,2,1,Completed,1.2,4.33,1.19,4.2,1.2,4.5,1.19,5.35,1.22,5.45,1.19,4.69
41,Montreal,Rogers Cup,07/08/18,Premier,Outdoor,Hard,1st Round,3,Konta J.,Ostapenko J.,43,11,1255,3787,6,7,6,1,6,2,2,1,Completed,1.72,2,1.75,1.95,1.8,2,1.81,2.1,1.83,2.1,1.77,2.04
41,Montreal,Rogers Cup,07/08/18,Premier,Outdoor,Hard,1st Round,3,Cirstea S.,Niculescu M.,54,69,1035,868,3,6,6,4,6,4,2,1,Completed,2,1.72,2,1.72,2,1.8,2.25,1.71,2.25,1.83,2.08,1.75
41,Montreal,Rogers Cup,07/08/18,Premier,Outdoor,Hard,1st Round,3,Van Uytvanck A.,Zhuk S.,41,149,1288,404,6,1,6,2,,,2,0,Completed,1.57,2.25,1.55,2.3,1.61,2.25,1.59,2.5,1.6,2.6,1.55,2.45
