WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Badosa P.,Golubic V.,31,47,2152,1531,6,2,6,3,,,2,0,Completed,1.53,2.5,1.55,2.6,1.57,2.71,1.51,2.53
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Ferro F.,Tomljanovic A.,84,49,970,1490,2,6,6,2,,,1,1,Retired,3,1.4,3.27,1.38,3.27,1.47,2.99,1.39
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Siniakova K.,Ostapenko J.,55,32,1295,2120,6,1,6,3,,,2,0,Completed,2.3,1.61,2.26,1.7,2.55,1.77,2.22,1.65
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Podoroska N.,Linette M.,38,44,1762,1693,6,1,6,2,,,2,0,Completed,2.3,1.61,2.55,1.57,2.55,1.64,2.41,1.56
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Anisimova A.,Martincova T.,86,61,940,1212,6,1,4,3,,,1,0,Retired,1.72,2.1,1.66,2.34,1.72,2.4,1.63,2.25
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Cirstea S.,Riske A.,40,37,1734,1780,6,3,6,4,,,2,0,Completed,1.66,2.2,1.64,2.38,1.78,2.38,1.69,2.16
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Sakkari M.,Bouzkova M.,18,74,3295,1038,6,4,3,1,,,1,0,Retired,1.2,4.5,1.22,4.74,1.23,5,1.2,4.48
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Dodin O.,Muchova K.,109,23,790,2876,6,3,1,6,6,2,2,1,Completed,3.75,1.28,3.6,1.33,3.85,1.35,3.44,1.3
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Jabeur O.,Burel C.,22,101,2930,850,6,1,6,3,,,2,0,Completed,1.28,3.75,1.29,3.98,1.32,4.15,1.27,3.7
40,Montreal,Canadian Open,09/08/2021,WTA1000,Outdoor,Hard,1st Round,3,Potapova A.,Rogers S.,100,43,853,1698,7,6,6,3,,,2,0,Completed,2.75,1.44,2.77,1.5,2.82,1.54,2.64,1.48
