ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
59,Moscow,Kremlin Cup,10/10/05,International,Indoor,Carpet,1st Round,3,Mayer F.,Burgsmuller L.,80,124,484,348,6,3,6,2,,,,,,,2,0,Completed,1.39,2.75,1.35,3.1,1.4,2.85,1.45,2.35,1.407,3.25
59,Moscow,Kremlin Cup,10/10/05,International,Indoor,Carpet,1st Round,3,Hernych J.,Serra F.,78,54,495,710,6,4,6,4,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,1.95,1.8,2,1.6,2.11,1.826
59,Moscow,Kremlin Cup,10/10/05,International,Indoor,Carpet,1st Round,3,Kiefer N.,Popp A.,37,253,900,142,6,4,6,1,,,,,,,2,0,Completed,1.14,5,1.15,5.25,1.17,4.67,1.15,4,1.171,6.35
59,Moscow,Kremlin Cup,10/10/05,International,Indoor,Carpet,1st Round,3,Clement A.,Vik R.,69,77,543,496,7,5,6,2,,,,,,,2,0,Completed,1.36,2.87,1.45,2.7,1.5,2.45,1.4,2.5,1.532,2.68
59,Moscow,Kremlin Cup,10/10/05,International,Indoor,Carpet,1st Round,3,Andreev I.,Kohlschreiber P.,38,94,895,451,6,4,6,2,,,,,,,2,0,Completed,1.25,3.5,1.16,4.9,1.15,4.9,1.2,3.6,1.235,4.85
59,Moscow,Kremlin Cup,10/10/05,International,Indoor,Carpet,1st Round,3,Mirnyi M.,Kirillov E.,25,843,1125,14,6,1,6,3,,,,,,,2,0,Completed,1.05,8,,,,,1.05,6,1.086,10.66
59,Moscow,Kremlin Cup,11/10/05,International,Indoor,Carpet,1st Round,3,Volandri F.,Sabau R.,42,86,836,469,6,0,6,1,,,,,,,2,0,Completed,1.66,2.1,1.65,2.2,1.65,2.15,1.5,2.2,1.68,2.37
59,Moscow,Kremlin Cup,11/10/05,International,Indoor,Carpet,1st Round,3,Pavel A.,Bohli S.,49,667,745,27,6,4,6,4,,,,,,,2,0,Completed,,,,,,,1.15,4,,
59,Moscow,Kremlin Cup,11/10/05,International,Indoor,Carpet,1st Round,3,Goldstein P.,Ledovskikh M.,93,618,457,32,6,2,6,4,,,,,,,2,0,Completed,,,,,,,1.25,3.2,,
59,Moscow,Kremlin Cup,11/10/05,International,Indoor,Carpet,1st Round,3,Gabashvili T.,Muller G.,154,73,259,523,6,3,6,1,,,,,,,2,0,Completed,3.75,1.22,3.1,1.35,3.35,1.3,2.7,1.35,3.65,1.351
59,Moscow,Kremlin Cup,11/10/05,International,Indoor,Carpet,1st Round,3,Tursunov D.,Carlsen K.,125,64,347,610,6,1,1,0,,,,,,,1,0,Retired,1.44,2.62,1.45,2.7,1.45,2.6,1.65,1.95,1.1,2
59,Moscow,Kremlin Cup,12/10/05,International,Indoor,Carpet,1st Round,3,Saulnier C.,Hrbaty D.,68,19,545,1326,4,6,6,3,6,3,,,,,2,1,Completed,3,1.33,3,1.37,2.85,1.4,2.5,1.4,2.99,1.457
59,Moscow,Kremlin Cup,12/10/05,International,Indoor,Carpet,1st Round,3,Rusedski G.,Llodra M.,29,108,1043,393,6,3,6,1,,,,,,,2,0,Completed,1.39,2.75,1.4,2.85,1.45,2.6,1.5,2.2,1.463,2.96
59,Moscow,Kremlin Cup,12/10/05,International,Indoor,Carpet,1st Round,3,Youzhny M.,Dlouhy L.,24,91,1140,458,6,4,6,3,,,,,,,2,0,Completed,1.16,4.5,1.2,4.4,1.15,5.2,1.2,3.6,1.193,5.67
59,Moscow,Kremlin Cup,12/10/05,International,Indoor,Carpet,1st Round,3,Kunitsyn I.,Santoro F.,153,83,266,480,6,4,6,4,,,,,,,2,0,Completed,3,1.33,2.7,1.45,2.85,1.4,2.7,1.35,3.14,1.427
59,Moscow,Kremlin Cup,12/10/05,International,Indoor,Carpet,1st Round,3,Bracciali D.,Davydenko N.,95,7,444,2175,3,6,6,4,6,4,,,,,2,1,Completed,5,1.14,5.65,1.13,5.2,1.15,4,1.15,6.9,1.154
59,Moscow,Kremlin Cup,12/10/05,International,Indoor,Carpet,2nd Round,3,Mirnyi M.,Gabashvili T.,25,154,1125,259,4,6,6,3,6,1,,,,,2,1,Completed,1.25,3.5,1.37,3,1.35,3.1,1.25,3.2,1.366,3.53
59,Moscow,Kremlin Cup,12/10/05,International,Indoor,Carpet,2nd Round,3,Kiefer N.,Mayer F.,37,80,900,484,6,4,6,3,,,,,,,2,0,Completed,1.39,2.75,1.4,2.85,1.36,2.97,1.4,2.5,1.461,2.97
59,Moscow,Kremlin Cup,12/10/05,International,Indoor,Carpet,2nd Round,3,Andreev I.,Clement A.,38,69,895,543,6,2,6,4,,,,,,,2,0,Completed,1.53,2.37,1.48,2.6,1.42,2.75,1.5,2.2,1.515,2.74
59,Moscow,Kremlin Cup,13/10/05,International,Indoor,Carpet,2nd Round,3,Tursunov D.,Volandri F.,125,42,347,836,6,1,7,6,,,,,,,2,0,Completed,1.39,2.75,1.4,2.85,1.45,2.6,1.5,2.2,1.452,3.01
59,Moscow,Kremlin Cup,13/10/05,International,Indoor,Carpet,2nd Round,3,Youzhny M.,Goldstein P.,24,93,1140,457,7,5,4,6,6,3,,,,,2,1,Completed,1.19,4.33,1.16,5,1.15,5.2,1.2,3.6,1.196,5.59
59,Moscow,Kremlin Cup,13/10/05,International,Indoor,Carpet,2nd Round,3,Pavel A.,Saulnier C.,49,68,745,545,7,6,2,6,7,5,,,,,2,1,Completed,1.8,1.9,1.93,1.83,1.87,1.87,1.75,1.85,2.13,1.813
59,Moscow,Kremlin Cup,13/10/05,International,Indoor,Carpet,2nd Round,3,Bracciali D.,Hernych J.,95,78,444,495,6,3,7,6,,,,,,,2,0,Completed,1.8,1.9,1.75,2.05,1.8,1.95,1.6,2,1.885,2.03
59,Moscow,Kremlin Cup,13/10/05,International,Indoor,Carpet,2nd Round,3,Kunitsyn I.,Rusedski G.,153,29,266,1043,7,6,6,3,,,,,,,2,0,Completed,4.33,1.19,4.1,1.22,3.9,1.25,3.2,1.25,4.5,1.256
59,Moscow,Kremlin Cup,14/10/05,International,Indoor,Carpet,Quarterfinals,3,Kiefer N.,Mirnyi M.,37,25,900,1125,6,3,6,4,,,,,,,2,0,Completed,1.5,2.5,1.45,2.75,1.44,2.67,1.5,2.2,1.5,2.8
59,Moscow,Kremlin Cup,14/10/05,International,Indoor,Carpet,Quarterfinals,3,Kunitsyn I.,Pavel A.,153,49,266,745,6,3,6,2,,,,,,,2,0,Completed,2.5,1.5,2.35,1.6,2.15,1.65,2.1,1.55,2.38,1.676
59,Moscow,Kremlin Cup,14/10/05,International,Indoor,Carpet,Quarterfinals,3,Tursunov D.,Youzhny M.,125,24,347,1140,6,2,4,6,6,2,,,,,2,1,Completed,2.37,1.53,2.5,1.53,2.35,1.55,2.2,1.5,2.52,1.617
59,Moscow,Kremlin Cup,14/10/05,International,Indoor,Carpet,Quarterfinals,3,Andreev I.,Bracciali D.,38,95,895,444,6,4,6,1,,,,,,,2,0,Completed,1.39,2.75,1.45,2.75,1.37,2.92,1.45,2.35,1.433,3.11
59,Moscow,Kremlin Cup,15/10/05,International,Indoor,Carpet,Semifinals,3,Andreev I.,Tursunov D.,38,125,895,347,5,7,7,5,6,2,,,,,2,1,Completed,1.57,2.25,1.67,2.2,1.55,2.35,1.55,2.1,1.649,2.44
59,Moscow,Kremlin Cup,15/10/05,International,Indoor,Carpet,Semifinals,3,Kiefer N.,Kunitsyn I.,37,153,900,266,6,2,6,4,,,,,,,2,0,Completed,1.33,3.25,1.3,3.4,1.3,3.35,1.25,3.2,1.322,3.81
59,Moscow,Kremlin Cup,16/10/05,International,Indoor,Carpet,The Final,3,Andreev I.,Kiefer N.,38,37,895,900,5,7,7,6,6,2,,,,,2,1,Completed,2.25,1.57,2.6,1.5,2.45,1.5,2,1.6,2.51,1.621
