ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
58,Moscow,Kremlin Cup,08/10/07,International,Indoor,Carpet,1st Round,3,Kohlschreiber P.,Gimelstob J.,33,547,895,40,6,1,6,3,,,,,,,2,0,Completed,1.16,4.5,1.18,4.65,1.15,5.2,1.18,6.05,1.17,4.8
58,Moscow,Kremlin Cup,08/10/07,International,Indoor,Carpet,1st Round,3,Serra F.,Starace P.,111,29,388,951,4,6,6,4,6,3,,,,,2,1,Completed,1.61,2.2,1.68,2.15,1.65,2.15,1.775,2.19,1.64,2.2
58,Moscow,Kremlin Cup,08/10/07,International,Indoor,Carpet,1st Round,3,Tipsarevic J.,Roitman S.,68,62,546,582,3,6,6,4,6,4,,,,,2,1,Completed,1.28,3.5,1.28,3.6,1.26,3.59,1.267,4.45,1.26,3.7
58,Moscow,Kremlin Cup,08/10/07,International,Indoor,Carpet,1st Round,3,Stepanek R.,Gabashvili T.,35,94,885,437,7,5,6,3,,,,,,,2,0,Completed,1.14,5,1.2,4.4,1.18,4.45,1.19,5.75,1.17,4.8
58,Moscow,Kremlin Cup,09/10/07,International,Indoor,Carpet,1st Round,3,Mathieu P.H.,Grosjean S.,24,75,1180,521,6,2,6,2,,,,,,,2,0,Completed,1.57,2.25,1.62,2.25,1.55,2.35,1.699,2.33,1.58,2.32
58,Moscow,Kremlin Cup,09/10/07,International,Indoor,Carpet,1st Round,3,Berrer M.,Acasuso J.,72,64,534,570,6,7,7,5,6,4,,,,,2,1,Completed,1.8,1.9,1.8,1.98,1.7,2.1,1.833,2.1,1.8,1.95
58,Moscow,Kremlin Cup,09/10/07,International,Indoor,Carpet,1st Round,3,Cilic M.,Bolelli S.,104,91,408,456,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.47,2.63,1.53,2.4,1.546,2.73,,
58,Moscow,Kremlin Cup,09/10/07,International,Indoor,Carpet,1st Round,3,Davydenko N.,Tsonga J.W.,4,53,3255,637,7,6,6,2,,,,,,,2,0,Completed,1.16,4.5,1.23,4,,,1.25,4.6,1.22,4.1
58,Moscow,Kremlin Cup,09/10/07,International,Indoor,Carpet,1st Round,3,Kunitsyn I.,Hartfield D.,80,81,514,506,7,6,1,6,6,1,,,,,2,1,Completed,1.16,4.5,1.23,4,1.2,4.25,1.264,4.49,1.18,4.6
58,Moscow,Kremlin Cup,09/10/07,International,Indoor,Carpet,1st Round,3,Vliegen K.,Troicki V.,66,137,561,319,6,3,2,2,,,,,,,1,0,Retired,1.72,2,1.8,1.98,,,1.758,2.22,1.82,1.94
58,Moscow,Kremlin Cup,09/10/07,International,Indoor,Carpet,1st Round,3,Lapentti N.,Santoro F.,113,37,377,824,3,6,6,3,6,2,,,,,2,1,Completed,2.75,1.39,2.7,1.45,2.6,1.45,2.9,1.476,2.68,1.45
58,Moscow,Kremlin Cup,09/10/07,International,Indoor,Carpet,1st Round,3,Safin M.,Matsukevitch D.,28,422,1005,71,7,6,7,5,,,,,,,2,0,Completed,1.07,7.5,1.1,6.5,1.07,7.19,1.12,8.55,,
58,Moscow,Kremlin Cup,09/10/07,International,Indoor,Carpet,1st Round,3,Tursunov D.,Zverev M.,30,107,950,400,6,4,3,6,6,4,,,,,2,1,Completed,1.16,4.5,1.23,4,1.17,4.67,1.233,4.9,1.22,4.1
