WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
57,Moscow,Kremlin Cup,08/10/07,1,Indoor,Carpet,1st Round,3,Dushevina V.,Daniilidou E.,46,40,618.75,711.75,7,5,6,1,,,2,0,Completed,2.37,1.53,2.15,1.66,,,2.43,1.654,,
57,Moscow,Kremlin Cup,08/10/07,1,Indoor,Carpet,1st Round,3,Schnyder P.,Loit E.,15,44,1694,659,6,4,6,1,,,2,0,Completed,1.14,5,1.12,5.65,1.14,5.2,1.155,6.87,1.17,4.8
57,Moscow,Kremlin Cup,08/10/07,1,Indoor,Carpet,1st Round,3,Bartoli M.,Bondarenko A.,12,25,1991,1041,6,2,7,5,,,2,0,Completed,1.39,2.75,1.38,2.9,1.38,2.9,1.417,3.2,1.4,2.85
57,Moscow,Kremlin Cup,09/10/07,1,Indoor,Carpet,1st Round,3,Dulko G.,Mirza S.,41,29,695.75,921,6,3,6,4,,,2,0,Completed,2.62,1.44,2.3,1.58,2.55,1.48,2.78,1.524,2.58,1.48
57,Moscow,Kremlin Cup,09/10/07,1,Indoor,Carpet,1st Round,3,Vesnina E.,Gagliardi E.,54,128,537.75,287.5,6,2,6,4,,,2,0,Completed,1.33,3.25,1.38,2.9,1.33,3.15,1.405,3.27,,
57,Moscow,Kremlin Cup,09/10/07,1,Indoor,Carpet,1st Round,3,Perebiynis T.,Krajicek M.,130,31,277,859,6,4,1,6,7,5,2,1,Completed,5.5,1.12,4.85,1.16,5.5,1.13,7.25,1.146,,
57,Moscow,Kremlin Cup,09/10/07,1,Indoor,Carpet,1st Round,3,Vaidisova N.,Shvedova Y.,13,89,1735,377.5,7,6,6,3,,,2,0,Completed,1.07,7.5,1.1,6.3,1.07,7.27,1.08,11,,
57,Moscow,Kremlin Cup,09/10/07,1,Indoor,Carpet,1st Round,3,Dementieva E.,Molik A.,14,70,1727,437,6,2,4,6,6,3,2,1,Completed,1.11,6,1.1,6.3,1.1,6.25,1.125,8.2,1.11,6.3
57,Moscow,Kremlin Cup,09/10/07,1,Indoor,Carpet,1st Round,3,Azarenka V.,Bammer S.,32,21,856.5,1298,6,3,6,4,,,2,0,Completed,2.25,1.57,2.3,1.58,2.2,1.63,2.35,1.69,2.24,1.62
57,Moscow,Kremlin Cup,09/10/07,1,Indoor,Carpet,1st Round,3,Radwanska A.,Kirilenko M.,33,26,844.75,983,6,4,4,6,6,1,2,1,Completed,1.83,1.83,2.07,1.74,1.87,1.87,1.98,1.926,1.94,1.82
57,Moscow,Kremlin Cup,10/10/07,1,Indoor,Carpet,1st Round,3,Zvonareva V.,Mauresmo A.,24,11,1061,1995,4,6,6,3,6,4,2,1,Completed,2.25,1.57,2,1.75,2.2,1.63,2.43,1.654,2.32,1.58
57,Moscow,Kremlin Cup,10/10/07,1,Indoor,Carpet,1st Round,3,Safina D.,Muller M.,17,52,1665,559.75,6,1,6,3,,,2,0,Completed,1.05,9,1.05,10,1.04,9.25,1.05,16.12,1.08,7.4
57,Moscow,Kremlin Cup,10/10/07,1,Indoor,Carpet,2nd Round,3,Dushevina V.,Bartoli M.,46,12,618.75,1991,2,6,6,0,6,4,2,1,Completed,2.5,1.5,2.4,1.53,2.65,1.45,2.83,1.493,2.64,1.46
57,Moscow,Kremlin Cup,10/10/07,1,Indoor,Carpet,2nd Round,3,Dementieva E.,Schnyder P.,14,15,1727,1694,6,3,6,4,,,2,0,Completed,1.53,2.37,1.46,2.6,1.5,2.5,1.606,2.55,1.52,2.45
57,Moscow,Kremlin Cup,10/10/07,1,Indoor,Carpet,2nd Round,3,Kuznetsova S.,Dulko G.,2,41,3650,695.75,3,6,6,2,6,4,2,1,Completed,1.08,7,1.12,5.65,1.08,6.91,1.1,9,1.1,6.75
57,Moscow,Kremlin Cup,10/10/07,1,Indoor,Carpet,2nd Round,3,Azarenka V.,Sharapova M.,32,4,856.5,3235,7,6,6,2,,,2,0,Completed,4.5,1.16,3.8,1.24,4,1.22,4.72,1.243,4.6,1.18
57,Moscow,Kremlin Cup,11/10/07,1,Indoor,Carpet,2nd Round,3,Williams S.,Perebiynis T.,7,130,2466,277,7,5,6,4,,,2,0,Completed,1.03,11,1.03,12,1.03,10,1.038,21,1.03,12
57,Moscow,Kremlin Cup,11/10/07,1,Indoor,Carpet,2nd Round,3,Vaidisova N.,Vesnina E.,13,54,1735,537.75,6,3,6,4,,,2,0,Completed,1.16,4.5,1.22,4,1.17,4.65,1.214,5.27,1.17,4.8
57,Moscow,Kremlin Cup,11/10/07,1,Indoor,Carpet,2nd Round,3,Zvonareva V.,Radwanska A.,24,33,1061,844.75,6,2,6,2,,,2,0,Completed,1.57,2.25,1.58,2.3,1.57,2.3,1.617,2.52,1.53,2.44
57,Moscow,Kremlin Cup,11/10/07,1,Indoor,Carpet,2nd Round,3,Safina D.,Chakvetadze A.,17,6,1665,2890,7,6,6,2,,,2,0,Completed,2.5,1.5,2.4,1.53,2.65,1.45,2.95,1.465,2.52,1.5
57,Moscow,Kremlin Cup,12/10/07,1,Indoor,Carpet,Quarterfinals,3,Dementieva E.,Azarenka V.,14,32,1727,856.5,7,6,6,2,,,2,0,Completed,1.44,2.62,1.45,2.65,1.45,2.65,1.552,2.71,1.52,2.45
57,Moscow,Kremlin Cup,12/10/07,1,Indoor,Carpet,Quarterfinals,3,Safina D.,Zvonareva V.,17,24,1665,1061,6,2,3,6,6,3,2,1,Completed,2.62,1.44,2.55,1.48,2.65,1.45,2.84,1.49,2.6,1.47
57,Moscow,Kremlin Cup,12/10/07,1,Indoor,Carpet,Quarterfinals,3,Kuznetsova S.,Dushevina V.,2,46,3650,618.75,6,2,6,2,,,2,0,Completed,1.12,5.5,1.17,4.65,1.15,5,1.167,6.4,1.17,4.8
57,Moscow,Kremlin Cup,12/10/07,1,Indoor,Carpet,Quarterfinals,3,Williams S.,Vaidisova N.,7,13,2466,1735,6,4,7,6,,,2,0,Completed,1.4,2.75,1.45,2.65,1.42,2.75,1.476,2.9,1.4,2.85
57,Moscow,Kremlin Cup,13/10/07,1,Indoor,Carpet,Semifinals,3,Dementieva E.,Safina D.,14,17,1727,1665,6,1,6,0,,,2,0,Completed,1.5,2.5,1.53,2.4,1.5,2.5,1.595,2.58,1.5,2.52
57,Moscow,Kremlin Cup,13/10/07,1,Indoor,Carpet,Semifinals,3,Williams S.,Kuznetsova S.,7,2,2466,3650,7,6,6,1,,,2,0,Completed,2,1.72,2.05,1.72,2,1.75,2.22,1.758,1.97,1.8
57,Moscow,Kremlin Cup,14/10/07,1,Indoor,Carpet,The Final,3,Dementieva E.,Williams S.,14,7,1727,2466,5,7,6,1,6,1,2,1,Completed,3,1.36,3.15,1.33,2.85,1.4,3.36,1.391,2.95,1.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
