WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
53,Moscow,Kremlin Cup,06/10/08,1,Indoor,Carpet,1st Round,3,Mauresmo A.,Cornet A.,25,19,1042,1423,6,7,6,3,6,4,2,1,Completed,1.5,2.5,1.55,2.35,1.5,2.5,1.562,2.68,1.58,2.32
53,Moscow,Kremlin Cup,06/10/08,1,Indoor,Carpet,1st Round,3,Cibulkova D.,Bartoli M.,20,15,1262,1570,6,1,4,1,,,1,0,Retired,2.25,1.57,2.23,1.61,2.1,1.667,2.36,1.685,2.38,1.55
53,Moscow,Kremlin Cup,06/10/08,1,Indoor,Carpet,1st Round,3,Dushevina V.,Vaidisova N.,77,22,432,1142,6,1,3,6,6,3,2,1,Completed,1.83,1.83,1.9,1.85,1.909,1.8,1.943,1.962,1.97,1.8
53,Moscow,Kremlin Cup,07/10/08,1,Indoor,Carpet,1st Round,3,Zvonareva V.,Kirilenko M.,9,32,2182,926,6,4,6,4,,,2,0,Completed,1.14,5,1.18,4.45,1.2,4.333,1.25,4.6,1.2,4.3
53,Moscow,Kremlin Cup,07/10/08,1,Indoor,Carpet,1st Round,3,Srebotnik K.,Bondarenko A.,21,33,1187,916,6,2,6,1,,,2,0,Completed,1.4,2.75,1.5,2.45,1.4,2.75,,,,
53,Moscow,Kremlin Cup,07/10/08,1,Indoor,Carpet,1st Round,3,Makarova E.,Vesnina E.,55,74,554,462,7,6,7,6,,,2,0,Completed,1.4,2.75,1.4,2.75,1.5,2.5,1.556,2.7,1.5,2.52
53,Moscow,Kremlin Cup,07/10/08,1,Indoor,Carpet,1st Round,3,Errani S.,Azarenka V.,43,17,646,1534,1,6,6,4,6,3,2,1,Completed,5,1.14,,,4.5,1.167,,,,
53,Moscow,Kremlin Cup,07/10/08,1,Indoor,Carpet,1st Round,3,Kuznetsova S.,Li N.,7,29,2920,1012,6,4,7,5,,,2,0,Completed,1.4,2.75,1.4,2.75,1.444,2.625,1.398,3.31,1.4,2.85
53,Moscow,Kremlin Cup,07/10/08,1,Indoor,Carpet,1st Round,3,Hantuchova D.,Schiavone F.,13,23,1611,1079,6,3,6,2,,,2,0,Completed,2.25,1.57,2.35,1.55,2.375,1.533,2.6,1.588,2.42,1.54
53,Moscow,Kremlin Cup,07/10/08,1,Indoor,Carpet,1st Round,3,Pennetta F.,Williams V.,18,8,1510,2311,6,4,2,6,6,4,2,1,Completed,6,1.11,5.2,1.15,5,1.143,6.25,1.174,5.5,1.14
