WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
53,Moscow,Kremlin Cup,19/10/09,Premier,Indoor,Hard,1st Round,3,Petrova N.,Buchina Y.,17,953,2670,11,6,2,6,0,,,2,0,Completed,1.02,12,1.03,10.5,1.04,9,1.05,8,1.03,12
53,Moscow,Kremlin Cup,19/10/09,Premier,Indoor,Hard,1st Round,3,Bondarenko A.,Chakvetadze A.,36,65,1620,963,6,4,6,3,,,2,0,Completed,1.5,2.5,1.55,2.35,1.5,2.5,1.57,2.25,1.5,2.52
53,Moscow,Kremlin Cup,19/10/09,Premier,Indoor,Hard,1st Round,3,Govortsova O.,Pervak K.,67,122,955,520,6,3,4,6,6,0,2,1,Completed,2.1,1.66,2.1,1.65,2.25,1.571,,,2.15,1.67
53,Moscow,Kremlin Cup,19/10/09,Premier,Indoor,Hard,1st Round,3,Safarova L.,Makarova E.,41,57,1480,1123,6,2,6,2,,,2,0,Completed,1.36,3,1.4,2.85,1.4,2.75,1.4,2.75,1.4,2.85
53,Moscow,Kremlin Cup,19/10/09,Premier,Indoor,Hard,1st Round,3,Martinez-Sanchez M.J.,Cibulkova D.,34,25,1652,1927,6,2,6,2,,,2,0,Completed,1.66,2.1,1.7,2.1,1.727,2,1.83,1.83,1.78,2
53,Moscow,Kremlin Cup,20/10/09,Premier,Indoor,Hard,1st Round,3,Kleybanova A.,Rybarikova M.,27,45,1750,1395,6,1,6,2,,,2,0,Completed,1.5,2.5,1.48,2.55,1.533,2.375,1.67,2.1,1.57,2.34
53,Moscow,Kremlin Cup,20/10/09,Premier,Indoor,Hard,1st Round,3,Dushevina V.,Voskoboeva G.,51,97,1275,661,3,6,6,2,6,1,2,1,Completed,1.22,4,1.26,3.59,1.3,3.4,1.29,3.25,1.25,3.8
53,Moscow,Kremlin Cup,20/10/09,Premier,Indoor,Hard,1st Round,3,Pironkova T.,Pavlyuchenkova A.,126,30,517,1735,6,3,2,6,6,4,2,1,Completed,4.33,1.2,3.75,1.25,4,1.222,3.5,1.29,4.3,1.2
53,Moscow,Kremlin Cup,20/10/09,Premier,Indoor,Hard,1st Round,3,Wozniak A.,Errani S.,31,49,1715,1370,6,1,,,,,0,1,Retired,1.44,2.62,1.45,2.6,1.444,2.625,1.44,2.63,1.45,2.7
53,Moscow,Kremlin Cup,20/10/09,Premier,Indoor,Hard,1st Round,3,Jankovic J.,Shvedova Y.,9,50,3965,1281,6,4,5,7,6,1,2,1,Completed,1.16,4.5,1.17,4.67,1.222,4,1.2,4,1.2,4.35
53,Moscow,Kremlin Cup,20/10/09,Premier,Indoor,Hard,1st Round,3,Niculescu M.,Cirstea S.,84,39,766,1566,3,0,,,,,0,0,Retired,2,1.72,2.1,1.68,2,1.72,2.38,1.53,2.03,1.75
53,Moscow,Kremlin Cup,20/10/09,Premier,Indoor,Hard,1st Round,3,Zvonareva V.,Olaru I.,7,71,4810,922,6,2,6,2,,,2,0,Completed,1.04,10,1.05,8.5,1.083,7,1.04,9,1.06,8.5
53,Moscow,Kremlin Cup,21/10/09,Premier,Indoor,Hard,1st Round,3,Rodina E.,Vesnina E.,127,22,514,2030,6,1,3,6,6,2,2,1,Completed,4,1.22,4.25,1.2,3.5,1.286,3.5,1.25,3.65,1.27
53,Moscow,Kremlin Cup,21/10/09,Premier,Indoor,Hard,1st Round,3,Kirilenko M.,Radwanska A.,61,10,1035,3720,6,3,6,3,,,2,0,Completed,3.25,1.33,3.3,1.3,3,1.36,2.75,1.4,3.1,1.35
53,Moscow,Kremlin Cup,21/10/09,Premier,Indoor,Hard,1st Round,3,Schiavone F.,Llagostera Vives N.,24,133,1935,477,6,7,6,4,6,3,2,1,Completed,1.33,3.25,1.3,3.35,1.286,3.5,1.3,3.2,1.33,3.2
53,Moscow,Kremlin Cup,21/10/09,Premier,Indoor,Hard,1st Round,3,Szavay A.,Pennetta F.,46,12,1393,3160,4,6,3,0,,,0,1,Retired,5,1.14,5.2,1.15,4.5,1.167,4,1.2,5,1.16
53,Moscow,Kremlin Cup,21/10/09,Premier,Indoor,Hard,2nd Round,3,Govortsova O.,Martinez-Sanchez M.J.,67,34,955,1652,6,1,6,4,,,2,0,Completed,2.75,1.4,2.85,1.4,2.625,1.444,2.5,1.5,2.88,1.4
53,Moscow,Kremlin Cup,21/10/09,Premier,Indoor,Hard,2nd Round,3,Bondarenko A.,Petrova N.,36,17,1620,2670,7,6,6,3,,,2,0,Completed,2.75,1.4,2.75,1.43,2.625,1.444,2.63,1.44,2.64,1.46
53,Moscow,Kremlin Cup,22/10/09,Premier,Indoor,Hard,2nd Round,3,Kleybanova A.,Rodina E.,27,127,1750,514,6,1,6,2,,,2,0,Completed,1.16,4.5,1.23,3.89,1.222,4,1.22,3.75,1.18,4.65
53,Moscow,Kremlin Cup,22/10/09,Premier,Indoor,Hard,2nd Round,3,Kirilenko M.,Wozniak A.,61,31,1035,1715,6,4,6,3,,,2,0,Completed,1.83,1.83,1.85,1.9,1.833,1.833,1.83,1.83,1.84,1.93
53,Moscow,Kremlin Cup,22/10/09,Premier,Indoor,Hard,2nd Round,3,Schiavone F.,Niculescu M.,24,84,1935,766,6,2,7,5,,,2,0,Completed,1.36,3,1.35,3.1,1.364,3,1.33,3,1.4,2.88
53,Moscow,Kremlin Cup,22/10/09,Premier,Indoor,Hard,2nd Round,3,Dushevina V.,Szavay A.,51,46,1275,1393,3,6,6,4,6,3,2,1,Completed,1.4,2.75,1.45,2.6,1.444,2.625,1.5,2.5,1.45,2.67
53,Moscow,Kremlin Cup,22/10/09,Premier,Indoor,Hard,2nd Round,3,Pironkova T.,Zvonareva V.,126,7,517,4810,6,0,6,2,,,2,0,Completed,7,1.08,5.5,1.13,5.5,1.125,5,1.14,6.3,1.11
