WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
54,Moscow,Kremlin Cup,15/10/12,International,Indoor,Hard,1st Round,3,Arvidsson S.,Jovanovski B.,46,55,1240,1115,6,2,6,4,,,2,0,Completed,1.61,2.2,1.7,2.08,1.62,2.2,1.64,2.38,1.73,2,1.73,2.46,1.64,2.19
54,Moscow,Kremlin Cup,15/10/12,International,Indoor,Hard,1st Round,3,Safarova L.,Gasparyan M.,18,227,2205,249,6,3,4,6,6,2,2,1,Completed,1.16,5,1.13,5.5,1.14,5,1.17,5.68,1.1,6,1.2,5.68,1.16,4.99
54,Moscow,Kremlin Cup,15/10/12,International,Indoor,Hard,1st Round,3,Zakopalova K.,Cadantu A.,31,85,1475,776,6,3,6,3,,,2,0,Completed,1.2,4.33,1.25,3.75,1.22,4,1.24,4.44,1.25,3.5,1.25,4.7,1.23,3.99
54,Moscow,Kremlin Cup,15/10/12,International,Indoor,Hard,1st Round,3,Radwanska U.,Schiavone F.,30,34,1490,1436,6,3,6,1,,,2,0,Completed,1.53,2.37,1.55,2.35,1.53,2.38,1.66,2.35,1.53,2.38,1.72,2.5,1.59,2.29
54,Moscow,Kremlin Cup,16/10/12,International,Indoor,Hard,1st Round,3,Pironkova T.,Lepchenko V.,44,21,1285,1835,6,0,7,6,,,2,0,Completed,2.75,1.4,2.5,1.5,2.75,1.4,2.67,1.53,2.75,1.4,3.25,1.55,2.63,1.46
54,Moscow,Kremlin Cup,16/10/12,International,Indoor,Hard,1st Round,3,Dolonc V.,Voskoboeva G.,21,82,1680,795,1,6,6,1,6,4,2,1,Completed,2.2,1.61,2.08,1.7,2.25,1.57,2.2,1.74,2.38,1.53,2.38,1.77,2.15,1.67
54,Moscow,Kremlin Cup,16/10/12,International,Indoor,Hard,1st Round,3,Cibulkova D.,Makarova E.,14,20,2845,1841,2,6,6,4,6,2,2,1,Completed,2,1.72,1.9,1.85,1.8,1.91,1.96,1.93,1.8,1.91,2.15,2.04,1.91,1.84
54,Moscow,Kremlin Cup,16/10/12,International,Indoor,Hard,1st Round,3,Cornet A.,Rodionova An.,43,135,1300,472,6,4,6,3,,,2,0,Completed,1.72,2,1.8,1.95,1.73,2,1.81,2.1,1.8,1.91,1.83,2.25,1.76,2
54,Moscow,Kremlin Cup,16/10/12,International,Indoor,Hard,1st Round,3,Shvedova Y.,Pavlyuchenkova A.,29,35,1506,1430,6,2,6,2,,,2,0,Completed,2,1.72,1.9,1.85,2,1.73,2.05,1.85,2,1.73,2.1,1.9,1.97,1.78
54,Moscow,Kremlin Cup,16/10/12,International,Indoor,Hard,1st Round,3,Halep S.,Petrova N.,48,13,1220,2845,3,6,7,5,7,5,2,1,Completed,4.33,1.2,4,1.22,4,1.22,4.17,1.27,4.5,1.17,5.2,1.27,4.19,1.21
