ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
60,Moscow,Kremlin Cup,19/10/15,ATP250,Indoor,Hard,1st Round,3,Kuznetsov An.,Albot R.,84,107,624,511,6,4,6,2,,,,,,,2,0,Completed,1.28,3.5,1.28,3.5,1.33,3.4,1.28,4.02,1.34,4.02,1.28,3.57
60,Moscow,Kremlin Cup,19/10/15,ATP250,Indoor,Hard,1st Round,3,Gimeno-Traver D.,Sousa J.,95,45,570,951,7,6,4,6,7,5,,,,,2,1,Completed,4.33,1.2,4.3,1.2,4,1.25,4.96,1.21,5.15,1.25,4.46,1.2
60,Moscow,Kremlin Cup,19/10/15,ATP250,Indoor,Hard,1st Round,3,Gabashvili T.,Ilkel C.,57,443,801,93,6,2,6,1,,,,,,,2,0,Completed,1.02,19,1.01,13,1.02,15,1.02,20.52,1.04,20.52,1.02,14.6
60,Moscow,Kremlin Cup,20/10/15,ATP250,Indoor,Hard,1st Round,3,Cuevas P.,Riba P.,38,221,1100,226,6,1,,,,,,,,,1,0,Retired,1.12,6,1.14,5.25,1.14,5.5,1.14,6.49,1.17,6.5,1.13,5.62
60,Moscow,Kremlin Cup,20/10/15,ATP250,Indoor,Hard,1st Round,3,Donskoy E.,Coric B.,118,39,473,1076,6,4,6,4,,,,,,,2,0,Completed,2.75,1.4,3.1,1.35,3,1.4,2.96,1.45,3.2,1.45,2.92,1.39
60,Moscow,Kremlin Cup,20/10/15,ATP250,Indoor,Hard,1st Round,3,Haase R.,Lajovic D.,63,89,765,608,6,4,7,5,,,,,,,2,0,Completed,2.25,1.57,2.2,1.65,2.2,1.67,2.14,1.78,2.25,1.78,2.15,1.68
60,Moscow,Kremlin Cup,20/10/15,ATP250,Indoor,Hard,1st Round,3,Ilhan M.,Ito T.,97,119,562,473,6,3,6,4,,,,,,,2,0,Completed,2,1.72,2.05,1.75,2,1.8,2.13,1.79,2.13,1.85,2.01,1.77
60,Moscow,Kremlin Cup,20/10/15,ATP250,Indoor,Hard,1st Round,3,Kukushkin M.,Rublev A.,61,179,787,279,6,2,6,4,,,,,,,2,0,Completed,1.44,2.62,1.48,2.6,1.5,2.62,1.49,2.78,1.54,2.8,1.49,2.58
60,Moscow,Kremlin Cup,21/10/15,ATP250,Indoor,Hard,1st Round,3,Istomin D.,Bedene A.,53,50,825,857,6,3,6,3,,,,,,,2,0,Completed,1.44,2.62,1.45,2.7,1.44,2.75,1.45,2.93,1.5,3,1.44,2.72
60,Moscow,Kremlin Cup,21/10/15,ATP250,Indoor,Hard,1st Round,3,Berankis R.,Jaziri M.,72,90,673,600,6,4,6,4,,,,,,,2,0,Completed,1.5,2.5,1.52,2.45,1.57,2.38,1.62,2.43,1.63,2.5,1.55,2.39
60,Moscow,Kremlin Cup,21/10/15,ATP250,Indoor,Hard,1st Round,3,Pouille L.,Bolelli S.,70,59,715,790,7,5,4,1,,,,,,,1,0,Retired,3.5,1.28,3.4,1.3,3.5,1.3,3.74,1.31,3.74,1.34,3.46,1.3
60,Moscow,Kremlin Cup,21/10/15,ATP250,Indoor,Hard,1st Round,3,Karatsev A.,Youzhny M.,207,150,240,376,6,4,6,4,,,,,,,2,0,Completed,3,1.36,3,1.35,3,1.4,3.25,1.39,3.25,1.42,3.03,1.37
60,Moscow,Kremlin Cup,21/10/15,ATP250,Indoor,Hard,2nd Round,3,Haase R.,Cuevas P.,63,38,765,1100,6,2,5,7,6,1,,,,,2,1,Completed,2.2,1.61,2.15,1.68,2.25,1.62,2.29,1.7,2.38,1.73,2.18,1.66
60,Moscow,Kremlin Cup,21/10/15,ATP250,Indoor,Hard,2nd Round,3,Gabashvili T.,Troicki V.,57,24,801,1442,6,2,6,3,,,,,,,2,0,Completed,2.25,1.57,2.1,1.7,2.2,1.67,2.27,1.71,2.35,1.8,2.18,1.66
60,Moscow,Kremlin Cup,21/10/15,ATP250,Indoor,Hard,2nd Round,3,Bautista R.,Ilhan M.,27,97,1405,562,6,2,7,5,,,,,,,2,0,Completed,1.1,7,1.12,5.5,1.12,6,1.13,7.38,1.14,7.38,1.11,6.22
60,Moscow,Kremlin Cup,22/10/15,ATP250,Indoor,Hard,2nd Round,3,Pouille L.,Gimeno-Traver D.,70,95,715,570,6,1,7,6,,,,,,,2,0,Completed,1.57,2.25,1.55,2.4,1.57,2.38,1.66,2.37,1.67,2.5,1.59,2.32
60,Moscow,Kremlin Cup,22/10/15,ATP250,Indoor,Hard,2nd Round,3,Donskoy E.,Berankis R.,118,72,473,673,6,4,7,5,,,,,,,2,0,Completed,2.1,1.66,2.05,1.72,2.2,1.67,2.11,1.81,2.25,1.81,2.1,1.71
60,Moscow,Kremlin Cup,22/10/15,ATP250,Indoor,Hard,2nd Round,3,Cilic M.,Istomin D.,14,53,2190,825,7,6,3,6,6,3,,,,,2,1,Completed,1.25,3.75,1.3,3.4,1.29,3.75,1.31,3.85,1.31,3.85,1.28,3.6
60,Moscow,Kremlin Cup,22/10/15,ATP250,Indoor,Hard,2nd Round,3,Kohlschreiber P.,Karatsev A.,34,207,1165,240,7,6,2,6,6,4,,,,,2,1,Completed,1.12,6,1.13,5.5,1.14,5.5,1.14,6.69,1.17,6.69,1.13,5.69
60,Moscow,Kremlin Cup,22/10/15,ATP250,Indoor,Hard,2nd Round,3,Kuznetsov An.,Kukushkin M.,84,61,624,787,6,1,7,5,,,,,,,2,0,Completed,2.62,1.44,2.7,1.42,2.62,1.5,2.6,1.56,2.75,1.56,2.54,1.5
