ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
56,Moscow,Kremlin Cup,18/10/2021,ATP250,Indoor,Hard,1st Round,3,Millman J.,Bonzi B.,62,63,1023,1022,6,7,6,4,6,3,,,,,2,1,Completed,2,1.8,2.09,1.81,2.15,1.96,2.02,1.79
56,Moscow,Kremlin Cup,18/10/2021,ATP250,Indoor,Hard,1st Round,3,Cilic M.,Dzumhur D.,41,137,1365,511,6,7,6,1,6,1,,,,,2,1,Completed,1.44,2.75,1.53,2.66,1.53,3,1.48,2.66
56,Moscow,Kremlin Cup,18/10/2021,ATP250,Indoor,Hard,1st Round,3,Duckworth J.,Gojo B.,52,245,1139,253,3,6,7,5,6,2,,,,,2,1,Completed,1.36,3.2,1.41,3.11,1.41,3.42,1.37,3.07
56,Moscow,Kremlin Cup,19/10/2021,ATP250,Indoor,Hard,1st Round,3,Mannarino A.,Safiullin R.,51,160,1144,432,1,6,7,6,6,4,,,,,2,1,Completed,1.9,1.9,2.05,1.85,2.06,1.95,1.95,1.85
56,Moscow,Kremlin Cup,19/10/2021,ATP250,Indoor,Hard,1st Round,3,Paul T.,Ymer M.,54,101,1128,757,7,6,7,5,,,,,,,2,0,Completed,1.57,2.37,1.67,2.33,1.67,2.55,1.61,2.3
56,Moscow,Kremlin Cup,19/10/2021,ATP250,Indoor,Hard,1st Round,3,Martinez P.,Pella G.,60,82,1031,866,6,2,,,,,,,,,1,0,Retired,1.66,2.2,1.78,2.14,1.86,2.31,1.69,2.15
56,Moscow,Kremlin Cup,19/10/2021,ATP250,Indoor,Hard,1st Round,3,Marchenko I.,Bublik A.,164,35,429,1516,6,4,6,3,,,,,,,2,0,Completed,2.75,1.44,2.68,1.52,3.16,1.52,2.74,1.44
56,Moscow,Kremlin Cup,19/10/2021,ATP250,Indoor,Hard,1st Round,3,Gerasimov E.,Kecmanovic M.,109,71,724,936,6,3,1,6,6,4,,,,,2,1,Completed,2,1.8,2.1,1.81,2.1,1.88,2,1.8
56,Moscow,Kremlin Cup,19/10/2021,ATP250,Indoor,Hard,1st Round,3,Simon G.,Djere L.,117,53,669,1137,6,7,7,5,6,3,,,,,2,1,Completed,2.62,1.5,2.56,1.57,2.82,1.58,2.53,1.52
56,Moscow,Kremlin Cup,19/10/2021,ATP250,Indoor,Hard,1st Round,3,Berankis R.,Donskoy E.,107,149,733,456,6,1,6,3,,,,,,,2,0,Completed,,,1.54,2.6,1.67,2.6,1.59,2.39
56,Moscow,Kremlin Cup,20/10/2021,ATP250,Indoor,Hard,1st Round,3,Coria F.,Kachmazov A.,68,638,950,41,6,2,5,7,6,2,,,,,2,1,Completed,1.53,2.5,1.56,2.59,1.59,2.81,1.52,2.51
56,Moscow,Kremlin Cup,20/10/2021,ATP250,Indoor,Hard,1st Round,3,Mcdonald M.,Nishioka Y.,55,78,1117,885,6,3,6,4,,,,,,,2,0,Completed,1.5,2.62,1.56,2.59,1.57,2.77,1.51,2.56
56,Moscow,Kremlin Cup,20/10/2021,ATP250,Indoor,Hard,2nd Round,3,Millman J.,Marchenko I.,62,164,1023,429,6,1,5,7,6,4,,,,,2,1,Completed,1.66,2.2,1.6,2.49,1.72,2.5,1.64,2.25
56,Moscow,Kremlin Cup,20/10/2021,ATP250,Indoor,Hard,2nd Round,3,Cilic M.,Paul T.,41,54,1365,1128,7,5,6,3,,,,,,,2,0,Completed,1.9,1.9,1.93,1.97,2.05,2.06,1.91,1.89
56,Moscow,Kremlin Cup,20/10/2021,ATP250,Indoor,Hard,2nd Round,3,Khachanov K.,Duckworth J.,31,52,1718,1139,3,6,6,3,6,1,,,,,2,1,Completed,1.25,4,1.25,4.47,1.25,4.75,1.22,4.17
56,Moscow,Kremlin Cup,21/10/2021,ATP250,Indoor,Hard,2nd Round,3,Martinez P.,Krajinovic F.,60,37,1031,1472,6,3,6,4,,,,,,,2,0,Completed,3,1.4,3.31,1.38,3.31,1.48,2.92,1.4
56,Moscow,Kremlin Cup,21/10/2021,ATP250,Indoor,Hard,2nd Round,3,Berankis R.,Coria F.,107,68,733,950,6,2,6,1,,,,,,,2,0,Completed,1.22,4.33,1.23,4.8,1.25,4.9,1.2,4.43
56,Moscow,Kremlin Cup,21/10/2021,ATP250,Indoor,Hard,2nd Round,3,Mannarino A.,Rublev A.,51,6,1144,5560,5,7,7,6,6,3,,,,,2,1,Completed,8,1.08,9.49,1.09,11,1.09,8.35,1.07
56,Moscow,Kremlin Cup,21/10/2021,ATP250,Indoor,Hard,2nd Round,3,Karatsev A.,Gerasimov E.,22,109,2154,724,6,4,6,3,,,,,,,2,0,Completed,1.4,3,1.37,3.4,1.42,3.4,1.36,3.1
56,Moscow,Kremlin Cup,21/10/2021,ATP250,Indoor,Hard,2nd Round,3,Simon G.,Mcdonald M.,117,55,669,1117,6,3,6,2,,,,,,,2,0,Completed,4,1.25,4,1.29,4.85,1.29,3.89,1.25
56,Moscow,Kremlin Cup,22/10/2021,ATP250,Indoor,Hard,Quarterfinals,3,Berankis R.,Mannarino A.,107,51,733,1144,6,2,7,6,,,,,,,2,0,Completed,2.2,1.66,2.1,1.82,2.33,1.82,2.18,1.69
56,Moscow,Kremlin Cup,22/10/2021,ATP250,Indoor,Hard,Quarterfinals,3,Cilic M.,Martinez P.,41,60,1365,1031,6,1,6,2,,,,,,,2,0,Completed,1.5,2.62,1.51,2.78,1.54,2.81,1.49,2.63
56,Moscow,Kremlin Cup,22/10/2021,ATP250,Indoor,Hard,Quarterfinals,3,Khachanov K.,Millman J.,31,62,1718,1023,7,5,7,6,,,,,,,2,0,Completed,1.3,3.5,1.25,4.45,1.37,4.6,1.27,3.79
56,Moscow,Kremlin Cup,22/10/2021,ATP250,Indoor,Hard,Quarterfinals,3,Karatsev A.,Simon G.,22,117,2154,669,6,4,6,3,,,,,,,2,0,Completed,1.22,4.33,1.23,4.71,1.27,5.15,1.21,4.31
56,Moscow,Kremlin Cup,23/10/2021,ATP250,Indoor,Hard,Semifinals,3,Cilic M.,Berankis R.,41,107,1365,733,6,3,6,4,,,,,,,2,0,Completed,1.44,2.75,1.5,2.81,1.5,3.02,1.44,2.78
56,Moscow,Kremlin Cup,23/10/2021,ATP250,Indoor,Hard,Semifinals,3,Karatsev A.,Khachanov K.,22,31,2154,1718,7,6,6,1,,,,,,,2,0,Completed,2,1.8,2.1,1.83,2.15,1.86,2.01,1.8
56,Moscow,Kremlin Cup,24/10/2021,ATP250,Indoor,Hard,The Final,3,Karatsev A.,Cilic M.,22,41,2154,1365,6,2,6,4,,,,,,,2,0,Completed,1.66,2.2,1.75,2.2,1.75,2.25,1.71,2.17
