WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
51,Moscow,Kremlin Cup,18/10/2021,WTA500,Indoor,Hard,1st Round,3,Tomljanovic A.,Samsonova L.,43,42,1455,1551,6,2,6,4,,,2,0,Completed,2.2,1.66,2.29,1.69,2.35,1.69,2.23,1.65
51,Moscow,Kremlin Cup,18/10/2021,WTA500,Indoor,Hard,1st Round,3,Kalinskaya A.,Yastremska D.,125,76,598,898,7,6,6,4,,,2,0,Completed,2.1,1.72,2.18,1.75,2.35,1.8,2.11,1.72
51,Moscow,Kremlin Cup,18/10/2021,WTA500,Indoor,Hard,1st Round,3,Pera B.,Krunic A.,100,144,770,515,7,6,6,3,,,2,0,Completed,2,1.8,2,1.89,2.17,1.92,1.97,1.84
51,Moscow,Kremlin Cup,18/10/2021,WTA500,Indoor,Hard,1st Round,3,Tsurenko L.,Zheng Q.,145,158,511,474,6,4,6,3,,,2,0,Completed,1.9,1.9,2.01,1.88,2.14,2.22,1.93,1.87
51,Moscow,Kremlin Cup,18/10/2021,WTA500,Indoor,Hard,1st Round,3,Kalinina A.,Kasatkina D.,57,28,1070,2205,6,2,6,3,,,2,0,Completed,3.75,1.28,4.15,1.27,4.3,1.29,3.83,1.26
51,Moscow,Kremlin Cup,19/10/2021,WTA500,Indoor,Hard,1st Round,3,Martincova T.,Bara I.,51,136,1201,538,6,0,7,5,,,2,0,Completed,1.14,5.5,1.16,6.03,1.17,6.75,1.13,5.76
51,Moscow,Kremlin Cup,19/10/2021,WTA500,Indoor,Hard,1st Round,3,Kontaveit A.,Siniakova K.,20,50,2766,1220,6,3,6,3,,,2,0,Completed,1.3,3.5,1.29,3.9,1.3,4.12,1.28,3.65
51,Moscow,Kremlin Cup,19/10/2021,WTA500,Indoor,Hard,1st Round,3,Alexandrova E.,Jabeur O.,37,8,1641,3500,6,1,1,0,,,1,0,Retired,3,1.4,2.71,1.52,3.15,1.52,2.82,1.43
51,Moscow,Kremlin Cup,19/10/2021,WTA500,Indoor,Hard,1st Round,3,Halep S.,Potapova A.,19,68,2807,985,6,1,6,4,,,2,0,Completed,1.25,4,1.3,3.88,1.3,4.12,1.26,3.81
51,Moscow,Kremlin Cup,19/10/2021,WTA500,Indoor,Hard,1st Round,3,Petkovic A.,Ostapenko J.,79,30,874,2070,2,6,6,0,2,0,1,1,Retired,4,1.25,3.66,1.32,4.03,1.34,3.56,1.29
51,Moscow,Kremlin Cup,19/10/2021,WTA500,Indoor,Hard,1st Round,3,Kudermetova V.,Selekhmeteva O.,32,238,1980,286,4,6,7,6,6,4,2,1,Completed,1.16,5,1.17,5.81,1.18,6,1.15,5.33
51,Moscow,Kremlin Cup,19/10/2021,WTA500,Indoor,Hard,1st Round,3,Vondrousova M.,Rybakina E.,35,17,1676,2883,6,4,6,4,,,2,0,Completed,1.9,1.9,1.98,1.91,2.1,1.91,1.96,1.85
51,Moscow,Kremlin Cup,20/10/2021,WTA500,Indoor,Hard,2nd Round,3,Muguruza G.,Martincova T.,5,51,4425,1201,6,4,4,6,6,3,2,1,Completed,1.28,3.75,1.32,3.77,1.33,3.77,1.29,3.54
51,Moscow,Kremlin Cup,20/10/2021,WTA500,Indoor,Hard,2nd Round,3,Sabalenka A.,Tomljanovic A.,2,43,7115,1455,7,6,4,6,6,1,2,1,Completed,1.3,3.5,1.34,3.62,1.4,3.62,1.33,3.31
51,Moscow,Kremlin Cup,20/10/2021,WTA500,Indoor,Hard,2nd Round,3,Alexandrova E.,Kalinina A.,37,57,1641,1070,6,4,6,1,,,2,0,Completed,1.4,3,1.47,2.92,1.47,3.07,1.42,2.85
51,Moscow,Kremlin Cup,20/10/2021,WTA500,Indoor,Hard,2nd Round,3,Pavlyuchenkova A.,Pera B.,16,100,2986,770,6,2,7,5,,,2,0,Completed,1.3,3.5,1.36,3.46,1.38,3.8,1.31,3.45
51,Moscow,Kremlin Cup,21/10/2021,WTA500,Indoor,Hard,2nd Round,3,Kontaveit A.,Petkovic A.,20,79,2766,874,6,1,6,4,,,2,0,Completed,1.14,5.5,1.16,6.1,1.17,6.25,1.14,5.47
51,Moscow,Kremlin Cup,21/10/2021,WTA500,Indoor,Hard,2nd Round,3,Sakkari M.,Kalinskaya A.,7,125,4005,598,6,2,1,0,,,1,0,Retired,1.22,4.33,1.27,4.21,1.29,4.36,1.24,4.03
51,Moscow,Kremlin Cup,21/10/2021,WTA500,Indoor,Hard,2nd Round,3,Vondrousova M.,Tsurenko L.,35,145,1676,511,6,3,6,3,,,2,0,Completed,1.25,4,1.29,3.99,1.3,4.1,1.26,3.8
51,Moscow,Kremlin Cup,21/10/2021,WTA500,Indoor,Hard,2nd Round,3,Halep S.,Kudermetova V.,19,32,2807,1980,6,1,7,6,,,2,0,Completed,1.4,3,1.4,3.24,1.43,3.3,1.38,3.05
51,Moscow,Kremlin Cup,22/10/2021,WTA500,Indoor,Hard,Quarterfinals,3,Vondrousova M.,Pavlyuchenkova A.,35,16,1676,2986,6,4,6,2,,,2,0,Completed,1.66,2.2,1.67,2.35,1.8,2.35,1.67,2.2
51,Moscow,Kremlin Cup,22/10/2021,WTA500,Indoor,Hard,Quarterfinals,3,Alexandrova E.,Sabalenka A.,37,2,1641,7115,6,3,6,4,,,2,0,Completed,3.5,1.3,3.8,1.31,3.8,1.37,3.49,1.3
51,Moscow,Kremlin Cup,22/10/2021,WTA500,Indoor,Hard,Quarterfinals,3,Kontaveit A.,Muguruza G.,20,5,2766,4425,6,1,6,1,,,2,0,Completed,1.66,2.2,1.64,2.42,1.73,2.51,1.64,2.28
