ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
27,Munich,BMW Open,01/05/06,International,Outdoor,Clay,1st Round,3,Hernych J.,Beck A.,80,176,500,224,7,6,4,6,6,4,,,,,2,1,Completed,1.44,2.62,1.48,2.6,1.55,2.35,1.588,2.6,1.44,2.66
27,Munich,BMW Open,01/05/06,International,Outdoor,Clay,1st Round,3,Monaco J.,Srichaphan P.,110,36,386,845,6,4,6,4, , ,,,,,2,0,Completed,1.33,3,1.4,2.85,1.45,2.6,1.444,3.05,1.47,2.58
27,Munich,BMW Open,01/05/06,International,Outdoor,Clay,1st Round,3,Vliegen K.,Tipsarevic J.,50,101,753,398,5,7,6,2,6,4,,,,,2,1,Completed,1.36,2.87,1.4,2.85,1.37,2.92,1.435,3.1,1.36,3
27,Munich,BMW Open,01/05/06,International,Outdoor,Clay,1st Round,3,Vik R.,Schuettler R.,79,76,505,523,7,6,4,6,6,3,,,,,2,1,Completed,2.25,1.57,2.4,1.55,2.3,1.6,2.38,1.676,2.35,1.55
27,Munich,BMW Open,02/05/06,International,Outdoor,Clay,1st Round,3,Ramirez-Hidalgo R.,Summerer T.,93,239,423,154,6,1,6,2, , ,,,,,2,0,Completed,1.39,2.75,1.48,2.6,1.45,2.6,1.538,2.76,,
27,Munich,BMW Open,02/05/06,International,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Ancic M.,86,19,459,1440,7,6,7,6, , ,,,,,2,0,Completed,2.62,1.44,2.4,1.55,2.45,1.5,2.64,1.575,2.5,1.5
27,Munich,BMW Open,02/05/06,International,Outdoor,Clay,1st Round,3,Nieminen J.,Pavel A.,20,116,1420,365,7,6,7,6, , ,,,,,2,0,Completed,1.25,3.5,1.28,3.55,1.2,4.25,1.284,4.22,1.25,3.75
27,Munich,BMW Open,02/05/06,International,Outdoor,Clay,1st Round,3,Karlovic I.,Haas T.,53,25,736,1250,6,3,7,6, , ,,,,,2,0,Completed,3.25,1.28,3.1,1.35,3.1,1.35,3.5,1.37,3.15,1.33
27,Munich,BMW Open,02/05/06,International,Outdoor,Clay,1st Round,3,Greul S.,Pashanski B.,102,63,397,662,6,3,6,7,7,6,,,,,2,1,Completed,1.83,1.83,1.88,1.88,1.87,1.87,1.855,2.07,1.82,1.93
27,Munich,BMW Open,02/05/06,International,Outdoor,Clay,1st Round,3,Phau B.,Behrend T.,69,139,607,302,3,2, , , , ,,,,,1,0,Retired,1.66,2.1,1.75,2.05,1.67,2.12,1.769,2.2,,
27,Munich,BMW Open,02/05/06,International,Outdoor,Clay,1st Round,3,Waske A.,Mayer F.,91,75,425,528,7,6,6,3, , ,,,,,2,0,Completed,2.25,1.57,2,1.77,2.15,1.65,2.26,1.735,2.15,1.65
27,Munich,BMW Open,02/05/06,International,Outdoor,Clay,1st Round,3,Melzer J.,Youzhny M.,70,40,575,830,6,3,6,4, , ,,,,,2,0,Completed,1.72,2,1.65,2.2,1.75,2.05,1.8,2.15,1.7,2.08
