ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
28,Munich,BMW Open,27/04/15,ATP250,Outdoor,Clay,1st Round,3,Estrella Burgos V.,Troicki V.,51,33,916,1155,7,6,6,4,,,,,,,2,0,Completed,2.5,1.5,2.45,1.52,2.38,1.53,2.67,1.53,2.9,1.61,2.52,1.5
28,Munich,BMW Open,27/04/15,ATP250,Outdoor,Clay,1st Round,3,Zverev A.,Becker B.,119,43,468,990,4,6,6,1,6,2,,,,,2,1,Completed,1.5,2.5,1.45,2.7,1.53,2.38,1.61,2.45,1.63,2.7,1.51,2.5
28,Munich,BMW Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Rosol L.,Mayer F.,41,605,1050,45,6,2,6,2,,,,,,,2,0,Completed,1.8,1.9,1.9,1.82,1.73,2,1.93,1.96,1.93,2.02,1.82,1.94
28,Munich,BMW Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Thiem D.,Pospisil V.,44,61,985,815,5,7,6,4,7,6,,,,,2,1,Completed,1.33,3.25,1.38,3,1.36,3,1.41,3.13,1.42,3.26,1.37,3.03
28,Munich,BMW Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Stepanek R.,Dustov F.,120,108,465,505,6,1,4,1,,,,,,,1,0,Retired,1.3,3.4,1.33,3.2,1.33,3.25,1.34,3.49,1.36,3.56,1.32,3.32
28,Munich,BMW Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Tipsarevic J.,Tomic B.,635,27,40,1390,5,7,6,1,7,6,,,,,2,1,Completed,2.1,1.66,2.05,1.72,2.1,1.67,2.24,1.71,2.25,1.85,2.09,1.71
28,Munich,BMW Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Vesely J.,26,35,1395,1108,6,1,6,2,,,,,,,2,0,Completed,1.44,2.62,1.38,3,1.4,2.75,1.52,2.7,1.52,3.1,1.41,2.81
28,Munich,BMW Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Stakhovsky S.,Ledovskikh M.,53,417,894,100,6,0,6,0,,,,,,,2,0,Completed,1.08,7,1.11,6,1.12,5.5,1.16,5.99,1.19,7,1.13,5.64
28,Munich,BMW Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Bolelli S.,Brown D.,52,102,896,518,6,1,7,6,,,,,,,2,0,Completed,1.33,3.25,1.38,3,1.4,2.75,1.46,2.89,1.49,3,1.43,2.75
28,Munich,BMW Open,28/04/15,ATP250,Outdoor,Clay,1st Round,3,Fognini F.,Trinker B.,29,371,1285,119,6,2,7,6,,,,,,,2,0,Completed,1.07,9,1.07,8,1.07,7.5,1.09,8.94,1.09,9.5,1.07,8.14
