ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
23,Munich,BMW Open,26/04/2021,ATP250,Outdoor,Clay,1st Round,3,Millman J.,Popyrin A.,40,77,1461,949,7,6,3,6,7,5,,,,,2,1,Completed,2.3,1.61,2.23,1.72,2.38,1.76,2.18,1.68
23,Munich,BMW Open,26/04/2021,ATP250,Outdoor,Clay,1st Round,3,Ivashka I.,Ruusuvuori E.,107,75,736,951,6,1,6,2,,,,,,,2,0,Completed,1.36,3.2,1.42,3.07,1.47,3.2,1.4,2.91
23,Munich,BMW Open,26/04/2021,ATP250,Outdoor,Clay,1st Round,3,Pella G.,Gerasimov E.,55,76,1163,950,6,0,2,0,,,,,,,1,0,Retired,1.44,2.75,1.51,2.72,1.56,2.93,1.48,2.63
23,Munich,BMW Open,26/04/2021,ATP250,Outdoor,Clay,1st Round,3,Berankis R.,Marterer M.,89,219,883,315,7,6,6,3,,,,,,,2,0,Completed,2.1,1.72,2.2,1.74,2.33,1.83,2.14,1.71
23,Munich,BMW Open,26/04/2021,ATP250,Outdoor,Clay,1st Round,3,Coria F.,Stebe C.M.,90,134,875,556,6,3,3,6,6,2,,,,,2,1,Completed,2.2,1.66,2.4,1.63,2.5,1.71,2.3,1.62
23,Munich,BMW Open,27/04/2021,ATP250,Outdoor,Clay,1st Round,3,Cuevas P.,Sandgren T.,85,62,897,1037,7,6,0,6,6,1,,,,,2,1,Completed,2.3,1.61,2.29,1.68,2.38,1.83,2.24,1.65
23,Munich,BMW Open,27/04/2021,ATP250,Outdoor,Clay,1st Round,3,Mcdonald M.,Lajovic D.,127,37,619,1595,6,4,6,4,,,,,,,2,0,Completed,2.37,1.57,2.5,1.59,2.56,1.62,2.43,1.55
23,Munich,BMW Open,27/04/2021,ATP250,Outdoor,Clay,1st Round,3,Struff J.L.,Martin A.,44,110,1440,728,6,4,6,3,,,,,,,2,0,Completed,1.33,3.4,1.37,3.35,1.4,3.8,1.34,3.22
23,Munich,BMW Open,27/04/2021,ATP250,Outdoor,Clay,1st Round,3,Basilashvili N.,Monteiro T.,35,78,1645,948,6,2,6,3,,,,,,,2,0,Completed,2.2,1.66,2.25,1.71,2.73,1.8,2.17,1.69
23,Munich,BMW Open,27/04/2021,ATP250,Outdoor,Clay,1st Round,3,Koepfer D.,Kohlschreiber P.,54,114,1169,688,4,6,6,4,6,3,,,,,2,1,Completed,1.53,2.5,1.46,2.92,1.59,2.95,1.51,2.57
23,Munich,BMW Open,27/04/2021,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Daniel T.,98,112,812,710,6,2,3,6,7,6,,,,,2,1,Completed,1.4,3,1.42,3.09,1.43,3.25,1.38,3.02
23,Munich,BMW Open,27/04/2021,ATP250,Outdoor,Clay,1st Round,3,Galan D.E.,Korda S.,115,65,688,1030,6,1,7,6,,,,,,,2,0,Completed,3.2,1.36,3.61,1.33,3.61,1.4,3.17,1.35
