ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
50,New Haven,Pilot Pen Tennis,17/08/08,International Gold,Outdoor,Hard,1st Round,3,Zverev M.,Serra F.,110,69,443,597,6,2,7,6,,,,,,,2,0,Completed,2.2,1.61,2.44,1.56,2.2,1.615,2.56,1.602,2.52,1.5
50,New Haven,Pilot Pen Tennis,17/08/08,International Gold,Outdoor,Hard,1st Round,3,Minar I.,Mahut N.,82,83,533,526,5,7,6,3,6,3,,,,,2,1,Completed,2.62,1.44,2.21,1.67,2.5,1.5,2.4,1.667,2.38,1.55
50,New Haven,Pilot Pen Tennis,17/08/08,International Gold,Outdoor,Hard,1st Round,3,Montanes A.,Devilder N.,59,63,694,642,7,6,7,5,,,,,,,2,0,Completed,1.57,2.25,,,1.667,2.1,,,1.55,2.39
50,New Haven,Pilot Pen Tennis,17/08/08,International Gold,Outdoor,Hard,1st Round,3,Sela D.,Young D.,75,99,557,462,6,4,6,2,,,,,,,2,0,Completed,1.57,2.25,1.6,2.4,1.615,2.2,1.645,2.45,1.52,2.44
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Starace P.,Vanek J.,77,108,556,444,6,2,7,6,,,,,,,2,0,Completed,1.36,3,1.47,2.72,1.333,3.25,1.37,3.5,1.37,3
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Gremelmayr D.,Daniel M.,76,81,557,537,3,6,6,3,6,3,,,,,2,1,Completed,1.38,2.87,1.45,2.7,1.444,2.625,1.476,2.9,1.38,2.95
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Rochus O.,Korolev E.,68,93,604,480,6,4,6,4,,,,,,,2,0,Completed,1.61,2.2,1.6,2.3,1.667,2.1,1.758,2.22,1.72,2.08
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Darcis S.,Spadea V.,61,103,669,452,7,5,5,0,,,,,,,1,0,Retired,2,1.72,1.98,1.83,1.8,1.909,2.12,1.82,1.94,1.82
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Fognini F.,Lapentti N.,84,66,521,619,6,4,4,4,,,,,,,1,0,Retired,2.75,1.4,2.55,1.5,2.5,1.5,2.81,1.51,2.6,1.47
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Guccione C.,67,88,606,505,7,5,6,3,,,,,,,2,0,Completed,2.1,1.66,2.1,1.75,2,1.727,1.98,1.926,1.92,1.84
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Isner J.,Kunitsyn I.,124,72,386,581,6,4,6,4,,,,,,,2,0,Completed,1.5,2.5,1.6,2.4,1.667,2.1,1.649,2.44,1.57,2.34
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Odesnik W.,Grosjean S.,118,70,417,586,7,5,6,4,,,,,,,2,0,Completed,2.2,1.61,2.2,1.65,2,1.727,2.26,1.735,2.15,1.67
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Gregorc L.,Delgado R.,434,293,66,123,6,2,3,6,6,0,,,,,2,1,Completed,2.5,1.5,2.45,1.55,2.375,1.533,2.46,1.641,2.52,1.5
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Ginepri R.,Horna L.,62,90,665,494,7,6,6,2,,,,,,,2,0,Completed,1.16,4.5,1.25,3.95,1.286,3.5,1.273,4.36,1.2,4.3
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Troicki V.,Bogomolov A.,71,317,583,108,7,5,2,6,6,1,,,,,2,1,Completed,1.44,2.62,1.59,2.38,1.4,2.75,1.476,2.9,1.47,2.6
50,New Haven,Pilot Pen Tennis,18/08/08,International Gold,Outdoor,Hard,1st Round,3,Clement A.,Bellucci T.,78,87,555,510,6,4,6,4,,,,,,,2,0,Completed,1.61,2.2,1.73,2.12,1.615,2.2,1.735,2.26,1.72,2.06
50,New Haven,Pilot Pen Tennis,19/08/08,International Gold,Outdoor,Hard,2nd Round,3,Verdasco F.,Sela D.,13,75,1425,557,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.43,2.86,1.4,2.75,1.412,3.23,1.45,2.65
50,New Haven,Pilot Pen Tennis,19/08/08,International Gold,Outdoor,Hard,2nd Round,3,Ginepri R.,Calleri A.,62,49,665,785,6,2,4,6,6,2,,,,,2,1,Completed,1.4,2.75,1.45,2.7,1.444,2.625,1.493,2.83,1.45,2.68
50,New Haven,Pilot Pen Tennis,19/08/08,International Gold,Outdoor,Hard,2nd Round,3,Darcis S.,Granollers M.,61,51,669,751,6,2,6,2,,,,,,,2,0,Completed,1.5,2.5,1.45,2.7,1.444,2.625,1.543,2.74,1.4,2.85
50,New Haven,Pilot Pen Tennis,19/08/08,International Gold,Outdoor,Hard,2nd Round,3,Hanescu V.,Gremelmayr D.,58,76,703,557,6,7,7,6,6,2,,,,,2,1,Completed,1.53,2.37,1.6,2.4,1.571,2.25,1.662,2.41,1.62,2.24
50,New Haven,Pilot Pen Tennis,19/08/08,International Gold,Outdoor,Hard,2nd Round,3,Gicquel M.,Montanes A.,42,59,879,694,7,5,6,3,,,,,,,2,0,Completed,1.3,3.4,1.32,3.4,1.3,3.4,1.42,3.18,1.35,3.1
50,New Haven,Pilot Pen Tennis,19/08/08,International Gold,Outdoor,Hard,2nd Round,3,Seppi A.,Starace P.,32,77,965,556,4,6,6,4,6,4,,,,,2,1,Completed,1.44,2.62,1.44,2.83,1.444,2.625,1.51,2.81,1.48,2.58
50,New Haven,Pilot Pen Tennis,19/08/08,International Gold,Outdoor,Hard,2nd Round,3,Fognini F.,Bolelli S.,84,47,521,840,6,2,5,7,6,4,,,,,2,1,Completed,2.75,1.4,2.7,1.45,2.625,1.444,2.97,1.461,2.7,1.44
