ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Melzer J.,Hernych J.,46,114,6,2,6,4,,,,,,,2,0,Completed,1.444,2.625,1.5,2.5,1.5,2.45,1.5,2.2,1.571,2.55
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Bogomolov A.,Levy H.,124,135,6,3,6,3,,,,,,,2,0,Completed,1.615,2.2,1.55,2.35,,,1.5,2.2,1.595,2.48
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Mahut N.,Golmard J.,123,363,6,2,6,2,,,,,,,2,0,Completed,1.4,2.75,1.57,2.3,1.53,2.4,1.5,2.2,1.571,2.55
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Blake J.,Norman D.,43,171,7,6,6,3,,,,,,,2,0,Completed,1.25,3.5,1.4,2.8,1.4,2.85,1.4,2.5,1.382,3.27
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Popp A.,Delic A.,111,266,6,4,6,3,,,,,,,2,0,Completed,1.143,5,1.16,4.85,1.23,3.89,1.2,3.6,1.174,5.25
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Dupuis A.,Vacek J.,96,136,6,2,6,2,,,,,,,2,0,Completed,1.667,2.1,1.76,2,1.8,1.95,1.6,2,1.671,2.29
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Spadea V.,Salzenstein J.,25,109,6,3,4,6,6,1,,,,,2,1,Completed,1.167,4.5,1.22,4.1,1.25,3.75,1.3,2.9,1.278,4.05
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Saulnier C.,Gimelstob J.,84,200,6,1,3,6,6,1,,,,,2,1,Completed,1.5,2.5,1.55,2.4,1.55,2.35,1.65,1.95,1.595,2.48
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Morrison J.,Gambill J.M.,116,75,6,2,6,7,6,3,,,,,2,1,Completed,2.75,1.4,3,1.36,2.75,1.42,2.7,1.35,2.92,1.455
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Rusedski G.,Carraz G.,166,71,6,1,4,6,6,3,,,,,2,1,Completed,1.444,2.625,1.45,2.65,1.53,2.4,1.4,2.5,1.51,2.73
38,Newport,Hall of Fame Championships,06/07/04,International,Outdoor,Grass,1st Round,3,Carlsen K.,Reid T.,88,134,6,1,2,6,7,6,,,,,2,1,Completed,1.667,2.1,1.77,2,1.75,2.05,1.6,2,1.645,2.35
38,Newport,Hall of Fame Championships,07/07/04,International,Outdoor,Grass,1st Round,3,Sanguinetti D.,Kendrick R.,112,149,3,6,6,2,6,3,,,,,2,1,Completed,1.533,2.375,1.67,2.1,1.75,2,1.65,1.85,1.667,2.3
38,Newport,Hall of Fame Championships,07/07/04,International,Outdoor,Grass,1st Round,3,Weiner G.,Peya A.,132,118,7,6,6,4,,,,,,,2,0,Completed,1.727,2,1.85,1.87,1.75,2,1.7,1.8,1.909,1.909
38,Newport,Hall of Fame Championships,07/07/04,International,Outdoor,Grass,1st Round,3,Elseneer G.,Ram R.,98,303,6,2,6,3,,,,,,,2,0,Completed,1.364,2.875,1.4,2.75,1.45,2.6,1.35,2.5,1.392,3.2
38,Newport,Hall of Fame Championships,07/07/04,International,Outdoor,Grass,1st Round,3,Vahaly B.,Mertinak M.,236,196,6,2,6,2,,,,,,,2,0,Completed,2.25,1.571,2,1.72,2.12,1.67,2.1,1.5,2.38,1.633
38,Newport,Hall of Fame Championships,07/07/04,International,Outdoor,Grass,1st Round,3,Baker B.,Moodie W.,276,137,6,2,6,7,7,6,,,,,2,1,Completed,3.5,1.25,3,1.35,3.35,1.3,2.3,1.4,3.32,1.368
38,Newport,Hall of Fame Championships,08/07/04,International,Outdoor,Grass,2nd Round,3,Spadea V.,Vahaly B.,25,236,6,1,7,6,,,,,,,2,0,Completed,1.25,3.75,1.2,4.2,1.2,4.25,1.25,3.2,1.278,4
38,Newport,Hall of Fame Championships,08/07/04,International,Outdoor,Grass,2nd Round,3,Melzer J.,Mahut N.,46,123,6,3,6,1,,,,,,,2,0,Completed,1.533,2.375,1.55,2.35,1.61,2.23,1.5,2.2,1.559,2.59
38,Newport,Hall of Fame Championships,08/07/04,International,Outdoor,Grass,2nd Round,3,Saulnier C.,Elseneer G.,84,98,5,7,6,3,7,6,,,,,2,1,Completed,1.667,2.1,1.76,2,1.7,2.1,1.7,1.9,1.8,2.05
38,Newport,Hall of Fame Championships,08/07/04,International,Outdoor,Grass,2nd Round,3,Bogomolov A.,Blake J.,124,43,6,3,6,1,,,,,,,2,0,Completed,3.5,1.286,3.35,1.3,3.1,1.35,2.5,1.4,2.98,1.439
38,Newport,Hall of Fame Championships,08/07/04,International,Outdoor,Grass,2nd Round,3,Popp A.,Weiner G.,111,132,6,1,6,3,,,,,,,2,0,Completed,1.333,3.25,1.36,3,1.37,2.92,1.35,2.7,1.323,3.65
38,Newport,Hall of Fame Championships,08/07/04,International,Outdoor,Grass,2nd Round,3,Dupuis A.,Sanguinetti D.,96,112,6,3,6,4,,,,,,,2,0,Completed,1.571,2.25,1.55,2.35,1.65,2.15,1.65,1.95,1.699,2.23
38,Newport,Hall of Fame Championships,08/07/04,International,Outdoor,Grass,2nd Round,3,Rusedski G.,Carlsen K.,166,88,4,6,7,6,7,6,,,,,2,1,Completed,1.4,2.75,1.42,2.75,1.45,2.6,1.4,2.5,1.485,2.83
38,Newport,Hall of Fame Championships,08/07/04,International,Outdoor,Grass,2nd Round,3,Morrison J.,Baker B.,116,276,6,3,6,3,,,,,,,2,0,Completed,1.4,2.75,1.4,2.8,1.5,2.45,1.45,2.35,1.543,2.64
