ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
37,Newport,Hall of Fame Championships,04/07/11,ATP250,Outdoor,Grass,1st Round,3,Bogomolov A.,Zverev M.,66,103,743,514,4,6,6,3,6,1,,,,,2,1,Completed,1.33,3.25,1.3,3.3,1.33,3.25,1.43,3.05,1.33,3,1.43,3.5,1.34,3.12
37,Newport,Hall of Fame Championships,04/07/11,ATP250,Outdoor,Grass,1st Round,3,Rochus O.,Jones G.,74,219,678,231,6,4,3,6,6,3,,,,,2,1,Completed,1.14,5,1.18,4.5,1.2,4.33,1.18,5.4,1.17,5,1.22,5.58,1.18,4.56
37,Newport,Hall of Fame Championships,04/07/11,ATP250,Outdoor,Grass,1st Round,3,Young D.,Capdeville P.,113,109,488,494,6,2,6,1,,,,,,,2,0,Completed,1.16,4.5,1.15,5,1.25,3.75,1.19,5.32,1.18,4.33,1.29,5.5,1.18,4.56
37,Newport,Hall of Fame Championships,04/07/11,ATP250,Outdoor,Grass,1st Round,3,Dimitrov G.,Dabul B.,60,164,831,332,6,2,6,4,,,,,,,2,0,Completed,1.12,5.5,1.16,4.75,1.17,4.5,1.16,5.92,1.14,5.5,1.18,6,1.14,5.27
37,Newport,Hall of Fame Championships,04/07/11,ATP250,Outdoor,Grass,1st Round,3,Bemelmans R.,Gremelmayr D.,147,97,376,528,6,4,6,2,,,,,,,2,0,Completed,1.33,3.25,1.35,3,1.44,2.63,1.41,3.1,1.36,2.88,1.44,3.25,1.36,3.01
37,Newport,Hall of Fame Championships,04/07/11,ATP250,Outdoor,Grass,1st Round,3,Bachinger M.,Brown D.,92,114,554,485,7,6,6,7,6,1,,,,,2,1,Completed,1.9,1.8,1.9,1.85,1.8,1.91,2.12,1.79,2.1,1.73,2.12,2,1.89,1.86
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Kudla D.,Karlovic I.,394,127,99,442,7,6,4,6,6,4,,,,,2,1,Completed,7,1.08,6,1.11,5,1.14,7.44,1.13,6,1.1,7.48,1.14,6.23,1.11
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Wang J.,Kunitsyn I.,491,62,63,781,4,6,7,5,6,2,,,,,2,1,Completed,3,1.36,2.8,1.4,2.75,1.4,3.1,1.41,2.88,1.36,3.2,1.47,2.87,1.39
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Roger-Vasselin E.,Bloomfield R.,136,332,418,127,6,4,6,0,,,,,,,2,0,Completed,1.44,2.62,1.4,2.8,1.4,2.75,1.43,3.01,1.36,2.88,1.44,3.1,1.4,2.84
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Kamke T.,Bogdanovic A.,96,403,533,92,7,6,6,3,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.51,2.74,1.5,2.5,1.58,2.74,1.51,2.48
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Isner J.,Beck K.,46,102,990,517,6,3,6,2,,,,,,,2,0,Completed,1.25,3.75,1.3,3.3,1.25,3.75,1.31,3.78,1.25,3.75,1.31,4,1.27,3.58
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Mahut N.,Decoud S.,95,215,534,234,6,1,6,0,,,,,,,2,0,Completed,1.06,8,1.07,7.5,1.08,7,1.07,10.41,1.06,7.5,1.1,10.41,1.07,7.86
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Ebden M.,Sweeting R.,157,65,348,745,6,4,6,2,,,,,,,2,0,Completed,2.25,1.57,2.15,1.65,2,1.73,2.34,1.66,2,1.73,2.35,1.79,2.17,1.65
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Clement A.,Harrison R.,169,101,311,519,6,4,6,1,,,,,,,2,0,Completed,2.75,1.4,2.8,1.4,2.63,1.44,3.5,1.34,3,1.36,3.5,1.47,2.92,1.38
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Yani M.,Sela D.,361,82,113,638,7,6,6,3,,,,,,,2,0,Completed,4.5,1.16,4.25,1.2,4.5,1.17,6.02,1.16,4,1.2,6.04,1.2,5.04,1.15
37,Newport,Hall of Fame Championships,05/07/11,ATP250,Outdoor,Grass,1st Round,3,Haas T.,Berrer M.,728,83,20,635,7,6,6,4,,,,,,,2,0,Completed,1.61,2.2,1.65,2.15,1.67,2.1,1.68,2.3,1.62,2.25,1.73,2.43,1.65,2.18
37,Newport,Hall of Fame Championships,06/07/11,ATP250,Outdoor,Grass,2nd Round,3,Ebden M.,Bachinger M.,157,92,348,554,2,6,6,4,6,4,,,,,2,1,Completed,2,1.72,1.95,1.8,1.91,1.8,2.11,1.81,2,1.73,2.15,1.81,2.04,1.73
37,Newport,Hall of Fame Championships,06/07/11,ATP250,Outdoor,Grass,2nd Round,3,Rochus O.,Mahut N.,74,95,678,534,6,4,7,6,,,,,,,2,0,Completed,1.8,1.9,1.95,1.8,1.8,1.91,1.92,1.99,1.73,2,2,2,1.85,1.88
37,Newport,Hall of Fame Championships,06/07/11,ATP250,Outdoor,Grass,2nd Round,3,Bogomolov A.,Bemelmans R.,66,147,743,376,2,6,6,0,6,1,,,,,2,1,Completed,1.61,2.2,1.65,2.15,1.67,2.1,1.72,2.24,1.57,2.25,1.88,2.25,1.67,2.13
37,Newport,Hall of Fame Championships,06/07/11,ATP250,Outdoor,Grass,2nd Round,3,Roger-Vasselin E.,Wang J.,136,491,418,63,7,5,6,4,,,,,,,2,0,Completed,1.33,3.25,1.35,3,1.36,3,1.36,3.44,1.33,3,1.4,3.44,1.35,3.07
37,Newport,Hall of Fame Championships,06/07/11,ATP250,Outdoor,Grass,2nd Round,3,Isner J.,Clement A.,46,169,990,311,7,6,6,4,,,,,,,2,0,Completed,1.33,3.25,1.35,3.05,1.3,3.4,1.42,3.14,1.36,3,1.42,3.4,1.34,3.16
37,Newport,Hall of Fame Championships,06/07/11,ATP250,Outdoor,Grass,2nd Round,3,Yani M.,Haas T.,361,728,113,20,5,2,,,,,,,,,0,0,Retired,4.33,1.2,4.75,1.16,4.33,1.2,4.34,1.26,4.5,1.17,5,1.27,4.33,1.2
37,Newport,Hall of Fame Championships,06/07/11,ATP250,Outdoor,Grass,2nd Round,3,Kamke T.,Young D.,96,113,533,488,7,6,6,4,,,,,,,2,0,Completed,2.1,1.66,2.08,1.7,2,1.73,2.32,1.68,2,1.73,2.32,1.75,2.11,1.68
