ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
42,Newport,Hall of Fame Championships,17/07/17,ATP250,Outdoor,Grass,1st Round,3,Novikov D.,Chiudinelli M.,203,211,257,243,6,1,6,3,,,,,,,2,0,Completed,1.4,2.75,1.4,2.75,1.44,2.75,1.49,2.81,1.5,2.81,1.46,2.68
42,Newport,Hall of Fame Championships,17/07/17,ATP250,Outdoor,Grass,1st Round,3,Kudla D.,Krueger M.,178,186,295,283,6,4,5,7,6,0,,,,,2,1,Completed,1.2,4.33,1.2,4.1,1.22,4.33,1.25,4.36,1.25,4.36,1.22,4.21
42,Newport,Hall of Fame Championships,17/07/17,ATP250,Outdoor,Grass,1st Round,3,Gojowczyk P.,Kwiatkowski T.S.,131,622,418,42,6,3,6,3,,,,,,,2,0,Completed,1.08,7,1.08,6.5,1.11,6.5,1.09,9.1,1.11,9.1,1.08,7.67
42,Newport,Hall of Fame Championships,17/07/17,ATP250,Outdoor,Grass,1st Round,3,Kamke T.,Fritz T.,185,120,283,457,6,3,6,3,,,,,,,2,0,Completed,4,1.22,3.75,1.23,3.75,1.29,4.1,1.27,4.1,1.29,3.85,1.25
42,Newport,Hall of Fame Championships,17/07/17,ATP250,Outdoor,Grass,1st Round,3,Menendez-Maceiras A.,Kozlov S.,140,129,401,424,6,2,7,6,,,,,,,2,0,Completed,3.5,1.28,3.35,1.28,3.5,1.3,3.62,1.33,3.62,1.36,3.43,1.3
42,Newport,Hall of Fame Championships,17/07/17,ATP250,Outdoor,Grass,1st Round,3,Fratangelo B.,Marchenko I.,142,112,396,497,7,6,1,6,6,4,,,,,2,1,Completed,1.53,2.37,1.55,2.3,1.57,2.38,1.55,2.61,1.57,2.61,1.54,2.46
42,Newport,Hall of Fame Championships,18/07/17,ATP250,Outdoor,Grass,1st Round,3,Kravchuk K.,Estrella Burgos V.,122,108,447,510,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.35,2.95,1.36,3.25,1.4,3.18,1.4,3.4,1.36,3.13
42,Newport,Hall of Fame Championships,18/07/17,ATP250,Outdoor,Grass,1st Round,3,Groth S.,Krajicek A.,201,274,262,187,6,7,7,6,6,3,,,,,2,1,Completed,1.33,3.25,1.32,3.1,1.36,3.25,1.36,3.42,1.4,3.45,1.34,3.21
42,Newport,Hall of Fame Championships,18/07/17,ATP250,Outdoor,Grass,1st Round,3,Santillan A.,Mmoh M.,171,173,317,313,6,1,6,2,,,,,,,2,0,Completed,1.61,2.2,1.65,2.1,1.73,2.1,1.71,2.24,1.73,2.29,1.68,2.16
42,Newport,Hall of Fame Championships,18/07/17,ATP250,Outdoor,Grass,1st Round,3,Lacko L.,Opelka R.,127,126,424,428,7,6,6,4,,,,,,,2,0,Completed,1.72,2,1.75,1.95,1.8,2,1.74,2.21,2.05,2.21,1.76,2.06
