ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
41,Newport,Hall of Fame Championships,17/07/2023,ATP250,Outdoor,Grass,1st Round,3,Broady L.,Mochizuki S.,130,192,500,304,6,1,7,5,,,,,,,2,0,Completed,1.44,2.75,1.45,2.93,1.46,2.93,1.43,2.76
41,Newport,Hall of Fame Championships,17/07/2023,ATP250,Outdoor,Grass,1st Round,3,Thompson J.,Kovacevic A.,69,123,798,526,6,0,6,1,,,,,,,2,0,Completed,1.3,3.5,1.33,3.59,1.4,3.68,1.31,3.34
41,Newport,Hall of Fame Championships,17/07/2023,ATP250,Outdoor,Grass,1st Round,3,Hijikata R.,Shelbayh A.,116,240,556,249,6,3,6,4,,,,,,,2,0,Completed,1.44,2.75,1.52,2.7,1.52,2.85,1.45,2.71
41,Newport,Hall of Fame Championships,17/07/2023,ATP250,Outdoor,Grass,1st Round,3,Moutet C.,Spizzirri E.,73,N/A,768,N/A,7,6,6,0,,,,,,,2,0,Completed,1.1,7,1.12,7.31,1.14,9.75,1.11,6.27
41,Newport,Hall of Fame Championships,18/07/2023,ATP250,Outdoor,Grass,1st Round,3,Michelsen A.,Cressy M.,190,105,308,605,6,7,6,4,7,5,,,,,2,1,Completed,2.75,1.44,2.69,1.52,2.75,1.55,2.58,1.49
41,Newport,Hall of Fame Championships,18/07/2023,ATP250,Outdoor,Grass,1st Round,3,Isner J.,Bolt A.,126,345,515,146,6,4,2,6,6,3,,,,,2,1,Completed,1.62,2.3,1.59,2.5,1.66,2.5,1.59,2.32
41,Newport,Hall of Fame Championships,18/07/2023,ATP250,Outdoor,Grass,1st Round,3,Brouwer G.,Purcell M.,145,71,418,786,6,4,6,1,,,,,,,2,0,Completed,2,1.8,2.01,1.88,2.04,1.95,1.96,1.83
41,Newport,Hall of Fame Championships,18/07/2023,ATP250,Outdoor,Grass,1st Round,3,Duckworth J.,Lestienne C.,129,86,505,691,5,7,6,4,7,5,,,,,2,1,Completed,1.73,2.1,1.79,2.13,1.8,2.21,1.73,2.09
41,Newport,Hall of Fame Championships,18/07/2023,ATP250,Outdoor,Grass,1st Round,3,Quinn E.,Mukund S.,434,356,100,140,6,3,6,1,,,,,,,2,0,Completed,1.91,1.91,1.97,1.92,2,1.95,1.91,1.87
41,Newport,Hall of Fame Championships,18/07/2023,ATP250,Outdoor,Grass,1st Round,3,Anderson K.,Diallo G.,296,141,221,443,6,3,6,2,,,,,,,2,0,Completed,2.5,1.53,2.43,1.62,2.62,1.67,2.39,1.57
