ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
11,New York,New York Open,11/02/2019,ATP250,Indoor,Hard,1st Round,3,Tomic B.,Lacko L.,87,130,649,423,6,4,6,2,,,,,,,2,0,Completed,1.53,2.37,1.53,2.66,1.6,2.7,1.52,2.53
11,New York,New York Open,11/02/2019,ATP250,Indoor,Hard,1st Round,3,Lorenzi P.,Sandgren T.,111,76,493,708,7,6,6,7,6,4,,,,,2,1,Completed,4,1.22,4.74,1.22,4.9,1.3,4.26,1.22
11,New York,New York Open,12/02/2019,ATP250,Indoor,Hard,1st Round,3,Thompson J.,Rubin N.,60,152,775,372,6,7,7,5,6,1,,,,,2,1,Completed,1.66,2.1,1.71,2.25,1.73,2.35,1.67,2.2
11,New York,New York Open,12/02/2019,ATP250,Indoor,Hard,1st Round,3,Eubanks C.,Menendez-Maceiras A.,166,121,339,451,6,4,7,6,,,,,,,2,0,Completed,1.66,2.1,1.7,2.26,1.75,2.3,1.69,2.18
11,New York,New York Open,12/02/2019,ATP250,Indoor,Hard,1st Round,3,Opelka R.,Mannarino A.,89,48,633,965,2,6,7,6,6,4,,,,,2,1,Completed,1.53,2.37,1.69,2.28,1.71,2.66,1.62,2.3
11,New York,New York Open,12/02/2019,ATP250,Indoor,Hard,1st Round,3,Jung J.,Ramanathan R.,143,128,391,425,6,3,3,6,6,1,,,,,2,1,Completed,2,1.72,2.19,1.75,2.3,1.78,2.14,1.71
11,New York,New York Open,12/02/2019,ATP250,Indoor,Hard,1st Round,3,Garcia-Lopez G.,Popyrin A.,102,123,547,450,7,6,6,3,,,,,,,2,0,Completed,2.25,1.57,2.33,1.67,2.35,1.71,2.24,1.65
11,New York,New York Open,12/02/2019,ATP250,Indoor,Hard,1st Round,3,Harrison R.,Polansky P.,92,118,615,468,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.4,3.18,1.46,3.18,1.42,2.86
11,New York,New York Open,13/02/2019,ATP250,Indoor,Hard,1st Round,3,Schnur B.,Lin J.M.,154,N/A,367,N/A,6,1,6,3,,,,,,,2,0,Completed,1.05,11,1.07,10.89,1.08,11.5,1.06,9.64
11,New York,New York Open,13/02/2019,ATP250,Indoor,Hard,1st Round,3,Querrey S.,Harris L.,49,98,940,577,7,6,6,2,,,,,,,2,0,Completed,1.44,2.62,1.42,3.09,1.47,3.25,1.41,2.93
11,New York,New York Open,13/02/2019,ATP250,Indoor,Hard,1st Round,3,Istomin D.,Mcdonald M.,106,82,522,673,4,6,6,2,6,3,,,,,2,1,Completed,2.2,1.61,2.5,1.59,2.5,1.67,2.31,1.61
11,New York,New York Open,13/02/2019,ATP250,Indoor,Hard,1st Round,3,Albot R.,Karlovic I.,79,81,705,674,6,7,7,6,7,6,,,,,2,1,Completed,2.1,1.66,2.35,1.66,2.35,1.72,2.21,1.67
11,New York,New York Open,13/02/2019,ATP250,Indoor,Hard,2nd Round,3,Lorenzi P.,Harrison R.,111,92,493,615,4,6,6,4,6,4,,,,,2,1,Completed,3.4,1.3,3.93,1.3,4,1.33,3.6,1.29
11,New York,New York Open,13/02/2019,ATP250,Indoor,Hard,2nd Round,3,Thompson J.,Eubanks C.,60,166,775,339,4,6,6,1,6,4,,,,,2,1,Completed,1.44,2.62,1.49,2.83,1.51,3.1,1.47,2.69
11,New York,New York Open,14/02/2019,ATP250,Indoor,Hard,2nd Round,3,Isner J.,Tomic B.,9,87,3155,649,7,6,6,4,,,,,,,2,0,Completed,1.4,2.75,1.35,3.54,1.5,3.54,1.37,3.12
11,New York,New York Open,14/02/2019,ATP250,Indoor,Hard,2nd Round,3,Schnur B.,Johnson S.,154,34,367,1190,6,4,4,6,7,6,,,,,2,1,Completed,2.75,1.4,2.6,1.56,2.95,1.59,2.54,1.52
11,New York,New York Open,14/02/2019,ATP250,Indoor,Hard,2nd Round,3,Garcia-Lopez G.,Millman J.,102,37,547,1088,7,6,1,6,6,4,,,,,2,1,Completed,3.4,1.3,3.43,1.36,3.46,1.4,3.23,1.35
11,New York,New York Open,14/02/2019,ATP250,Indoor,Hard,2nd Round,3,Opelka R.,Istomin D.,89,106,633,522,6,7,7,6,1,0,,,,,1,1,Retired,1.72,2,1.9,2.01,1.9,2.06,1.81,2
11,New York,New York Open,14/02/2019,ATP250,Indoor,Hard,2nd Round,3,Querrey S.,Albot R.,49,79,940,705,6,3,6,4,,,,,,,2,0,Completed,1.33,3.25,1.33,3.69,1.4,3.69,1.33,3.32
11,New York,New York Open,15/02/2019,ATP250,Indoor,Hard,2nd Round,3,Jung J.,Tiafoe F.,143,29,391,1430,6,3,7,5,,,,,,,2,0,Completed,5.5,1.14,5.68,1.18,5.8,1.19,5.3,1.16
11,New York,New York Open,15/02/2019,ATP250,Indoor,Hard,Quarterfinals,3,Schnur B.,Lorenzi P.,154,111,367,493,6,7,7,6,7,5,,,,,2,1,Completed,1.72,2.1,1.8,2.15,1.8,2.23,1.75,2.1
11,New York,New York Open,15/02/2019,ATP250,Indoor,Hard,Quarterfinals,3,Querrey S.,Jung J.,49,143,940,391,6,3,3,6,6,3,,,,,2,1,Completed,1.16,5,1.16,6.27,1.22,6.31,1.17,5.09
11,New York,New York Open,15/02/2019,ATP250,Indoor,Hard,Quarterfinals,3,Opelka R.,Garcia-Lopez G.,89,102,633,547,6,3,6,4,,,,,,,2,0,Completed,1.53,2.5,1.58,2.6,1.6,2.6,1.55,2.48
11,New York,New York Open,16/02/2019,ATP250,Indoor,Hard,Quarterfinals,3,Isner J.,Thompson J.,9,60,3155,775,6,4,6,1,,,,,,,2,0,Completed,1.33,3.4,1.28,4.14,1.35,4.14,1.3,3.52
11,New York,New York Open,16/02/2019,ATP250,Indoor,Hard,Semifinals,3,Schnur B.,Querrey S.,154,49,367,940,7,6,4,6,6,3,,,,,2,1,Completed,4.33,1.22,4.39,1.26,4.7,1.26,4.29,1.22
11,New York,New York Open,17/02/2019,ATP250,Indoor,Hard,Semifinals,3,Opelka R.,Isner J.,89,9,633,3155,6,7,7,6,7,6,,,,,2,1,Completed,3,1.4,3.26,1.4,3.3,1.5,3.04,1.39
11,New York,New York Open,17/02/2019,ATP250,Indoor,Hard,The Final,3,Opelka R.,Schnur B.,89,154,633,367,6,1,6,7,7,6,,,,,2,1,Completed,1.5,2.62,1.47,2.97,1.5,2.97,1.46,2.75
