ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Malisse X.,Lu Y.H.,74,62,680,760,7,5,6,4,,,,,,,2,0,Completed,1.2,4.33,1.25,3.7,1.17,4.5,1.25,4.36,1.2,4,1.27,4.5,1.22,4.14
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Istomin D.,Falla A.,61,59,767,776,7,6,1,6,6,1,,,,,2,1,Completed,2.25,1.57,2.25,1.6,2.2,1.62,2.36,1.65,2.1,1.67,2.38,1.67,2.21,1.63
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Davydenko N.,Ebden M.,49,88,875,614,6,3,6,3,,,,,,,2,0,Completed,1.14,5.5,1.15,5,1.2,4.33,1.18,5.47,1.2,4,1.2,5.5,1.17,4.79
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Dimitrov G.,Sela D.,82,73,641,685,7,5,6,1,,,,,,,2,0,Completed,1.25,3.75,1.3,3.3,1.25,3.75,1.27,4.12,1.29,3.25,1.3,4.12,1.27,3.6
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Tomic B.,Lacko L.,36,67,1061,706,6,2,6,3,,,,,,,2,0,Completed,1.22,4,1.25,3.7,1.25,3.75,1.26,4.25,1.2,4,1.3,4.33,1.24,3.9
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Roger-Vasselin E.,Paire B.,92,98,601,551,6,4,7,6,,,,,,,2,0,Completed,2.2,1.61,2.15,1.65,2.1,1.67,2.25,1.71,2.1,1.67,2.26,1.8,2.13,1.68
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Kukushkin M.,Querrey S.,60,85,768,624,6,2,7,5,,,,,,,2,0,Completed,2.62,1.44,2.65,1.45,2.62,1.44,2.74,1.51,2.63,1.44,2.8,1.55,2.63,1.47
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Volandri F.,Rochus O.,69,50,693,867,4,6,7,6,6,2,,,,,2,1,Completed,1.72,2,1.87,1.87,1.83,1.83,2.51,1.58,2.25,1.57,2.4,2.15,2.09,1.72
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Baker B.,Stakhovsky S.,387,66,98,710,6,7,6,4,7,5,,,,,2,1,Completed,1.66,2.1,1.7,2.08,1.67,2.1,1.75,2.18,1.73,2,1.79,2.35,1.71,2.1
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Darcis S.,Fognini F.,72,53,687,845,7,6,7,5,,,,,,,2,0,Completed,2.62,1.44,2.5,1.5,2.25,1.57,2.58,1.56,2.5,1.5,2.75,1.57,2.55,1.49
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Bellucci T.,Young D.,38,40,1020,1000,6,7,6,0,6,3,,,,,2,1,Completed,1.08,8,1.1,6.5,1.1,6.5,1.12,7.38,1.08,6.5,1.13,8.6,1.1,6.79
31,Nice,Open de Nice Côte d’Azur,22/05/12,ATP250,Outdoor,Clay,1st Round,3,Ferrero J.C.,Haase R.,43,54,960,826,4,6,7,6,7,6,,,,,2,1,Completed,1.53,2.37,1.62,2.2,1.62,2.2,1.67,2.32,1.62,2.2,1.67,2.5,1.59,2.3
31,Nice,Open de Nice Côte d’Azur,23/05/12,ATP250,Outdoor,Clay,2nd Round,3,Darcis S.,Volandri F.,72,69,687,693,3,6,6,2,6,4,,,,,2,1,Completed,1.66,2.1,1.65,2.15,1.67,2.1,1.64,2.41,1.67,2.1,1.71,2.48,1.64,2.2
31,Nice,Open de Nice Côte d’Azur,23/05/12,ATP250,Outdoor,Clay,2nd Round,3,Davydenko N.,Istomin D.,49,61,875,767,6,4,1,6,6,3,,,,,2,1,Completed,1.53,2.37,1.65,2.15,1.53,2.38,1.63,2.43,1.57,2.25,1.65,2.5,1.58,2.32
31,Nice,Open de Nice Côte d’Azur,23/05/12,ATP250,Outdoor,Clay,2nd Round,3,Isner J.,Malisse X.,14,74,1940,680,7,6,7,6,,,,,,,2,0,Completed,1.25,3.75,1.3,3.3,1.25,3.75,1.3,3.9,1.25,3.5,1.31,4.05,1.27,3.63
31,Nice,Open de Nice Côte d’Azur,23/05/12,ATP250,Outdoor,Clay,2nd Round,3,Bellucci T.,Ferrero J.C.,38,43,1020,960,6,4,6,3,,,,,,,2,0,Completed,1.8,1.9,1.85,1.9,1.73,2,1.83,2.09,1.8,1.91,1.87,2.1,1.78,1.98
31,Nice,Open de Nice Côte d’Azur,23/05/12,ATP250,Outdoor,Clay,2nd Round,3,Simon G.,Dimitrov G.,12,82,2050,641,6,3,6,3,,,,,,,2,0,Completed,1.33,3.25,1.3,3.3,1.3,3.4,1.38,3.31,1.22,3.75,1.4,3.8,1.31,3.33
31,Nice,Open de Nice Côte d’Azur,23/05/12,ATP250,Outdoor,Clay,2nd Round,3,Kukushkin M.,Tomic B.,60,36,768,1061,3,6,6,2,7,5,,,,,2,1,Completed,2.25,1.57,2.25,1.6,2.2,1.62,2.2,1.75,2.2,1.62,2.28,1.75,2.2,1.64
31,Nice,Open de Nice Côte d’Azur,23/05/12,ATP250,Outdoor,Clay,2nd Round,3,Almagro N.,Roger-Vasselin E.,11,92,2220,601,7,6,6,4,,,,,,,2,0,Completed,1.12,6,1.15,5,1.11,6,1.2,5.27,1.07,7,1.2,7,1.12,5.77
31,Nice,Open de Nice Côte d’Azur,23/05/12,ATP250,Outdoor,Clay,2nd Round,3,Baker B.,Monfils G.,387,13,98,1970,6,3,7,6,,,,,,,2,0,Completed,4.33,1.2,4.25,1.2,4.5,1.17,4.22,1.27,5,1.14,5,1.29,4.07,1.21
