ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
32,Nice,Open de Nice Côte d’Azur,17/05/15,ATP250,Outdoor,Clay,1st Round,3,Carreno-Busta P.,Hamou M.,61,225,815,213,6,2,6,2,,,,,,,2,0,Completed,1.18,4.5,1.22,4,1.25,3.75,1.19,5.22,1.26,5.22,1.21,4.29
32,Nice,Open de Nice Côte d’Azur,17/05/15,ATP250,Outdoor,Clay,1st Round,3,Monaco J.,Paire B.,34,71,1170,698,6,4,6,2,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.29,3.5,1.4,3.18,1.4,3.5,1.34,3.16
32,Nice,Open de Nice Côte d’Azur,18/05/15,ATP250,Outdoor,Clay,1st Round,3,Johnson S.,Venus M.,55,516,850,65,7,5,6,3,,,,,,,2,0,Completed,1.11,6.5,1.12,5.75,1.12,5.5,1.13,7.14,1.14,7.14,1.11,6.17
32,Nice,Open de Nice Côte d’Azur,18/05/15,ATP250,Outdoor,Clay,1st Round,3,Querrey S.,Bemelmans R.,38,95,1115,542,6,2,6,3,,,,,,,2,0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.28,4.01,1.3,4.5,1.26,3.75
32,Nice,Open de Nice Côte d’Azur,18/05/15,ATP250,Outdoor,Clay,1st Round,3,Coric B.,Groth S.,53,73,890,688,7,5,6,3,,,,,,,2,0,Completed,1.4,2.75,1.42,2.8,1.4,2.75,1.49,2.8,1.5,3.1,1.42,2.78
32,Nice,Open de Nice Côte d’Azur,18/05/15,ATP250,Outdoor,Clay,1st Round,3,Thiem D.,Estrella Burgos V.,42,46,995,945,7,6,6,2,,,,,,,2,0,Completed,1.57,2.25,1.5,2.5,1.57,2.25,1.54,2.62,1.62,2.69,1.53,2.44
32,Nice,Open de Nice Côte d’Azur,19/05/15,ATP250,Outdoor,Clay,1st Round,3,Duckworth J.,Tiafoe F.,88,291,589,162,6,7,7,5,6,2,,,,,2,1,Completed,1.57,2.25,1.52,2.45,1.57,2.25,1.56,2.58,1.57,2.7,1.53,2.46
32,Nice,Open de Nice Côte d’Azur,19/05/15,ATP250,Outdoor,Clay,1st Round,3,Mina G.,Tomic B.,269,28,184,1320,6,2,,,,,,,,,1,0,Retired,5.5,1.14,5.25,1.14,5,1.14,5.75,1.17,5.85,1.17,5.31,1.14
32,Nice,Open de Nice Côte d’Azur,19/05/15,ATP250,Outdoor,Clay,1st Round,3,Kyrgios N.,Kukushkin M.,30,57,1230,842,7,6,6,2,,,,,,,2,0,Completed,1.36,3,1.42,2.8,1.4,2.75,1.42,3.08,1.47,3.2,1.4,2.88
32,Nice,Open de Nice Côte d’Azur,19/05/15,ATP250,Outdoor,Clay,1st Round,3,Lajovic D.,Sock J.,75,36,685,1137,5,7,7,5,6,1,,,,,2,1,Completed,2.75,1.4,2.8,1.42,2.62,1.44,3.08,1.42,3.15,1.45,2.82,1.41
