WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
47,Ningbo,Ningbo Open,25/09/2023,WTA250,Outdoor,Hard,1st Round,3,Bronzetti L.,Teichmann J.,65,145,962,517,7,6,6,4,,,2,0,Completed,1.57,2.38,1.68,2.29,1.78,2.55,1.59,2.34
47,Ningbo,Ningbo Open,25/09/2023,WTA250,Outdoor,Hard,1st Round,3,Zvonareva V.,Boulter K.,526,54,92,1057,6,4,4,6,7,6,2,1,Completed,3.2,1.36,3.36,1.36,3.6,1.37,3.18,1.34
47,Ningbo,Ningbo Open,25/09/2023,WTA250,Outdoor,Hard,1st Round,3,Tauson C.,Avanesyan E.,76,68,837,931,6,4,6,1,,,2,0,Completed,1.67,2.2,1.75,2.17,1.76,2.25,1.69,2.14
47,Ningbo,Ningbo Open,25/09/2023,WTA250,Outdoor,Hard,1st Round,3,Putintseva Y.,Saville D.,73,248,877,281,6,4,6,1,,,2,0,Completed,1.62,2.3,1.65,2.34,1.79,2.43,1.64,2.23
47,Ningbo,Ningbo Open,25/09/2023,WTA250,Outdoor,Hard,1st Round,3,Blinkova A.,Hruncakova V.,40,113,1263,634,6,3,7,5,,,2,0,Completed,1.91,1.91,1.94,1.93,2,2,1.88,1.9
47,Ningbo,Ningbo Open,25/09/2023,WTA250,Outdoor,Hard,1st Round,3,Baindl K.,Yuan Y.,88,147,776,513,3,6,6,4,6,3,2,1,Completed,2,1.8,2.08,1.81,2.1,1.81,2.01,1.76
47,Ningbo,Ningbo Open,25/09/2023,WTA250,Outdoor,Hard,1st Round,3,Fruhvirtova L.,Masarova R.,117,67,614,937,1,6,6,2,1,0,1,1,Retired,3.2,1.36,3.26,1.37,3.33,1.4,3.11,1.35
47,Ningbo,Ningbo Open,25/09/2023,WTA250,Outdoor,Hard,1st Round,3,Kvitova P.,Friedsam A.L.,14,112,2695,635,7,6,6,1,,,2,0,Completed,1.14,5.5,1.2,4.97,1.22,5.5,1.17,4.8
47,Ningbo,Ningbo Open,26/09/2023,WTA250,Outdoor,Hard,1st Round,3,Rakhimova K.,Rus A.,77,51,826,1124,3,6,7,6,6,3,2,1,Completed,2.1,1.73,2.16,1.76,2.2,1.82,2.1,1.72
47,Ningbo,Ningbo Open,26/09/2023,WTA250,Outdoor,Hard,1st Round,3,Savinykh V.,Gracheva V.,164,48,469,1178,7,5,7,5,,,2,0,Completed,2.75,1.44,2.8,1.48,2.89,1.49,2.75,1.45
