WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
25,Nottingham,Nottingham Open,06/06/2022,WTA250,Outdoor,Grass,1st Round,3,Dart H.,Vekic D.,114,90,574,752,6,4,6,3,,,2,0,Completed,3.4,1.33,3.08,1.42,3.4,1.42,3.09,1.36
25,Nottingham,Nottingham Open,06/06/2022,WTA250,Outdoor,Grass,1st Round,3,Watson H.,Volynets K.,102,123,633,526,6,4,6,2,,,2,0,Completed,1.8,2,1.83,2.07,1.9,2.1,1.8,1.99
25,Nottingham,Nottingham Open,06/06/2022,WTA250,Outdoor,Grass,1st Round,3,Burrage J.,Zhu L.,235,96,296,705,7,6,6,4,,,2,0,Completed,2.5,1.53,2.44,1.62,3,1.64,2.4,1.56
25,Nottingham,Nottingham Open,06/06/2022,WTA250,Outdoor,Grass,1st Round,3,Martincova T.,Dodin O.,60,85,1023,788,7,6,7,5,,,2,0,Completed,1.61,2.3,1.67,2.33,1.67,2.5,1.63,2.26
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Sakkari M.,Osorio M.,5,61,4016,1016,6,2,6,3,,,2,0,Completed,1.16,5,1.2,5.36,1.2,5.36,1.17,4.81
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Giorgi C.,Kartal S.,26,270,1753,257,6,4,6,3,,,2,0,Completed,1.16,5,1.2,5.03,1.22,5.25,1.18,4.73
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Marino R.,Silva E.,109,343,595,177,6,4,6,4,,,2,0,Completed,1.25,4,1.26,4.3,1.26,4.57,1.23,4.06
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Zhang S.,Bucsa C.,41,128,1240,496,7,6,6,3,,,2,0,Completed,1.4,3,1.41,3.12,1.57,3.12,1.43,2.8
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Linette M.,Kawa K.,67,129,971,486,7,6,6,2,,,2,0,Completed,1.2,4.5,1.23,4.61,1.25,4.61,1.21,4.34
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Golubic V.,Raducanu E.,55,11,1086,2975,4,3,,,,,0,0,Retired,2.5,1.53,3.13,1.41,3.14,1.56,2.58,1.49
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Haddad Maia B.,Wang Q.,48,146,1188,440,5,7,6,4,6,3,2,1,Completed,2,1.8,2,1.88,2,2.19,1.95,1.84
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Miyazaki Y.,Frech M.,234,92,298,740,6,4,1,6,6,1,2,1,Completed,3.75,1.28,,,3.76,1.33,3.48,1.29
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Tomljanovic A.,Wang Xin.,45,76,1216,854,6,4,6,4,,,2,0,Completed,1.5,2.62,1.49,2.79,1.53,2.86,1.47,2.64
25,Nottingham,Nottingham Open,07/06/2022,WTA250,Outdoor,Grass,1st Round,3,Boulter K.,Maria T.,136,106,459,614,4,6,6,1,6,4,2,1,Completed,1.72,2.1,1.65,2.38,1.75,2.47,1.65,2.22
25,Nottingham,Nottingham Open,08/06/2022,WTA250,Outdoor,Grass,1st Round,3,Garcia C.,Davis L.,75,93,855,724,6,3,7,6,,,2,0,Completed,1.8,2,1.87,2.02,1.88,2.11,1.79,2.02
25,Nottingham,Nottingham Open,08/06/2022,WTA250,Outdoor,Grass,1st Round,3,Riske A.,Snigur D.,40,130,1256,480,7,5,6,3,,,2,0,Completed,1.25,4,1.25,4.37,1.27,4.37,1.24,4.04
25,Nottingham,Nottingham Open,08/06/2022,WTA250,Outdoor,Grass,2nd Round,3,Martincova T.,Linette M.,60,67,1023,971,6,2,7,6,,,2,0,Completed,2.1,1.72,2.1,1.83,2.17,1.9,2.07,1.74
