WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Dominguez Lino L.,Duque Marino M.,50,118,1210,559,7,5,6,3,,,2,0,Completed,1.83,1.83,1.87,1.87,1.8,1.91,2.02,1.87,1.9,1.9,2.02,1.95,1.87,1.88
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Safarova L.,Karatantcheva S.,30,129,1500,513,6,2,7,6,,,2,0,Completed,1.12,6,1.15,5,1.17,4.5,1.15,6.16,1.17,5,1.18,6.16,1.15,5.19
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Torro Flor M.T.,Pereira T.,64,124,958,544,4,6,6,4,6,4,2,1,Completed,1.4,2.75,1.45,2.65,1.4,2.75,1.49,2.81,1.44,2.75,1.5,2.92,1.44,2.71
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Beck A.,Bratchikova N.,56,142,1064,462,6,2,6,2,,,2,0,Completed,1.16,4.5,1.2,4.25,1.25,3.75,1.24,4.55,1.22,4,1.25,5.1,1.22,4.19
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Cornet A.,Parmentier P.,23,97,1765,683,6,3,6,4,,,2,0,Completed,1.11,6.5,1.15,5,1.14,5,1.13,6.88,1.14,5.5,1.15,6.88,1.12,5.86
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Minella M.,Pegula J.,77,123,838,544,7,5,4,6,6,3,2,1,Completed,1.9,1.8,1.9,1.85,1.83,1.83,2.08,1.83,2,1.8,2.08,1.9,1.91,1.84
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Goerges J.,Cadantu A.,36,85,1450,778,6,4,7,5,,,2,0,Completed,1.36,3,1.35,3,1.4,2.75,1.45,2.93,1.44,2.75,1.45,3.2,1.39,2.9
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Knapp K.,Pfizenmaier D.,111,116,598,583,2,6,7,6,7,5,2,1,Completed,2.1,1.66,2.08,1.7,2.1,1.67,2.03,1.86,2.25,1.62,2.25,1.86,2.07,1.72
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Cohen J.,Smitkova T.,138,259,471,201,7,6,6,3,,,2,0,Completed,2.5,1.5,2.35,1.55,2.38,1.53,2.56,1.56,2.38,1.57,2.64,1.57,2.43,1.53
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Petkovic A.,Arvidsson S.,103,75,658,840,6,3,6,2,,,2,0,Completed,1.14,5.5,1.18,4.5,1.17,4.5,1.14,6.49,1.14,5.5,1.2,6.49,1.15,5.27
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Larsson J.,Beygelzimer Y.,61,199,1005,303,6,3,6,7,7,5,2,1,Completed,1.66,2.1,1.65,2.15,1.62,2.2,1.83,2.08,1.62,2.25,1.83,2.26,1.7,2.11
30,Nürnberg,Nürnberger Versicherungscup,11/06/13,International,Outdoor,Clay,1st Round,3,Voskoboeva G.,Panova A.,94,154,708,421,6,2,6,2,,,2,0,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.47,2.89,1.44,2.75,1.47,2.92,1.43,2.74
30,Nürnberg,Nürnberger Versicherungscup,12/06/13,International,Outdoor,Clay,1st Round,3,Cabeza-Candela E.,Martincova T.,96,439,690,76,6,2,6,3,,,2,0,Completed,1.22,4,1.2,4.25,1.22,4,1.24,4.52,1.22,4,1.29,5,1.21,4.31
30,Nürnberg,Nürnberger Versicherungscup,12/06/13,International,Outdoor,Clay,1st Round,3,Halep S.,Min G.,58,182,1040,340,6,0,7,5,,,2,0,Completed,1.2,4.33,1.22,4,1.22,4,1.27,4.17,1.22,4,1.27,4.8,1.22,4.16
30,Nürnberg,Nürnberger Versicherungscup,12/06/13,International,Outdoor,Clay,1st Round,3,Hercog P.,Zakopalova K.,100,33,672,1470,6,3,4,6,6,1,2,1,Completed,1.57,2.25,1.6,2.25,1.62,2.2,1.61,2.46,1.62,2.25,1.67,2.58,1.61,2.28
30,Nürnberg,Nürnberger Versicherungscup,12/06/13,International,Outdoor,Clay,1st Round,3,Jankovic J.,Rus A.,16,151,2900,432,6,4,6,2,,,2,0,Completed,1.05,9,1.06,8,1.07,7.5,1.06,12.02,1.07,8,1.09,12.02,1.06,8.57
30,Nürnberg,Nürnberger Versicherungscup,12/06/13,International,Outdoor,Clay,2nd Round,3,Safarova L.,Torro Flor M.T.,30,64,1500,958,6,4,6,2,,,2,0,Completed,1.44,2.62,1.45,2.65,1.4,2.75,1.47,2.9,1.44,2.75,1.5,3.1,1.45,2.69
30,Nürnberg,Nürnberger Versicherungscup,12/06/13,International,Outdoor,Clay,2nd Round,3,Dominguez Lino L.,Minella M.,50,77,1210,838,6,1,6,4,,,2,0,Completed,1.33,3.25,1.3,3.3,1.33,3.25,1.33,3.66,1.33,3.25,1.36,3.66,1.32,3.28
