WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
26,Nürnberg,Nürnberger Versicherungscup,21/05/17,International,Outdoor,Clay,1st Round,3,Cirstea S.,Niculescu M.,67,53,915,1110,6,4,1,0,,,1,0,Retired,1.8,1.9,1.75,1.95,1.8,2,1.87,2.02,1.91,2.1,1.83,1.96
26,Nürnberg,Nürnberger Versicherungscup,21/05/17,International,Outdoor,Clay,1st Round,3,Lepchenko V.,Rodina E.,68,78,865,783,6,2,6,2,,,2,0,Completed,1.36,3,1.37,2.85,1.4,3,1.41,3.14,1.43,3.2,1.38,3.02
26,Nürnberg,Nürnberger Versicherungscup,21/05/17,International,Outdoor,Clay,1st Round,3,Flipkens K.,Tomljanovic A.,89,309,677,143,6,2,4,6,6,3,2,1,Completed,1.57,2.25,1.6,2.2,1.67,2.2,1.68,2.3,1.7,2.3,1.64,2.23
26,Nürnberg,Nürnberger Versicherungscup,22/05/17,International,Outdoor,Clay,1st Round,3,Riske A.,Mertens E.,36,59,1355,1066,6,4,4,6,6,3,2,1,Completed,2,1.72,1.95,1.75,2,1.8,2.05,1.85,2.12,1.9,2,1.79
26,Nürnberg,Nürnberger Versicherungscup,22/05/17,International,Outdoor,Clay,1st Round,3,Krejcikova B.,Cadantu A.,254,246,196,207,6,4,5,2,,,1,0,Retired,1.8,1.9,1.8,1.9,1.91,1.91,1.9,1.99,1.92,2,1.85,1.93
26,Nürnberg,Nürnberger Versicherungscup,22/05/17,International,Outdoor,Clay,1st Round,3,Doi M.,Sakkari M.,64,98,1000,601,7,6,,,,,1,0,Retired,1.72,2,1.72,2,1.73,2.1,1.75,2.18,1.8,2.18,1.74,2.06
26,Nürnberg,Nürnberger Versicherungscup,22/05/17,International,Outdoor,Clay,1st Round,3,Maria T.,Bouzkova M.,104,206,564,262,6,0,6,1,,,2,0,Completed,2,1.72,1.95,1.75,2,1.8,1.98,1.91,2.05,1.91,1.96,1.82
26,Nürnberg,Nürnberger Versicherungscup,22/05/17,International,Outdoor,Clay,1st Round,3,Goerges J.,Hibino N.,49,81,1130,749,7,5,6,1,,,2,0,Completed,1.14,5.5,1.14,5,1.17,5,1.18,5.55,1.18,5.75,1.16,5.21
26,Nürnberg,Nürnberger Versicherungscup,22/05/17,International,Outdoor,Clay,1st Round,3,Wickmayer Y.,Sadikovic A.,71,216,828,241,7,6,6,7,6,2,2,1,Completed,1.57,2.25,1.57,2.25,1.57,2.38,1.61,2.46,1.63,2.46,1.58,2.35
26,Nürnberg,Nürnberger Versicherungscup,22/05/17,International,Outdoor,Clay,1st Round,3,Dodin O.,Zhang S.,57,34,1082,1490,6,7,6,3,6,4,2,1,Completed,1.72,2,1.72,2,1.73,2.1,1.83,2.08,1.83,2.2,1.75,2.06
