ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
27,Oeiras,Portugal Open,28/04/14,ATP250,Outdoor,Clay,1st Round,3,Golubev A.,Mannarino A.,61,92,806,606,6,3,3,6,6,4,,,,,2,1,Completed,1.33,3.25,1.35,3.1,1.36,3,1.38,3.26,1.36,3,1.38,3.63,1.33,3.22
27,Oeiras,Portugal Open,28/04/14,ATP250,Outdoor,Clay,1st Round,3,Carreno-Busta P.,Kukushkin M.,60,59,816,825,6,1,7,6,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.36,3,1.49,2.81,1.4,2.88,1.49,3.25,1.37,3.01
27,Oeiras,Portugal Open,29/04/14,ATP250,Outdoor,Clay,1st Round,3,Devvarman S.,Ebden M.,102,64,575,720,6,2,6,3,,,,,,,2,0,Completed,1.44,2.62,1.52,2.45,1.57,2.25,1.49,2.8,1.5,2.63,1.6,2.82,1.49,2.58
27,Oeiras,Portugal Open,29/04/14,ATP250,Outdoor,Clay,1st Round,3,Berlocq C.,Daniel T.,62,190,735,269,6,3,6,2,,,,,,,2,0,Completed,1.25,3.75,1.28,3.5,1.29,3.5,1.34,3.54,1.25,3.75,1.34,3.8,1.29,3.51
27,Oeiras,Portugal Open,29/04/14,ATP250,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Gonzalez A.,98,80,587,637,6,4,6,1,,,,,,,2,0,Completed,1.4,2.75,1.45,2.7,,,1.44,2.99,1.5,2.63,1.5,2.99,1.45,2.67
27,Oeiras,Portugal Open,29/04/14,ATP250,Outdoor,Clay,1st Round,3,Cuevas P.,Nedovyesov A.,161,73,341,659,4,6,6,3,6,4,,,,,2,1,Completed,1.33,3.25,1.38,3,1.36,3,1.36,3.42,1.36,3,1.4,3.5,1.35,3.11
27,Oeiras,Portugal Open,29/04/14,ATP250,Outdoor,Clay,1st Round,3,Machado R.,Tursunov D.,243,32,200,1190,6,0,6,0,,,,,,,2,0,Completed,2.62,1.44,2.5,1.5,2.62,1.44,2.73,1.51,2.75,1.44,2.88,1.53,2.63,1.47
27,Oeiras,Portugal Open,29/04/14,ATP250,Outdoor,Clay,1st Round,3,Montanes A.,Carballes Baena R.,57,188,835,270,7,6,6,3,,,,,,,2,0,Completed,1.4,2.75,1.4,2.9,,,,,1.4,2.88,1.48,3.2,1.4,2.78
27,Oeiras,Portugal Open,29/04/14,ATP250,Outdoor,Clay,1st Round,3,Hanescu V.,Albot R.,93,178,601,298,3,6,6,4,6,4,,,,,2,1,Completed,1.22,4,1.22,4,1.25,3.75,1.24,4.55,1.22,4,1.25,4.9,1.22,4.1
27,Oeiras,Portugal Open,29/04/14,ATP250,Outdoor,Clay,1st Round,3,Mayer L.,Sousa J.,88,40,619,1050,3,6,6,1,6,2,,,,,2,1,Completed,2.1,1.66,2.2,1.65,2.25,1.57,2.16,1.76,2.2,1.67,2.26,1.8,2.15,1.68
27,Oeiras,Portugal Open,29/04/14,ATP250,Outdoor,Clay,1st Round,3,Kubot L.,Gabashvili T.,76,52,646,903,6,3,7,5,,,,,,,2,0,Completed,3.75,1.25,3.75,1.25,4,1.22,3.57,1.33,3.75,1.25,4,1.33,3.67,1.27
27,Oeiras,Portugal Open,30/04/14,ATP250,Outdoor,Clay,1st Round,3,Elias G.,Volandri F.,179,84,294,627,6,4,6,3,,,,,,,2,0,Completed,1.53,2.37,1.58,2.35,1.57,2.25,1.6,2.48,1.57,2.38,1.63,2.5,1.56,2.37
27,Oeiras,Portugal Open,30/04/14,ATP250,Outdoor,Clay,2nd Round,3,Gimeno-Traver D.,Machado R.,98,243,587,200,6,3,7,6,,,,,,,2,0,Completed,1.28,3.5,1.3,3.4,1.3,3.4,1.34,3.56,1.29,3.5,1.35,3.6,1.31,3.35
