WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
23,Oeiras,Portugal Open,28/04/14,International,Outdoor,Clay,1st Round,3,Jovanovski B.,Puig M.,40,55,1300,1019,6,4,4,6,6,4,2,1,Completed,2.37,1.53,2.5,1.5,2.25,1.57,2.5,1.59,2.25,1.62,2.65,1.62,2.42,1.54
23,Oeiras,Portugal Open,28/04/14,International,Outdoor,Clay,1st Round,3,Wickmayer Y.,Radwanska U.,58,73,957,842,6,4,7,5,,,2,0,Completed,1.44,2.62,1.45,2.7,1.5,2.5,1.43,3.01,1.57,2.38,1.57,3.01,1.46,2.65
23,Oeiras,Portugal Open,28/04/14,International,Outdoor,Clay,1st Round,3,Shvedova Y.,Knapp K.,65,49,910,1128,6,2,6,4,,,2,0,Completed,1.61,2.2,1.65,2.2,1.57,2.25,1.69,2.28,1.62,2.25,1.71,2.3,1.63,2.2
23,Oeiras,Portugal Open,28/04/14,International,Outdoor,Clay,1st Round,3,Jabeur O.,Koehler M.J.,139,213,481,274,6,3,6,1,,,2,0,Completed,1.53,2.37,1.55,2.4,1.5,2.5,1.58,2.53,1.57,2.38,1.64,2.6,1.55,2.41
23,Oeiras,Portugal Open,28/04/14,International,Outdoor,Clay,1st Round,3,Safarova L.,Rybarikova M.,26,39,1920,1330,4,6,6,0,6,0,2,1,Completed,1.22,4,1.22,4,1.25,3.75,1.26,4.3,1.25,3.75,1.26,4.5,1.23,3.99
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Vinci R.,Cadantu A.,20,74,2460,826,6,2,4,6,6,1,2,1,Completed,1.18,4.5,1.2,4.3,1.2,4.33,1.26,4.28,1.22,4,1.26,4.5,1.22,4.09
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Kanepi K.,Meusburger Y.,23,38,2121,1355,6,2,6,1,,,2,0,Completed,1.57,2.25,1.6,2.3,1.57,2.25,1.63,2.4,1.62,2.25,1.7,2.4,1.62,2.25
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Bouchard E.,Kleybanova A.,18,87,2498,709,6,4,6,1,,,2,0,Completed,1.36,3,1.38,3,1.4,2.75,1.38,3.31,1.36,3,1.43,3.31,1.37,2.99
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Kuznetsova S.,Zhang S.,29,41,1612,1283,6,4,6,0,,,2,0,Completed,1.16,5,1.18,4.5,1.2,4.33,1.19,5.29,1.2,4.5,1.21,5.4,1.18,4.65
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Begu I.,Nara K.,117,45,538,1218,6,1,7,6,,,2,0,Completed,1.57,2.25,1.6,2.3,,,1.59,2.5,1.67,2.2,1.67,2.5,1.59,2.31
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Hercog P.,Voegele S.,64,72,925,845,2,6,6,2,6,4,2,1,Completed,1.3,3.4,1.33,3.2,1.36,3,1.34,3.5,1.36,3,1.36,3.75,1.31,3.31
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Bacsinszky T.,Stosur S.,165,19,384,2485,6,4,6,0,,,2,0,Completed,3,1.36,2.8,1.42,2.75,1.4,3.05,1.43,2.75,1.44,3.05,1.45,2.83,1.4
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Zahlavova Strycova B.,Oprandi R.,56,78,990,791,4,6,6,1,6,4,2,1,Completed,2,1.72,1.9,1.85,2,1.73,2.27,1.7,2,1.8,2.27,1.9,2.05,1.74
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Torro Flor M.T.,Peng S.,50,42,1126,1265,6,1,6,4,,,2,0,Completed,1.57,2.25,1.68,2.15,1.67,2.1,1.67,2.33,1.67,2.2,1.69,2.4,1.63,2.22
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Vesnina E.,Mladenovic K.,33,100,1405,633,6,4,6,1,,,2,0,Completed,1.33,3.25,1.4,2.9,1.44,2.62,1.4,3.18,1.4,2.88,1.43,3.3,1.37,3.03
23,Oeiras,Portugal Open,29/04/14,International,Outdoor,Clay,1st Round,3,Suarez Navarro C.,Kudryavtseva A.,15,121,2700,530,6,1,6,2,,,2,0,Completed,1.14,5.5,1.18,4.5,1.17,4.5,1.15,6.36,1.17,5,1.2,6.36,1.15,5.14
23,Oeiras,Portugal Open,30/04/14,International,Outdoor,Clay,2nd Round,3,Bacsinszky T.,Jabeur O.,165,139,384,481,7,5,6,0,,,2,0,Completed,1.25,3.75,1.3,3.4,1.33,3.25,1.33,3.69,1.36,3,1.36,3.75,1.3,3.4
23,Oeiras,Portugal Open,30/04/14,International,Outdoor,Clay,2nd Round,3,Vinci R.,Wickmayer Y.,20,58,2460,957,6,0,6,2,,,2,0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.34,3.56,1.33,3.25,1.34,4.3,1.27,3.63
23,Oeiras,Portugal Open,30/04/14,International,Outdoor,Clay,2nd Round,3,Bouchard E.,Shvedova Y.,18,65,2498,910,6,4,6,2,,,2,0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.26,4.38,1.29,3.5,1.3,4.38,1.26,3.76
23,Oeiras,Portugal Open,30/04/14,International,Outdoor,Clay,2nd Round,3,Kuznetsova S.,Torro Flor M.T.,29,50,1612,1126,5,7,6,4,6,1,2,1,Completed,1.5,2.5,1.52,2.45,1.5,2.5,1.52,2.73,1.53,2.5,1.57,2.73,1.5,2.52
