WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
52,Osaka,HP Open,08/10/12,International,Outdoor,Hard,1st Round,3,Hampton J.,Morita A.,80,67,816,920,6,3,6,2,,,2,0,Completed,1.57,2.25,1.6,2.25,1.57,2.25,1.63,2.42,1.67,2.1,1.71,2.42,1.63,2.22
52,Osaka,HP Open,08/10/12,International,Outdoor,Hard,1st Round,3,Stosur S.,Sema E.,9,164,4400,384,6,4,6,2,,,2,0,Completed,1.03,15,1.03,10,1.03,10,1.02,21,1.02,11,1.05,21,1.03,12.52
52,Osaka,HP Open,08/10/12,International,Outdoor,Hard,1st Round,3,Dellacqua C.,Date Krumm K.,84,103,790,648,6,3,3,6,6,4,2,1,Completed,1.44,2.62,1.5,2.5,1.44,2.62,1.45,2.94,1.4,2.75,1.55,2.94,1.45,2.65
52,Osaka,HP Open,08/10/12,International,Outdoor,Hard,1st Round,3,Doi M.,Cohen J.,123,106,554,633,7,5,3,6,6,0,2,1,Completed,1.22,4,1.25,3.75,1.36,3,1.25,4.4,1.29,3.25,1.36,4.4,1.28,3.59
52,Osaka,HP Open,08/10/12,International,Outdoor,Hard,1st Round,3,Parmentier P.,Johansson M.,73,89,900,775,6,2,6,2,,,2,0,Completed,1.44,2.62,1.5,2.5,1.5,2.5,1.6,2.48,1.57,2.25,1.61,2.7,1.51,2.5
52,Osaka,HP Open,08/10/12,International,Outdoor,Hard,1st Round,3,Watson H.,Hercog P.,71,81,905,816,6,4,6,4,,,2,0,Completed,1.57,2.25,1.65,2.15,1.62,2.2,1.64,2.37,1.62,2.2,1.7,2.45,1.63,2.22
52,Osaka,HP Open,08/10/12,International,Outdoor,Hard,1st Round,3,Chang K.C.,Mchale C.,134,32,478,1451,6,3,7,6,,,2,0,Completed,3.5,1.28,3,1.35,2.75,1.4,3.69,1.32,3.25,1.29,3.7,1.4,3.24,1.32
52,Osaka,HP Open,09/10/12,International,Outdoor,Hard,1st Round,3,Scheepers C.,Glatch A.,58,137,1015,471,6,4,6,1,,,2,0,Completed,1.28,3.5,1.3,3.3,1.29,3.5,1.3,3.82,1.29,3.25,1.33,4.2,1.29,3.49
52,Osaka,HP Open,09/10/12,International,Outdoor,Hard,1st Round,3,Razzano V.,Luangnam N.,170,219,373,255,6,3,6,3,,,2,0,Completed,1.5,2.5,1.55,2.35,1.53,2.38,1.58,2.53,1.44,2.63,1.63,2.63,1.52,2.46
52,Osaka,HP Open,09/10/12,International,Outdoor,Hard,1st Round,3,Zheng J.,Martinez-Sanchez M.J.,24,154,1630,418,4,6,7,5,6,4,2,1,Completed,1.4,2.75,1.4,2.8,1.5,2.5,1.5,2.76,1.44,2.63,1.5,3.25,1.43,2.73
52,Osaka,HP Open,09/10/12,International,Outdoor,Hard,1st Round,3,Robson L.,Daniilidou E.,56,108,1091,613,6,4,6,2,,,2,0,Completed,1.18,4.5,1.2,4.25,1.2,4.33,1.23,4.6,1.2,4,1.23,5.4,1.2,4.4
52,Osaka,HP Open,09/10/12,International,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Giorgi C.,40,79,1385,822,3,6,6,2,6,2,2,1,Completed,2,1.72,1.9,1.85,1.83,1.83,2.08,1.83,1.83,1.83,2.25,1.87,1.95,1.8
52,Osaka,HP Open,09/10/12,International,Outdoor,Hard,1st Round,3,Zhou Y.M.,Nara K.,228,155,247,416,7,5,6,4,,,2,0,Completed,2.25,1.57,2.5,1.5,2.5,1.5,2.43,1.63,2.25,1.57,2.65,1.65,2.38,1.56
52,Osaka,HP Open,09/10/12,International,Outdoor,Hard,1st Round,3,Tanasugarn T.,Shvedova Y.,133,28,479,1551,6,3,6,2,,,2,0,Completed,8,1.08,6.5,1.1,5.5,1.12,7.9,1.11,6,1.1,9.5,1.13,6.64,1.1
52,Osaka,HP Open,09/10/12,International,Outdoor,Hard,1st Round,3,Lucic M.,Kumkhum L.,110,212,608,273,4,6,6,3,6,4,2,1,Completed,2.1,1.66,1.95,1.8,1.83,1.83,2.24,1.71,1.8,1.91,2.4,1.91,2.03,1.74
52,Osaka,HP Open,09/10/12,International,Outdoor,Hard,1st Round,3,Puchkova O.,Schiavone F.,101,33,658,1436,6,4,2,1,,,1,0,Retired,3,1.36,3,1.35,3,1.36,3.18,1.4,3.25,1.33,3.35,1.42,3.04,1.36
52,Osaka,HP Open,10/10/12,International,Outdoor,Hard,2nd Round,3,Chang K.C.,Dellacqua C.,134,84,478,790,7,6,6,3,,,2,0,Completed,2.37,1.53,2.35,1.55,2.5,1.5,2.46,1.62,2.25,1.57,2.6,1.66,2.35,1.57
52,Osaka,HP Open,10/10/12,International,Outdoor,Hard,2nd Round,3,Hampton J.,Tanasugarn T.,80,133,816,479,7,5,7,5,,,2,0,Completed,1.2,4.33,1.25,3.75,1.2,4.33,1.23,4.8,1.25,3.5,1.29,5.8,1.23,4.07
52,Osaka,HP Open,10/10/12,International,Outdoor,Hard,2nd Round,3,Stosur S.,Razzano V.,9,170,4400,373,1,6,6,2,6,4,2,1,Completed,1.1,7,1.08,7,1.08,7,1.09,9.2,1.1,6,1.1,9.2,1.09,7.24
52,Osaka,HP Open,10/10/12,International,Outdoor,Hard,2nd Round,3,Doi M.,Puchkova O.,123,101,554,658,6,3,6,2,,,2,0,Completed,2.1,1.66,2.15,1.65,2.1,1.67,2.2,1.76,2,1.73,2.3,1.8,2.05,1.72
52,Osaka,HP Open,11/10/12,International,Outdoor,Hard,2nd Round,3,Parmentier P.,Zheng J.,73,24,900,1630,6,3,6,4,,,2,0,Completed,2.62,1.44,2.5,1.5,2.62,1.44,2.78,1.51,2.63,1.44,2.8,1.58,2.59,1.47
52,Osaka,HP Open,11/10/12,International,Outdoor,Hard,2nd Round,3,Watson H.,Medina Garrigues A.,71,40,905,1385,6,7,6,2,6,3,2,1,Completed,1.57,2.25,1.6,2.25,1.62,2.2,1.68,2.32,1.57,2.25,1.75,2.42,1.63,2.22
52,Osaka,HP Open,11/10/12,International,Outdoor,Hard,2nd Round,3,Scheepers C.,Lucic M.,58,110,1015,608,6,2,6,2,,,2,0,Completed,1.22,4,1.25,3.75,1.29,3.5,1.29,3.97,1.22,3.75,1.3,4.1,1.25,3.76
52,Osaka,HP Open,11/10/12,International,Outdoor,Hard,2nd Round,3,Robson L.,Zhou Y.M.,56,228,1091,247,6,4,6,4,,,2,0,Completed,1.14,5.5,1.13,5.5,1.12,5.5,1.14,6.95,1.13,5.5,1.14,7,1.12,5.91
52,Osaka,HP Open,12/10/12,International,Outdoor,Hard,Quarterfinals,3,Doi M.,Scheepers C.,123,58,554,1015,2,6,6,1,6,3,2,1,Completed,3.4,1.3,3.3,1.3,3.25,1.33,3.92,1.31,3.25,1.33,4,1.36,3.33,1.31
52,Osaka,HP Open,12/10/12,International,Outdoor,Hard,Quarterfinals,3,Watson H.,Parmentier P.,71,73,905,900,7,5,6,3,,,2,0,Completed,1.61,2.2,1.6,2.25,1.57,2.25,1.65,2.42,1.62,2.25,1.65,2.52,1.59,2.3
52,Osaka,HP Open,12/10/12,International,Outdoor,Hard,Quarterfinals,3,Chang K.C.,Robson L.,134,56,478,1091,6,4,3,6,7,6,2,1,Completed,3.5,1.28,3.3,1.3,4.33,1.2,4.3,1.27,3.5,1.29,4.33,1.32,3.55,1.28
52,Osaka,HP Open,12/10/12,International,Outdoor,Hard,Quarterfinals,3,Stosur S.,Hampton J.,9,80,4400,816,6,2,6,4,,,2,0,Completed,1.22,4,1.25,3.75,1.29,3.5,1.33,3.71,1.25,3.75,1.33,5.6,1.26,3.77
52,Osaka,HP Open,13/10/12,International,Outdoor,Hard,Semifinals,3,Watson H.,Doi M.,71,123,905,554,7,6,7,5,,,2,0,Completed,1.36,3,1.35,3,1.36,3,1.44,3.06,1.4,2.88,1.45,3.15,1.39,2.9
52,Osaka,HP Open,13/10/12,International,Outdoor,Hard,Semifinals,3,Chang K.C.,Stosur S.,134,9,478,4400,6,4,4,6,7,6,2,1,Completed,8,1.08,6.5,1.1,6.5,1.1,8.36,1.11,7,1.1,9.7,1.12,7.05,1.09
52,Osaka,HP Open,14/10/12,International,Outdoor,Hard,The Final,3,Watson H.,Chang K.C.,71,134,905,478,7,5,5,7,7,6,2,1,Completed,1.57,2.37,1.5,2.5,1.62,2.25,1.53,2.75,1.57,2.38,1.62,2.75,1.53,2.46
