WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
51,Ostrava,Ostrava Open,03/10/2022,WTA500,Indoor,Hard,1st Round,3,Tomljanovic A.,Zhang S.,34,27,1400,1655,6,3,6,3,,,2,0,Completed,1.72,2.1,1.85,2.05,1.93,2.15,1.77,2.04
51,Ostrava,Ostrava Open,03/10/2022,WTA500,Indoor,Hard,1st Round,3,Alexandrova E.,Azarenka V.,21,24,1975,1896,6,4,4,6,6,2,2,1,Completed,1.72,2.1,1.86,2.03,1.86,2.12,1.76,2.03
51,Ostrava,Ostrava Open,03/10/2022,WTA500,Indoor,Hard,1st Round,3,Rybakina E.,Keys M.,26,17,1655,2248,5,7,6,3,6,3,2,1,Completed,1.66,2.2,1.72,2.22,1.77,2.23,1.69,2.15
51,Ostrava,Ostrava Open,03/10/2022,WTA500,Indoor,Hard,1st Round,3,Kvitova P.,Pera B.,20,43,2003,1140,6,3,2,6,6,4,2,1,Completed,1.44,2.75,1.46,2.92,1.5,2.95,1.45,2.71
51,Ostrava,Ostrava Open,03/10/2022,WTA500,Indoor,Hard,1st Round,3,Martincova T.,Teichmann J.,78,36,760,1333,7,6,7,6,,,2,0,Completed,1.8,2,1.95,1.93,1.95,2.03,1.86,1.92
51,Ostrava,Ostrava Open,04/10/2022,WTA500,Indoor,Hard,1st Round,3,Mcnally C.,Blinkova A.,151,137,402,440,6,1,6,2,,,2,0,Completed,1.72,2.1,1.72,2.23,1.85,2.23,1.71,2.12
51,Ostrava,Ostrava Open,04/10/2022,WTA500,Indoor,Hard,1st Round,3,Sasnovich A.,Ostapenko J.,31,16,1521,2271,6,2,6,2,,,2,0,Completed,2.3,1.61,2.31,1.68,2.65,1.68,2.3,1.61
51,Ostrava,Ostrava Open,04/10/2022,WTA500,Indoor,Hard,1st Round,3,Kasatkina D.,Raducanu E.,11,67,2895,852,7,5,6,4,,,2,0,Completed,1.61,2.3,1.65,2.37,1.67,2.4,1.61,2.29
51,Ostrava,Ostrava Open,04/10/2022,WTA500,Indoor,Hard,1st Round,3,Parks A.,Pliskova Ka.,144,19,420,2061,6,0,7,6,,,2,0,Completed,7,1.1,8.5,1.1,8.5,1.11,7.03,1.09
51,Ostrava,Ostrava Open,04/10/2022,WTA500,Indoor,Hard,1st Round,3,Bencic B.,Bouchard E.,14,506,2305,82,6,7,6,1,6,4,2,1,Completed,1.16,5,1.22,4.71,1.23,5,1.2,4.48
