ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
55,Palermo,Campionati Internazionali Di Sicilia,27/09/04,International,Outdoor,Clay,1st Round,3,Mutis O.,Patience O.,113,107,6,4,6,3,,,,,,,2,0,Completed,,,2.1,1.7,2.15,1.65,1.9,1.6,2.31,1.662
55,Palermo,Campionati Internazionali Di Sicilia,27/09/04,International,Outdoor,Clay,1st Round,3,Acasuso J.,Falla A.,70,118,6,3,6,1,,,,,,,2,0,Completed,1.33,3,1.33,3.2,1.35,3.1,1.3,2.7,1.37,3.3
55,Palermo,Campionati Internazionali Di Sicilia,27/09/04,International,Outdoor,Clay,1st Round,3,Verdasco F.,Aldi F.,38,146,6,2,4,6,6,2,,,,,2,1,Completed,1.16,4.5,,,1.15,5.2,1.15,3.8,1.148,6
55,Palermo,Campionati Internazionali Di Sicilia,28/09/04,International,Outdoor,Clay,1st Round,3,Blanco G.,di Mauro A.,160,135,2,6,6,2,6,2,,,,,2,1,Completed,,,2.25,1.6,,,2.1,1.5,2.37,1.637
55,Palermo,Campionati Internazionali Di Sicilia,28/09/04,International,Outdoor,Clay,1st Round,3,Calatrava A.,Elsner D.,88,152,6,1,6,0,,,,,,,2,0,Completed,,,,,1.45,2.6,1.3,2.7,1.455,2.92
55,Palermo,Campionati Internazionali Di Sicilia,28/09/04,International,Outdoor,Clay,1st Round,3,Ferrer D.,Martin A.,51,68,2,6,6,1,6,4,,,,,2,1,Completed,1.66,2.1,1.77,2,1.8,1.95,1.65,1.85,1.84,1.99
55,Palermo,Campionati Internazionali Di Sicilia,28/09/04,International,Outdoor,Clay,1st Round,3,Monaco J.,Kohlschreiber P.,86,82,3,6,6,4,,,,,,,1,1,Retired,1.44,2.62,1.45,2.7,1.37,2.92,1.5,2.1,1.435,3
55,Palermo,Campionati Internazionali Di Sicilia,28/09/04,International,Outdoor,Clay,1st Round,3,Nadal R.,Almagro N.,49,99,6,1,7,5,,,,,,,2,0,Completed,1.222,3.75,1.22,4.1,1.2,4.25,1.25,3,1.238,4.55
55,Palermo,Campionati Internazionali Di Sicilia,28/09/04,International,Outdoor,Clay,1st Round,3,Lopez M.,Gimeno-Traver D.,151,171,6,2,6,2,,,,,,,2,0,Completed,,,1.55,2.35,,,1.4,2.3,1.599,2.47
55,Palermo,Campionati Internazionali Di Sicilia,28/09/04,International,Outdoor,Clay,1st Round,3,Seppi A.,di Pasquale A.,155,228,6,7,6,2,6,4,,,,,2,1,Completed,2.1,1.66,2,1.77,2,1.75,2.1,1.5,1.99,1.84
