ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
56,Palermo,Campionati Internazionali Di Sicilia,26/09/05,International,Outdoor,Clay,1st Round,3,Sabau R.,Zabaleta M.,74,68,493,515,6,3,7,6,,,,,,,2,0,Completed,2.87,1.36,2.8,1.42,2.92,1.37,2.35,1.45,2.88,1.481
56,Palermo,Campionati Internazionali Di Sicilia,26/09/05,International,Outdoor,Clay,1st Round,3,Hernandez O.,Naso G.,73,667,495,27,6,7,6,0,6,4,,,,,2,1,Completed,,,,,,,1.25,3.2,1.261,4.43
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Robredo T.,Portas A.,17,123,1350,348,6,3,7,5,,,,,,,2,0,Completed,,,,,,,1.25,3.2,1.295,4.09
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Chela J.I.,Sanchez de Luna J.A.,50,494,755,50,6,4,6,2,,,,,,,2,0,Completed,,,,,,,1.1,5,,
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Verdasco F.,Zib T.,38,63,885,621,6,2,6,2,,,,,,,2,0,Completed,1.22,3.75,1.22,4.1,1.2,4.25,1.25,3.2,1.262,4.41
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Andreev I.,Almagro N.,52,98,739,411,6,4,2,6,6,4,,,,,2,1,Completed,1.72,2,1.77,2,1.8,1.95,1.7,1.9,1.935,1.971
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Rochus C.,Sanchez D.,55,138,704,302,6,1,6,2,,,,,,,2,0,Completed,1.72,2,1.77,2,1.6,2.3,1.95,1.65,1.658,2.42
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Sanguinetti D.,Serra F.,46,54,784,710,6,7,6,1,6,2,,,,,2,1,Completed,2.62,1.44,2.7,1.45,2.35,1.55,2.35,1.45,2.77,1.508
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Montanes A.,Calleri A.,69,60,513,637,7,5,6,0,,,,,,,2,0,Completed,2.75,1.39,2.8,1.42,2.85,1.4,2.7,1.35,2.86,1.485
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Elsner D.,Fognini F.,339,355,94,87,4,6,6,3,7,5,,,,,2,1,Completed,,,,,,,1.65,1.95,,
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Behrend T.,Bracciali D.,84,92,466,440,6,4,4,6,6,3,,,,,2,1,Completed,2.1,1.66,2,1.77,2.1,1.7,1.85,1.75,2.07,1.855
56,Palermo,Campionati Internazionali Di Sicilia,27/09/05,International,Outdoor,Clay,1st Round,3,Martin A.,Monfils G.,61,45,635,820,1,6,6,1,6,4,,,,,2,1,Completed,2,1.72,2,1.77,1.9,1.85,1.95,1.65,1.909,2
