ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
56,Palermo,Campionati Internazionali Di Sicilia,25/09/06,International,Outdoor,Clay,1st Round,3,Fognini F.,Marin J.A.,242,156,162,278,7,6,6,3,,,,,,,2,0,Completed,,,2.1,1.7,2.15,1.65,2.17,1.787,2.1,1.7
56,Palermo,Campionati Internazionali Di Sicilia,25/09/06,International,Outdoor,Clay,1st Round,3,Montanes A.,Horna L.,82,56,478,672,5,2,,,,,,,,,0,0,Retired,2.62,1.44,2.85,1.4,2.67,1.44,3.08,1.439,3,1.36
56,Palermo,Campionati Internazionali Di Sicilia,25/09/06,International,Outdoor,Clay,1st Round,3,Ramirez-Hidalgo R.,di Mauro A.,60,94,663,434,7,6,6,3,,,,,,,2,0,Completed,1.33,3,1.33,3.2,1.3,3.34,1.391,3.36,1.35,3.05
56,Palermo,Campionati Internazionali Di Sicilia,25/09/06,International,Outdoor,Clay,1st Round,3,Vassallo-Arguello M.,Guzman J.P.,102,180,407,228,2,6,6,3,7,5,,,,,2,1,Completed,,,,,2.2,1.63,3.09,1.437,2.15,1.67
56,Palermo,Campionati Internazionali Di Sicilia,25/09/06,International,Outdoor,Clay,1st Round,3,Starace P.,Luzzi F.,103,150,407,292,6,1,6,2,,,,,,,2,0,Completed,1.44,2.62,1.45,2.7,1.45,2.6,1.49,2.84,,
56,Palermo,Campionati Internazionali Di Sicilia,25/09/06,International,Outdoor,Clay,1st Round,3,Roitman S.,Aldi F.,105,406,400,77,6,0,6,1,,,,,,,2,0,Completed,1.25,3.5,1.28,3.55,1.28,3.46,1.373,3.48,1.3,3.35
56,Palermo,Campionati Internazionali Di Sicilia,26/09/06,International,Outdoor,Clay,1st Round,3,Simon G.,Seppi A.,46,69,786,565,6,0,6,7,6,2,,,,,2,1,Completed,1.61,2.2,1.75,2.05,1.8,1.95,1.794,2.16,1.8,1.96
56,Palermo,Campionati Internazionali Di Sicilia,26/09/06,International,Outdoor,Clay,1st Round,3,Hernandez O.,Kohlschreiber P.,153,63,287,608,6,1,6,1,,,,,,,2,0,Completed,,,,,,,3.03,1.448,,
56,Palermo,Campionati Internazionali Di Sicilia,26/09/06,International,Outdoor,Clay,1st Round,3,Almagro N.,Marach O.,47,98,785,417,6,1,6,4,,,,,,,2,0,Completed,1.25,3.5,1.22,4.1,1.2,4.25,1.323,3.8,1.26,3.7
56,Palermo,Campionati Internazionali Di Sicilia,26/09/06,International,Outdoor,Clay,1st Round,3, Hajek J.,Ulihrach B.,79,362,506,92,6,3,7,6,,,,,,,2,0,Completed,1.5,2.5,1.48,2.6,1.44,2.67,1.435,3.1,1.43,2.72
56,Palermo,Campionati Internazionali Di Sicilia,27/09/06,International,Outdoor,Clay,1st Round,3,Lapentti N.,Mathieu P.H.,84,52,475,725,3,6,6,2,6,3,,,,,2,1,Completed,2.62,1.44,2.6,1.48,2.6,1.45,2.55,1.606,2.55,1.48
56,Palermo,Campionati Internazionali Di Sicilia,27/09/06,International,Outdoor,Clay,1st Round,3,Verdasco F.,Bracciali D.,28,65,1040,601,5,7,6,4,6,4,,,,,2,1,Completed,1.19,4,1.22,4.1,1.21,4.06,1.267,4.45,1.25,3.75
56,Palermo,Campionati Internazionali Di Sicilia,27/09/06,International,Outdoor,Clay,1st Round,3,Cermak F.,Pavel A.,1554,90,1,454,6,3,2,6,7,5,,,,,2,1,Completed,2.87,1.36,2.7,1.45,2.85,1.4,2.94,1.467,,
56,Palermo,Campionati Internazionali Di Sicilia,27/09/06,International,Outdoor,Clay,1st Round,3,Zabaleta M.,Patience O.,357,101,94,411,7,5,3,6,6,3,,,,,2,1,Completed,1.72,2,1.88,1.88,1.85,1.9,1.962,1.943,1.82,1.94
56,Palermo,Campionati Internazionali Di Sicilia,27/09/06,International,Outdoor,Clay,1st Round,3,Naso G.,Vanek J.,398,91,80,453,1,2,,,,,,,,,0,0,Retired,3.5,1.25,3.85,1.25,,,3.91,1.312,3.5,1.28
56,Palermo,Campionati Internazionali Di Sicilia,27/09/06,International,Outdoor,Clay,1st Round,3,Volandri F.,Garcia-Lopez G.,38,78,855,525,7,6,3,6,6,3,,,,,2,1,Completed,1.28,3.25,1.25,3.85,1.25,3.9,1.274,4.35,1.27,3.6
56,Palermo,Campionati Internazionali Di Sicilia,28/09/06,International,Outdoor,Clay,2nd Round,3,Montanes A.,Starace P.,82,103,478,407,6,2,6,2,,,,,,,2,0,Completed,2.25,1.57,2.4,1.55,2.28,1.58,2.74,1.543,2.45,1.52
56,Palermo,Campionati Internazionali Di Sicilia,28/09/06,International,Outdoor,Clay,2nd Round,3,Vassallo-Arguello M.,Hernandez O.,102,153,407,287,2,6,6,4,6,4,,,,,2,1,Completed,1.72,2,1.77,2,1.95,1.8,1.833,2.1,1.88,1.88
56,Palermo,Campionati Internazionali Di Sicilia,28/09/06,International,Outdoor,Clay,2nd Round,3,Simon G.,Zabaleta M.,46,357,786,94,7,5,6,3,,,,,,,2,0,Completed,1.53,2.37,1.55,2.4,1.55,2.35,1.575,2.64,1.57,2.33
56,Palermo,Campionati Internazionali Di Sicilia,28/09/06,International,Outdoor,Clay,2nd Round,3,Ramirez-Hidalgo R.,Naso G.,60,398,663,80,6,2,6,2,,,,,,,2,0,Completed,1.12,5.5,1.14,5.4,1.15,5.2,1.152,6.98,1.11,6
