WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
35,Palermo,Italiacom Open,08/07/13,International,Outdoor,Clay,1st Round,3,Soler Espinosa S.,Johansson M.,75,95,874,683,6,4,1,6,7,5,2,1,Completed,1.61,2.2,1.75,2,1.67,2.1,1.71,2.24,1.8,2,1.8,2.28,1.7,2.09
35,Palermo,Italiacom Open,08/07/13,International,Outdoor,Clay,1st Round,3,Dentoni C.,Garcia C.,196,81,294,805,5,7,6,4,6,4,2,1,Completed,3.75,1.25,3.3,1.3,3.5,1.29,3.9,1.29,3.25,1.33,4,1.36,3.53,1.29
35,Palermo,Italiacom Open,08/07/13,International,Outdoor,Clay,1st Round,3,Errani S.,Cohen J.,6,141,5180,465,6,0,6,1,,,2,0,Completed,1.03,15,1.03,10,1.02,11,,,1.02,13,1.04,22,1.03,12.82
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Hercog P.,Birnerova E.,87,104,776,620,6,4,6,1,,,2,0,Completed,1.22,4,1.25,3.7,1.25,3.75,1.25,4.4,1.29,3.5,1.3,4.55,1.25,3.84
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Cabeza-Candela E.,Matteucci A.,108,N/A,615,N/A,6,4,6,1,,,2,0,Completed,1.05,8.5,1.06,8,1.04,9,1.08,9.94,1.04,10,1.08,10.65,1.06,8.91
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Zahlavova Strycova B.,Pliskova Kr.,96,136,666,489,6,4,6,4,,,2,0,Completed,1.28,3.5,1.3,3.3,1.3,3.4,1.28,4.06,1.4,2.88,1.4,4.1,1.3,3.44
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Voracova R.,Begu I.,193,59,296,1015,7,5,6,2,,,2,0,Completed,3.25,1.33,3.3,1.3,3.4,1.3,3.49,1.35,3.25,1.33,3.55,1.35,3.3,1.31
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Lucic M.,Duque Marino M.,119,94,571,710,6,3,6,3,,,2,0,Completed,2.62,1.44,2.35,1.55,2.5,1.5,2.8,1.49,2.38,1.57,2.92,1.57,2.58,1.48
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Medina Garrigues A.,Barrois K.,92,282,735,167,6,4,4,6,6,2,2,1,Completed,1.16,4.5,1.2,4.25,1.22,4,1.23,4.63,1.25,3.75,1.25,5.1,1.21,4.27
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Pfizenmaier D.,Pliskova Ka.,113,73,591,888,7,5,7,5,,,2,0,Completed,1.5,2.5,1.55,2.35,1.57,2.25,1.55,2.6,1.57,2.38,1.6,2.64,1.53,2.43
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Knapp K.,Pereira T.,72,111,895,602,6,3,6,2,,,2,0,Completed,1.53,2.37,1.6,2.25,1.53,2.38,1.62,2.44,1.57,2.38,1.65,2.63,1.57,2.35
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Zakopalova K.,Pennetta F.,42,100,1300,650,6,2,2,6,6,3,2,1,Completed,2.37,1.53,2.25,1.6,2.2,1.62,2.43,1.61,2.1,1.73,2.58,1.73,2.31,1.59
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Vinci R.,Gatto-Monticone G.,11,327,3060,132,7,6,6,3,,,2,0,Completed,1.03,10,1.04,9,1.04,9,1.08,9.43,1.04,11,1.09,11,1.05,9.11
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Dominguez Lino L.,Dulgheru A.,58,298,1045,157,5,1,,,,,0,0,Retired,1.66,2.1,1.65,2.15,1.67,2.1,1.8,2.11,1.73,2.1,1.91,2.15,1.72,2.06
35,Palermo,Italiacom Open,09/07/13,International,Outdoor,Clay,1st Round,3,Burnett N.,Zanevska M.,156,131,408,516,6,0,7,5,,,2,0,Completed,1.44,2.62,1.5,2.5,1.53,2.38,1.49,2.8,1.57,2.38,1.57,2.8,1.49,2.55
35,Palermo,Italiacom Open,10/07/13,International,Outdoor,Clay,1st Round,3,Mladenovic K.,Koehler M.J.,39,118,1356,574,6,1,7,6,,,2,0,Completed,1.44,2.62,1.5,2.5,1.4,2.75,1.44,2.97,1.44,2.75,1.56,2.97,1.46,2.63
35,Palermo,Italiacom Open,10/07/13,International,Outdoor,Clay,2nd Round,3,Soler Espinosa S.,Lucic M.,75,119,874,571,6,2,1,0,,,1,0,Retired,1.66,2.1,1.8,1.95,1.73,2,1.81,2.12,1.8,2,1.91,2.16,1.79,1.97
35,Palermo,Italiacom Open,10/07/13,International,Outdoor,Clay,2nd Round,3,Pfizenmaier D.,Medina Garrigues A.,113,92,591,735,6,1,6,1,,,2,0,Completed,2.37,1.53,2.25,1.6,2.25,1.57,2.6,1.56,2.25,1.62,2.6,1.65,2.34,1.57
35,Palermo,Italiacom Open,10/07/13,International,Outdoor,Clay,2nd Round,3,Voracova R.,Dentoni C.,193,196,296,294,7,5,6,1,,,2,0,Completed,1.5,2.5,1.55,2.35,1.57,2.25,1.58,2.54,1.53,2.5,1.62,2.55,1.54,2.41
35,Palermo,Italiacom Open,10/07/13,International,Outdoor,Clay,2nd Round,3,Errani S.,Zahlavova Strycova B.,6,96,5180,666,6,3,6,2,,,2,0,Completed,1.08,8,1.1,6.5,1.1,6.5,1.1,8.62,1.08,7.5,1.11,9.5,1.08,7.57
35,Palermo,Italiacom Open,11/07/13,International,Outdoor,Clay,2nd Round,3,Dominguez Lino L.,Burnett N.,58,156,1045,408,7,5,4,6,6,3,2,1,Completed,1.72,2,1.85,1.9,1.73,2,1.77,2.18,1.83,1.91,1.89,2.3,1.77,2
35,Palermo,Italiacom Open,11/07/13,International,Outdoor,Clay,2nd Round,3,Cabeza-Candela E.,Mladenovic K.,108,39,615,1356,6,3,2,6,7,6,2,1,Completed,2.75,1.4,2.5,1.5,2.5,1.5,2.8,1.5,2.63,1.5,2.8,1.5,2.63,1.46
35,Palermo,Italiacom Open,11/07/13,International,Outdoor,Clay,2nd Round,3,Zakopalova K.,Knapp K.,42,72,1300,895,6,3,4,6,6,4,2,1,Completed,1.72,2,1.75,2,1.73,2,1.86,2.05,1.73,2.1,1.86,2.15,1.75,2.02
35,Palermo,Italiacom Open,11/07/13,International,Outdoor,Clay,2nd Round,3,Vinci R.,Hercog P.,11,87,3060,776,6,2,7,6,,,2,0,Completed,1.5,2.5,1.55,2.35,1.57,2.25,1.58,2.56,1.53,2.5,1.63,2.92,1.55,2.39
35,Palermo,Italiacom Open,12/07/13,International,Outdoor,Clay,Quarterfinals,3,Cabeza-Candela E.,Voracova R.,108,193,615,296,7,5,6,4,,,2,0,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.51,2.82,1.53,2.5,1.57,2.82,1.5,2.53
35,Palermo,Italiacom Open,12/07/13,International,Outdoor,Clay,Quarterfinals,3,Zakopalova K.,Pfizenmaier D.,42,113,1300,591,7,5,6,7,6,1,2,1,Completed,1.61,2.2,1.65,2.15,1.67,2.1,1.68,2.36,1.67,2.2,1.73,2.36,1.67,2.15
35,Palermo,Italiacom Open,12/07/13,International,Outdoor,Clay,Quarterfinals,3,Vinci R.,Dominguez Lino L.,11,58,3060,1045,6,1,6,4,,,2,0,Completed,1.3,3.4,1.3,3.3,1.33,3.25,1.38,3.41,1.33,3.25,1.38,3.7,1.32,3.29
35,Palermo,Italiacom Open,12/07/13,International,Outdoor,Clay,Quarterfinals,3,Errani S.,Soler Espinosa S.,6,75,5180,874,6,4,6,0,,,2,0,Completed,1.05,11,1.08,7,1.08,7,,,1.08,7.5,1.09,11.25,1.06,8.52
35,Palermo,Italiacom Open,13/07/13,International,Outdoor,Clay,Semifinals,3,Vinci R.,Cabeza-Candela E.,11,108,3060,615,5,7,6,2,6,2,2,1,Completed,1.12,6,1.15,5,1.17,4.5,1.2,5.45,1.14,5.5,1.2,6,1.15,5.21
