WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
14,Palermo,Internazionali Femminili di Palermo,03/08/2020,International,Outdoor,Clay,1st Round,3,Vekic D.,Rus A.,24,70,1880,869,6,1,6,2,,,2,0,Completed,1.4,2.75,1.5,2.77,1.5,3.13,1.43,2.76
14,Palermo,Internazionali Femminili di Palermo,03/08/2020,International,Outdoor,Clay,1st Round,3,Siegemund L.,Begu I.,65,81,910,777,6,3,6,4,,,2,0,Completed,1.66,2.1,1.7,2.27,1.74,2.38,1.67,2.18
14,Palermo,Internazionali Femminili di Palermo,03/08/2020,International,Outdoor,Clay,1st Round,3,Errani S.,Cirstea S.,167,75,368,820,7,5,1,6,6,4,2,1,Completed,3,1.36,3.17,1.4,3.29,1.46,3.01,1.37
14,Palermo,Internazionali Femminili di Palermo,03/08/2020,International,Outdoor,Clay,1st Round,3,Cocciaretto E.,Hercog P.,156,45,402,1205,7,6,6,3,,,2,0,Completed,2.5,1.5,2.79,1.49,2.8,1.54,2.61,1.48
14,Palermo,Internazionali Femminili di Palermo,03/08/2020,International,Outdoor,Clay,1st Round,3,Alexandrova E.,Mladenovic K.,27,42,1775,1335,5,7,6,0,6,1,2,1,Completed,2,1.75,2.12,1.79,2.15,1.94,1.98,1.79
14,Palermo,Internazionali Femminili di Palermo,03/08/2020,International,Outdoor,Clay,1st Round,3,Paolini J.,Kasatkina D.,95,66,689,905,5,7,6,4,6,4,2,1,Completed,3.25,1.33,3.11,1.41,3.56,1.56,2.76,1.44
14,Palermo,Internazionali Femminili di Palermo,04/08/2020,International,Outdoor,Clay,1st Round,3,Yastremska D.,Sorribes Tormo S.,25,83,1835,763,6,3,6,4,,,2,0,Completed,1.53,2.37,1.6,2.47,1.67,2.47,1.58,2.34
14,Palermo,Internazionali Femminili di Palermo,04/08/2020,International,Outdoor,Clay,1st Round,3,Pliskova Kr.,Sakkari M.,69,20,880,2130,6,4,6,4,,,2,0,Completed,3.25,1.33,3.36,1.37,3.36,1.4,3.14,1.35
14,Palermo,Internazionali Femminili di Palermo,04/08/2020,International,Outdoor,Clay,1st Round,3,Juvan K.,Vondrousova M.,121,18,557,2307,1,6,7,5,6,4,2,1,Completed,2.62,1.44,2.99,1.44,3.1,1.49,2.82,1.41
14,Palermo,Internazionali Femminili di Palermo,04/08/2020,International,Outdoor,Clay,1st Round,3,Sasnovich A.,Mertens E.,119,23,561,1950,6,4,6,1,,,2,0,Completed,2.75,1.4,2.81,1.49,2.88,1.53,2.69,1.45
